AuthorID;Author;Date;Content;Attachments;Reactions;
"272003866906722306";"TonyL#3577";"21-Dec-18 11:30 PM";"https://docs.google.com/spreadsheets/d/1l0dWEPcrv9zE11_TD-XrX_HIYV0VLpadCJN6hvaZERc/edit#gid=55258823 New `channelslist` call was added 
`channelsinfo` not displaying list of channels anymore. Changes are reflected in document above on `channels` page";"";"";
"424224648889106444";"Mihailo#5902";"22-Dec-18 05:59 PM";"@TonyL Sorry that I did not notify anybody, I found a bug in channels and fixed it and also changed channelsinfo to be JSON format, and moved list of channels to channellist!";"";"";
"272003866906722306";"TonyL#3577";"22-Dec-18 06:00 PM";"@Mihailo Sure, no problem 👍  I've found it as soon as continued to work on ChannelsCC GUI 😃";"";"";
"424224648889106444";"Mihailo#5902";"22-Dec-18 06:03 PM";"👍";"";"";
"272003866906722306";"TonyL#3577";"19-Jan-19 12:52 PM";"@Mihailo I'm making a channel between nodes A and B. Then broadcasting  one `channelspayment` transaction but not mine it to reveal secret of this transaction.
After it I'm stopping daemon on node A, waiting for some time and then trying to generate channelspayment transaction on node B using a secret from channelsinfo for not mined payment but getting: ```invalid secret supplied
 {""result"": ""error"", ""error"": ""couldnt create channelspayment transaction""}```
Am I missing something?";"";"";
"455741312273219595";"jl777c#5810";"19-Jan-19 12:53 PM";"that should work...";"";"";
"455741312273219595";"jl777c#5810";"19-Jan-19 12:53 PM";"seems a bug!";"";"";
"272003866906722306";"TonyL#3577";"19-Jan-19 01:03 PM";"I've ensured that node B see this transaction from node A in mempool, also ensured that node B see a secret in channelsinfo. Mining was disabled on both nodes (only nodes in chain).
After Node A stopping Node B still see this channelspayment in mempool";"";"";
"272003866906722306";"TonyL#3577";"19-Jan-19 01:03 PM";"```./komodo-cli -ac_name=TONY10 channelsinfo bdc11caed9b119885142e79a06c6f00b1bc65b21d378bd4707bc12c0564233ab
{
  ""result"": ""success"",
  ""Channel CC address"": ""RSLwFb2Sg137zNGZBiRQqXqqdmioEJvNhY"",
  ""Destination address"": ""REGx42d3QriW89Q2c7fT4dDydz1qfE2cNA"",
  ""Number of payments"": 10,
  ""Denomination (satoshi)"": ""1000000"",
  ""Amount (satoshi)"": ""10000000"",
  ""Transactions"": [
    {
      ""Open"": ""bdc11caed9b119885142e79a06c6f00b1bc65b21d378bd4707bc12c0564233ab""
    },
    {
      ""Payment"": ""b18242e8865e3547f63d90e5a01b6d3914e096eccc0a73ecadc8f892395dd8bc"",
      ""Number of payments"": 1,
      ""Amount"": 1000000,
      ""Destination"": ""REGx42d3QriW89Q2c7fT4dDydz1qfE2cNA"",
      ""Secret"": ""453d5561f901589ae03dcd1a9710bf41659f0d33202fbecf2bc9a4e15072403a"",
      ""Payments left"": 9
    }
  ]
}```";"";"";
"272003866906722306";"TonyL#3577";"19-Jan-19 01:03 PM";"```./komodo-cli -ac_name=TONY10 getrawmempool
[
  ""b18242e8865e3547f63d90e5a01b6d3914e096eccc0a73ecadc8f892395dd8bc""
]
```";"";"";
"272003866906722306";"TonyL#3577";"19-Jan-19 01:03 PM";"```./komodo-cli -ac_name=TONY10 channelspayment bdc11caed9b119885142e79a06c6f00b1bc65b21d378bd4707bc12c0564233ab 1000000 453d5561f901589ae03dcd1a9710bf41659f0d33202fbecf2bc9a4e15072403a
invalid secret supplied
{
  ""result"": ""error"",
  ""error"": ""couldnt create channelspayment transaction""
}
```";"";"";
"455741312273219595";"jl777c#5810";"19-Jan-19 01:04 PM";"is there a different rpc for receiver to make a payment?";"";"";
"455741312273219595";"jl777c#5810";"19-Jan-19 01:04 PM";"once in the local mempool, the external node going offline better not be able to affect your local mempool";"";"";
"272003866906722306";"TonyL#3577";"19-Jan-19 01:06 PM";"There is only one RPC call for channel payment as I know
Seems I've missed at least one commit which has changes for channels.cpp, let me rebuild and check again";"";"";
"272003866906722306";"TonyL#3577";"19-Jan-19 01:33 PM";"Same behaviour on very latest FSM commit ```git log -1
commit d13264a169cb6a22d94008ba966ec6ea453b1950 (HEAD -> FSM, origin/FSM)
Merge: bfccd586f 5a4fd8b15
Author: jl777 <jl777@users.noreply.github.com>
Date:   Fri Jan 18 00:02:41 2019 -1100

    Merge pull request #1185 from tonymorony/FSM
    
    fixed existing token tests```";"";"";
"272003866906722306";"TonyL#3577";"20-Jan-19 08:20 AM";"Also seems `channelsclose` is not work on this version:
```./komodo-cli -ac_name=TONY10 channelsinfo f08e8e1bd5f0f43b58ad1bb25400082586a5379827a79f0c9c9f7ebfa57b3230
{
  ""result"": ""success"",
  ""Channel CC address"": ""RXnotNMC9pLcvXvaPg5zjjcg4gNJf8Hw1C"",
  ""Destination address"": ""REGx42d3QriW89Q2c7fT4dDydz1qfE2cNA"",
  ""Number of payments"": 10,
  ""Denomination (satoshi)"": ""1000000"",
  ""Amount (satoshi)"": ""10000000"",
  ""Transactions"": [
    {
      ""Open"": ""f08e8e1bd5f0f43b58ad1bb25400082586a5379827a79f0c9c9f7ebfa57b3230""
    },
    {
      ""Payment"": ""8c6cb28bee0ef16001749b07f2a53c3c626d25de4921b0073875f3ac50b12030"",
      ""Number of payments"": 1,
      ""Amount"": 1000000,
      ""Destination"": ""REGx42d3QriW89Q2c7fT4dDydz1qfE2cNA"",
      ""Secret"": ""62931dd8e118a4e79df345c7ae2113b69865b2ae3aa03c7854d10915b135b9ab"",
      ""Payments left"": 9
    }
  ]
}
```";"";"";
"272003866906722306";"TonyL#3577";"20-Jan-19 08:20 AM";"```./komodo-cli -ac_name=TONY10 channelsclose f08e8e1bd5f0f43b58ad1bb25400082586a5379827a79f0c9c9f7ebfa57b3230
{
  ""result"": ""success"",
  ""hex"": ""0400008085202f8903040448a56c31bb7e4d05650eb40e7ec159e0425ae8cd758264e58d4edd55a659000000004847304402207bf2fb5dbd2f586337766ab43348d4880130f2566e61154e334f582d4f79050102205b8a4bb0022724597dfb391cccd95af3dabc1a05f81fcb9311209872904d956101ffffffff3020b150acf3753807b02149de256d623c3ca5f2079b740160f10eee8bb26c8c00000000a74ca5a281a1a0819ca28194a067a56580210287fb1878a131ec908088d703dd654144b5017c5cf30b5c9ba7b7f150342d10ad814003d46c89d2ea41c18568304701624e50f41f3ff0828d0e94e915148d14dc601b30472ce7576e10171da8a1602d146124eaab8ace252ea558f990a36eb98a0612a129a527802060296c301dc359dda3af358b40fbfbec4405c6f35a3a4151bab2c54d3f77ec608103020000af038001eba10001ffffffff3020b150acf3753807b02149de256d623c3ca5f2079b740160f10eee8bb26c8c010000007b4c79a276a072a26ba067a56580210287fb1878a131ec908088d703dd654144b5017c5cf30b5c9ba7b7f150342d10ad814066483ce6b094993f4b443d397a445b324fae80471799e381f4b67b0b8a9d19f6188de54fcd281fd384287a943455a0106ae2a2b6b9724450eee0a97b1734922ca100af038001eba10001ffffffff05302d890000000000302ea22c8020fc207461303543d37647e26ead37952d3a302c81fe1ad806fa831d0c11d8eea281031210008203000401cc1027000000000000302ea22c8020ff15b12dd6e8de39a97e0d199c46a2c64d639de58883f1c21477f56044c2f4f08103120c008203000401cc1027000000000000302ea22c802055c9c4271c5a8387f6b747af92a59d8a7e4cd60ec834fb558737e27fe7a6e9928103120c008203000401ccf078724e1809000023210287fb1878a131ec908088d703dd654144b5017c5cf30b5c9ba7b7f150342d10adac0000000000000000956a4c92eb4330327ba5bf7e9f9c0c9fa7279837a58625080054b21bad583bf4f0d51b8e8ef0210287fb1878a131ec908088d703dd654144b5017c5cf30b5c9ba7b7f150342d10ad21032b6702a8a83b64962e6aee1c0c47751564ca4620ca469c925c19bd1cb451c5aa0800000040420f0000000000000000000000000000000000000000000000000000000000000000000000000000000000a80100000000000000000000000000""
}
```";"";"";
"272003866906722306";"TonyL#3577";"20-Jan-19 08:20 AM";"On broadcast:
```inputs 9000000 vs outputs 8990000
CC Eval EVAL_CHANNELS Invalid: invalid channel inputs vs. outputs! spending tx 8c6cb28bee0ef16001749b07f2a53c3c626d25de4921b0073875f3ac50b12030
error code: -26
error message:
16: mandatory-script-verify-flag-failed (Script evaluated without error but finished with a false/empty top stack element)```";"";"";
