AuthorID;Author;Date;Content;Attachments;Reactions;
"242635006516658197";"jorian#4555";"11-Dec-18 05:45 PM";"#kmdice KMDICE is a blockchain that has dice implemented and has done a lot of testing, might be nice to point that out";"";"🤔 (1)";
"371114647052615681";"Mylo#8306";"12-Dec-18 02:56 AM";"Yes thanks @jorian will add some description";"";"";
"272003866906722306";"TonyL#3577";"28-Dec-18 07:09 AM";"`""Foreteller"" - guess a card game based on DiceCC`

52 cards deck guessing game. 

Using DiceCC RNG as a main one which affect a game result and non on-chain RNG just for result visual representation.

Game modes:

1) Guess a suit: choose a spade, club, diamond or heart (actually placing a bet with odds 3 - 1:4)

2) Guess a card value: choose 2, 3, 4, 5, 6, 7, 8, 9, 10, J, Q, K, A (actually placing a  bet with odds 12 - 1:13)

3) Guess a card: choose exact card value + suit (actually placing a  bet with odds 51 - 1:52)

If diceCC bet result ""won"" - showing a random card (chosen by non blockchain simple RNG) from cards which match player prediction

If diceCC bet result ""loss"" - showing a random card (chosen by non blockchain simple RNG) from cards which not match player prediction";"";"";
"272003866906722306";"TonyL#3577";"28-Dec-18 07:09 AM";"^^ idea of easy to implement game based on DiceCC RNG 😃";"";"👌 (4),3040_kingpeepo (1)";
"455741312273219595";"jl777c#5810";"28-Jan-19 08:49 PM";"cool idea! using the odds to generate a new game play";"";"";
"272003866906722306";"TonyL#3577";"28-Jan-19 09:09 PM";"Thanks for feedback! @Meyse made some cool graphics and I'll try to implement it in Python GUI in a next few weeks. I have all betplacing GUI logic implemented already as part of previous plays (table choosing / creation, buttons, odds choosing sliders and etc) - just have to make proper layout mostly";"";"🙌 (6),perfect (1),👍 (2),letsplay (2),unicorn (2)";
"422858760898215937";"siu - Chainmakers#3920";"29-Jan-19 11:15 PM";"@TonyL";"";"";
"422858760898215937";"siu - Chainmakers#3920";"29-Jan-19 11:15 PM";"awesome idea!";"";"Komodo (1)";
"406179072922746882";"polycryptoblog#1173";"13-Mar-19 05:17 AM";"@TonyL  that would be great for parapsychology research";"";"";
"272003866906722306";"TonyL#3577";"13-Mar-19 05:20 AM";"@polycryptoblog Apophenia yeaah";"";"";
"406179072922746882";"polycryptoblog#1173";"13-Mar-19 05:20 AM";"Lol sorry was reading the card guessing thing and typed it before scrolling to bottom";"";"";
"272003866906722306";"TonyL#3577";"13-Mar-19 05:21 AM";"But in general you're correct - players will start to guess will be next black by previous amount of reds and other apophenia stuff 😃";"";"";
"272003866906722306";"TonyL#3577";"13-Mar-19 05:22 AM";"But in reality everything is predetermined";"";"";
"272003866906722306";"TonyL#3577";"13-Mar-19 05:22 AM";"Not predetermined only in player mind";"";"";
"406179072922746882";"polycryptoblog#1173";"13-Mar-19 05:26 AM";"It seems it would work well as a standardized tool to collect data and prevent fraud in the results and to id a player anonymously if there is a “anomaly” I am a determinist too, for the most part but have run into things I couldn’t explain so the strange stuff of parapsychology intrigued me  .";"";"";
"272003866906722306";"TonyL#3577";"13-Mar-19 05:29 AM";"Clue is that diceCC returning only won or lose but GUI can wrap this result to specific card/color so player can start to build systems or something";"";"";
"272003866906722306";"TonyL#3577";"13-Mar-19 05:30 AM";"Should be interesting stuff yep, sad that I have other things in priority at the moment but as I know GUI for this game is in work by @Meyse";"";"🚀 (1)";
"443046399089573899";"Meyse#0952";"13-Mar-19 10:09 AM";"@TonyL @polycryptoblog www.twitter.com/dicebetsnet";"";"💪 (5)";
"443046399089573899";"Meyse#0952";"13-Mar-19 10:09 AM";"Will start hyping when we are closer to release";"";"";
"240544146320916480";"CryptoNinjaa#5350";"13-Mar-19 10:30 AM";"Dice site ! Epic";"";"";
"507587030407184394";"dogracer#3298";"18-Mar-19 01:23 AM";"the kmdice project and this cc-dice project? Are they one and the same or am I misunderstsnding? It seems like the kmdice channel is more technical and covers mining while this channel covers gameplay UI?";"";"";
"272003866906722306";"TonyL#3577";"18-Mar-19 05:08 AM";"Kmdice is DiceCC testchain with bounty funds locked in DiceCC betting plan (as far as I know).
This channel is for dice cryptoconditions consensus module discussing.";"";"";
