AuthorID;Author;Date;Content;Attachments;Reactions;
"405011811511828481";"Alright#0419";"01-Aug-19 05:58 AM";"@YanSidorov if you have any questions about dilithium, please ask them here #ask-a-question isn't the best place for technical discussion";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 09:37 AM";"do you have the chain running currently?";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 09:37 AM";"Yep";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 09:37 AM";"if it's a test chain, could you send me a few coins?";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 09:38 AM";"need to do some sanity checks as it seems you're doing it properly";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 09:39 AM";"It's a separate chain running on my VM
Completely separate from the KMD
That's if I get your question correct";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 09:40 AM";"ok give me a few minutes, need to build the daemon with correct cclib";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 09:40 AM";"will give you an address, only need like a coin";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 09:41 AM";"Sure
Hate to be the burden
Really appreciate your help, though";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 09:45 AM";"need a peer to sync from";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 09:45 AM";"can dm it to me if you like";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 09:46 AM";"how did you build the daemon? Just noticed someone messed up how to do it in the doc 😫";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 09:46 AM";"you need to create libcc.so then run build.sh, not the other way around";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 09:47 AM";"that someone may have been me 😛";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 09:50 AM";"Hm, do you have your node on a public IP?
Mine is in a LAN, and it would be problematic to map it to a port on a gateway at the current moment

>how did you build the daemon?
I've ran this
cd ~/komodo/src/cc
./makecclib
cp sudokucc.so ../libcc.so
cd ../..
make

And I'm also pretty sure that've ran build.sh as well afterall
But I might be wrong and should try to do it one more time, probably";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 09:53 AM";"ok no worries, I'll start my own";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 09:57 AM";"After re-running build.sh the result is, sadly, all the same 😦";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 09:58 AM";"Do I get it right that premine and block rewards are also valid inputs for the fee, btw?";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 09:59 AM";"they should be yes";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 09:59 AM";"I'm seeing the same here";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 09:59 AM";"""not enough parameters""";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 09:59 AM";"give me a few minutes to debug, might be something simple";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 09:59 AM";"Well, at least I'm not the only one here)";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 10:00 AM";"Also are you aware that -ac_reward=999 is 999 *sats*";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 10:00 AM";"not 999 coins";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 10:00 AM";"so 0.00000999";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 10:01 AM";"Yeah, I know that
That was just a random value to throw in, in order to disable the ""on-demand"" block mining";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 10:24 AM";"hold tight, seems not so simple 😅";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 10:25 AM";"I figured as much :)
Do you, by any chance, need some help?";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 10:25 AM";"which branch are you using btw?";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 10:26 AM";"I'm good, seems something relatively recent must have broken it";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 10:26 AM";"just going to find you a commit you can use with it working for now";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 10:27 AM";"I *think* master branch will just work, testing it now";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 10:27 AM";"jl777/dev along with some of the changes I've made myself to the platform. But those aren't supposed to affect the mentioned behavior in any way";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 10:29 AM";"yea not your changes for sure";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 10:29 AM";"as I'm experiencing the same exact thing";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 10:29 AM";"well... while I'm waiting for this to build";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 10:29 AM";"you making a production chain with this?";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 10:29 AM";"or just testing/research";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 10:32 AM";"It's meant to be production in future
But for now I'm researching for the quantum-resistant signatures
Judging by the question I can assume that's there might be some problems with that?)";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 10:33 AM";"only thing is is that it's bundled with some other CCs atm";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 10:33 AM";"sudoku obviously as well as another test CC";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 10:34 AM";"it does work quite well though, have pentested it quite a bit 😛";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 10:35 AM";"Yeah, I'm ok with that for now
Later on I'll, probably, might just try to separate it in a cc module of its own
Might need your help with that as well, should there be any issues";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 10:37 AM";"And I'm also ok with the obscene language, in case you are worried about that)";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 11:33 AM";"Btw, I was wondering if there, by any chance, is at least alpha-stage solution for dilithium transactions signature, fit for using in web-browser
I'm running a wallet client as an SPA in a browser and for now the soundest solution in this case seems to extract  the signature functionality into a separate c++ lib and run as a wasm in my app";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 11:33 AM";"Hey sorry man, figured out the problem, but we'll need to wait until one of our devs can look at it";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 11:36 AM";"Sure
Would it take like days or weeks?
If it won't be fast, i could stick with another commit
Just need to know which one)";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 11:37 AM";"day or two at most, but may have just been given the solution";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 11:37 AM";"testing right now";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 11:43 AM";"Thanks, that's a relief
Also one more question, if you don't mind: does this module sign the transaction with dilithium only or both dilithium and a regular algorithm?
As this seems to be a key-point for my customers";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 11:44 AM";"both";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 11:44 AM";"cool";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 11:44 AM";"requires both dilithium key and key that created the register tx";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 11:46 AM";"alright, I see, thanks";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 11:47 AM";"Any thoughts on this one?

""Btw, I was wondering if there, by any chance, is at least alpha-stage solution for dilithium transactions signature, fit for using in web-browser
I'm running a wallet client as an SPA in a browser and for now the soundest solution in this case seems to extract  the signature functionality into a separate c++ lib and run as a wasm in my app""";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 12:03 PM";"yes, seems the best way to do it";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 12:03 PM";"not an easy task though 😅";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 12:04 PM";"you're asking best way to create a web wallet for dilithium cc, yes?";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 12:13 PM";"k have a temporary fix for you";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 12:13 PM";"https://github.com/jl777/komodo/blob/1592c2dd4cb7979325b8296459be8732c88bbf16/src/cc/dilithium.c#L3184";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 12:13 PM";"Yes)
Most certainly not a trivial task, I agree";"";"";
"604277745236836363";"YanSidorov#2533";"01-Aug-19 12:14 PM";"Awesome, thanks";"";"";
"405011811511828481";"Alright#0419";"01-Aug-19 12:14 PM";"comment that out";"";"";
