AuthorID;Author;Date;Content;Attachments;Reactions;
"423176312354635779";"gcharang#6833";"15-Dec-18 01:51 PM";"theres only one default faucet in any chain correct? anybody can fund it and new pubkeys can get coins from it.";"";"";
"455741312273219595";"jl777c#5810";"15-Dec-18 02:12 PM";"correct";"";"";
"423176312354635779";"gcharang#6833";"15-Dec-18 02:50 PM";"Ok. Is there any PoW done when `faucetget` is issued?";"";"";
"455741312273219595";"jl777c#5810";"15-Dec-18 02:57 PM";"yes, txpow";"";"";
"423176312354635779";"gcharang#6833";"17-Dec-18 02:31 PM";"This is the output of faucetaddress RPC:
```json
{
  ""result"": ""success"",
  ""FaucetCCaddress"": ""R9zHrofhRbub7ER77B7NrVch3A63R39GuC"",
  ""Faucetmarker"": ""RKQV4oYs4rvxAWx1J43VnT73rSTVtUeckk"",
  ""GatewaysPubkey"": ""03ea9c062b9652d8eff34879b504eda0717895d27597aaeb60347d65eed96ccb40"",
  ""FaucetCCassets"": ""RF2p5LgEBpUzUgUyFSUDa8ZBnr2wxE87do"",
  ""CCaddress"": ""RReGLfH2MTrkeLSepkVy5vnQPE29g7KofS"",
  ""myCCaddress"": ""RReGLfH2MTrkeLSepkVy5vnQPE29g7KofS"",
  ""myaddress"": ""RJYiWn3FRCSSLf9Pe5RJcbrKQYosaMburP""
}
```";"";"";
"423176312354635779";"gcharang#6833";"17-Dec-18 02:32 PM";"What is ""FaucetCCassets"" and ""Faucetmarker"" ?";"";"";
"455741312273219595";"jl777c#5810";"17-Dec-18 02:34 PM";"internal addresses";"";"";
"423176312354635779";"gcharang#6833";"17-Dec-18 02:35 PM";"No need to explain them in docs?";"";"";
"423176312354635779";"gcharang#6833";"17-Dec-18 02:35 PM";"I mean won't a dapp developer using RPC interface find them useful?";"";"";
"455741312273219595";"jl777c#5810";"17-Dec-18 02:35 PM";"just say they are used internall";"";"";
"455741312273219595";"jl777c#5810";"17-Dec-18 02:36 PM";"it is just using a standard template to print assets CC addresses and marker addresses, only really useful for gateways and a few other CC";"";"";
"423176312354635779";"gcharang#6833";"17-Dec-18 02:37 PM";"ahh got it. Any difference between `myCCaddress` and `CCaddress` ? Will they be different for some cc?";"";"";
"455741312273219595";"jl777c#5810";"17-Dec-18 02:37 PM";"for CC that use nonstandard 1of1 CC, like channels, likely it will be different";"";"";
"423176312354635779";"gcharang#6833";"17-Dec-18 02:48 PM";"Got it.";"";"";
"272003866906722306";"TonyL#3577";"31-Dec-18 05:32 AM";"FYI: This chat is not for Discord tip bot but for questions regards `Faucet` CryptoConditions consensus module.
Channel for discord bot conversations is #tip-bot";"";"";
"347922216429813760";"grewalsatinder#9653";"27-Jan-19 02:15 AM";"testing faucet API";"";"";
"347922216429813760";"grewalsatinder#9653";"27-Jan-19 02:16 AM";"```satinders-MBP-2:~ satinder$ txsclcc getnewaddress
RC1H4H33Uc9AMoC2Zba4EbV9NR6xxq8UD2
satinders-MBP-2:~ satinder$ txsclcc listaddressgroupings
[
  [
    [
      ""RAhsSqt1kaCz8JVNqDiDNFSVeYTubrLDSz"",
      300.00000000,
      """"
    ]
  ]
]
satinders-MBP-2:~ satinder$ txsclcc validateaddress RC1H4H33Uc9AMoC2Zba4EbV9NR6xxq8UD2
{
  ""isvalid"": true,
  ""address"": ""RC1H4H33Uc9AMoC2Zba4EbV9NR6xxq8UD2"",
  ""scriptPubKey"": ""76a9141de5e0bf9978096e4420683281105388c1cc13fa88ac"",
  ""segid"": 25,
  ""ismine"": true,
  ""iswatchonly"": false,
  ""isscript"": false,
  ""pubkey"": ""033245af84ec5fbff0562c874fe32f027d12f4f0e49f26152721fec490c2be5095"",
  ""iscompressed"": true,
  ""account"": """"
} ```";"";"";
