AuthorID;Author;Date;Content;Attachments;Reactions;
"272003866906722306";"TonyL#3577";"24-Dec-18 08:36 AM";"@Mihailo I know you're off today so just left it here for future :)
Finishing GW TUI re-writing so re-tested usual 1 of 1 gateway today on latest FSM and wasn't able to `gatewaysclaim` gatewaysdeposit transaction.
```./komodo-cli -ac_name=TONY7 gatewaysclaim 0062c761d57475de2c5869863b9cace01841da44c0bca1bcf74ee41ecd4828d8 KMD 8ad3dd7c48bb1003e8a1cefa5ec6d9fbf870750b7ab796e0c0c8a52bde4e624b 02d32977951ab4cceee504f822b5482780f1a54f3876d7fae9ddc638767c6df3fc 0.1
invalid Gateways deposittxid 8ad3dd7c48bb1003e8a1cefa5ec6d9fbf870750b7ab796e0c0c8a52bde4e624b 0.00000000 != 0.10000000
{
  ""result"": ""error"",
  ""error"": ""couldnt gatewaysclaim""
}
```
Here is this `gatewaysdeposit` transaction in details: https://paste.ubuntu.com/p/X8XxHnhXZc/
And my KMD deposit: https://kmdexplorer.io/tx/caba646ec1750c537c896bc0966b6e0fec4dfc2fd8295c7b469639a106b4d899

Duplicated as issue in your repo also";"";"👍 (2)";
"424224648889106444";"Mihailo#5902";"25-Dec-18 11:06 AM";"@TonyL We have major changes on gateways so I think you need to test it after we finish it. BTW, can you always post the daemon output when you get error as there is also some relevant data so we can locate the bug.";"";"👌 (1)";
"272003866906722306";"TonyL#3577";"25-Dec-18 12:31 PM";"@Mihailo Yes, saw information about these major changes after reported an issue above. Will not test prior to update/re-work
In general I'm trying to include daemon printouts where I get it (as in case above)";"";"";
"272003866906722306";"TonyL#3577";"25-Dec-18 12:34 PM";"In reported issue with channels daemon output included as well";"";"";
"272003866906722306";"TonyL#3577";"25-Dec-18 12:41 PM";"Please let me know if any other information needed from my side";"";"";
"272003866906722306";"TonyL#3577";"25-Dec-18 12:42 PM";"^^ Wanted to post it in #cc-general @Mihailo  but missed channels 😃";"";"👍 (1)";
"424224648889106444";"Mihailo#5902";"28-Jan-19 12:59 PM";"@TonyL I have made a PR of new Gateways. They work with new tokens now, and there is no need to do tokenconvert like before (just remove that step). The withdraws are serialized right now as there is issue with parallel withdraws so only one withdraw will be able to be created at a time (until it is finished).";"";"";
"424224648889106444";"Mihailo#5902";"28-Jan-19 12:59 PM";"https://github.com/jl777/komodo/pull/1221";"";"";
"424224648889106444";"Mihailo#5902";"28-Jan-19 01:00 PM";"It would be good to make a test to see if something is broken.";"";"";
"424224648889106444";"Mihailo#5902";"28-Jan-19 01:00 PM";"And I will start on validation of Gateways.";"";"";
"424224648889106444";"Mihailo#5902";"28-Jan-19 01:01 PM";"I have used your TUI for Gateways and it works fine, both creation and usage.";"";"👍 (1)";
"272003866906722306";"TonyL#3577";"28-Jan-19 01:03 PM";"@Mihailo Great! Missed gateways fun a lot 😃";"";"";
"424224648889106444";"Mihailo#5902";"28-Jan-19 01:03 PM";"Hahahah, it will be fun. I promise 🤘";"";"👍 (1),😀 (1)";
"424224648889106444";"Mihailo#5902";"31-Jan-19 05:49 PM";"@TonyL @jl777c  I have submitted Gateways with validation turned on. https://github.com/jl777/komodo/pull/1226
It would be good to do a run of each 1of1 and multisig so we can see if there are some major bugs...";"";"";
"424224648889106444";"Mihailo#5902";"31-Jan-19 05:49 PM";"I have done testing of multisig 2of3 and 3of3. And it seems to be working 😉";"";"";
"424224648889106444";"Mihailo#5902";"31-Jan-19 05:51 PM";"NOTE: Do not forget to complie with -DTESTMODE (both Komodo and OracleFeed) as bind,deposit and withdraw need to be notarized/confrimed so that you don't need to wait 100 confs 😉";"";"";
"424224648889106444";"Mihailo#5902";"31-Jan-19 05:51 PM";"@TonyL You can remove tokenconvert from TUI for now as we don't need it now...";"";"";
"424224648889106444";"Mihailo#5902";"31-Jan-19 05:54 PM";"NOTE2: Also do not forget to first import private keys from asset chain to KMD chain for oraclefeed nodes!";"";"";
"272003866906722306";"TonyL#3577";"31-Jan-19 06:02 PM";"Great, will go ahead with gateways testing tomorrow and will deprecate tokencovert from TUI as well, thanks @Mihailo !";"";"";
"424224648889106444";"Mihailo#5902";"31-Jan-19 06:03 PM";"Np";"";"";
"424224648889106444";"Mihailo#5902";"31-Jan-19 06:03 PM";"If you need any assistance ping me freely, as I also forgot few things when not working with gateways for some period 😉";"";"👌 (1)";
"272003866906722306";"TonyL#3577";"01-Feb-19 09:38 AM";"Deprecated `tokenconvert` from TUI
Testing 1of1 first: deposit worked fine
```./komodo-cli -ac_name=GWISBACK tokenbalance 165f6fe4fd0426a94f1b120732160e8f2b17a09e1dfae7d4ebd62e048b50894a
{
  ""result"": ""success"",
  ""CCaddress"": ""RCAQcrb5VpjAG9DAyr94ynVgzkYhczWNLS"",
  ""tokenid"": ""165f6fe4fd0426a94f1b120732160e8f2b17a09e1dfae7d4ebd62e048b50894a"",
  ""balance"": 10000000
}
```";"";"";
"272003866906722306";"TonyL#3577";"01-Feb-19 09:42 AM";"[7] Execute gateways withdrawal
```>> 7
Input your gateway bind txid: 6c5b50c5de51030cd5aec3ee7cd1d50a2a609f9287c1e09ea2fd4b2737c1ddb8
Input your external coin ticker (e.g. KMD): KMD
Input pubkey to which you want to withdraw: 02554fb8a367cdb896ab6566c9f2aac62de70e5d643d2b6c19f01d65712da589db
Input amount of withdrawal: 0.1
.TokensExactAmounts() vin i=1 tokenoshis=100000000
.TokensExactAmounts() vout i=0 tokenoshis=10000000
.TokensExactAmounts() vout i=1 tokenoshis=90000000
AddTokenInputs() adding input nValue=10000000
TokensValidate (t) evalcode=0xf2
..TokensExactAmounts() vin i=1 tokenoshis=100000000
..TokensExactAmounts() vout i=0 tokenoshis=10000000
..TokensExactAmounts() vout i=1 tokenoshis=90000000
TokensExactAmounts() vin i=1 tokenoshis=10000000
TokensExactAmounts() vout i=1 tokenoshis=10000000
token transfer preliminarily validated 0.10000000 -> 0.10000000 (-1 -1)
e40a56ac854c7ceb829e22ca25b76f6686770b559255de92381affc2fc0f5e3e
Press [Enter] to continue...TokensValidate (t) evalcode=0xf2
..TokensExactAmounts() vin i=1 tokenoshis=100000000
..TokensExactAmounts() vout i=0 tokenoshis=10000000
..TokensExactAmounts() vout i=1 tokenoshis=90000000
TokensExactAmounts() vin i=1 tokenoshis=10000000
TokensExactAmounts() vout i=1 tokenoshis=10000000
token transfer preliminarily validated 0.10000000 -> 0.10000000 (-1 -1)
CC Eval EVAL_GATEWAYS Invalid: invalid gatewayscompletesigning OP_RETURN data! spending tx e40a56ac854c7ceb829e22ca25b76f6686770b559255de92381affc2fc0f5e3e
```";"";"";
"272003866906722306";"TonyL#3577";"01-Feb-19 09:44 AM";"Don't have tokens anymore:
```./komodo-cli -ac_name=GWISBACK tokenbalance 165f6fe4fd0426a94f1b120732160e8f2b17a09e1dfae7d4ebd62e048b50894a
{
  ""result"": ""success"",
  ""CCaddress"": ""RCAQcrb5VpjAG9DAyr94ynVgzkYhczWNLS"",
  ""tokenid"": ""165f6fe4fd0426a94f1b120732160e8f2b17a09e1dfae7d4ebd62e048b50894a"",
  ""balance"": 0
}
```";"";"";
"272003866906722306";"TonyL#3577";"01-Feb-19 09:45 AM";"And KMD don't have as well 😃";"";"";
"424224648889106444";"Mihailo#5902";"01-Feb-19 09:46 AM";"@TonyL This happened when broadcasting withdraw or ?";"";"";
"272003866906722306";"TonyL#3577";"01-Feb-19 09:47 AM";"@Mihailo `gatewayswithdraw` broadcasting yep";"";"";
"424224648889106444";"Mihailo#5902";"01-Feb-19 09:47 AM";"Hmmmm, very strange";"";"";
"272003866906722306";"TonyL#3577";"01-Feb-19 09:48 AM";"```CC Eval EVAL_GATEWAYS Invalid: invalid gatewayscompletesigning OP_RETURN data! spending tx e40a56ac854c7ceb829e22ca25b76f6686770b559255de92381affc2fc0f5e3e```
Do you need `getrawtransaction 1` of e40a56ac854c7ceb829e22ca25b76f6686770b559255de92381affc2fc0f5e3e ?";"";"";
"424224648889106444";"Mihailo#5902";"01-Feb-19 09:49 AM";"Not sure what would I see. As withdraw tx does not trigger validation, and this print is only when validating completesinging tx or markdone tx. So not sure how this happened";"";"";
"424224648889106444";"Mihailo#5902";"01-Feb-19 09:51 AM";"Can you do decodeccopret with hex of that tx?";"";"";
"272003866906722306";"TonyL#3577";"01-Feb-19 09:53 AM";"```./komodo-cli -ac_name=GWISBACK getrawtransaction e40a56ac854c7ceb829e22ca25b76f6686770b559255de92381affc2fc0f5e3e
0400008085202f89020de79185cc3b8218a5b049982f8a25309337019122684080ea0be4a2ba4410590000000049483045022100bbf4dcf57ce365a45920d23c3bb05442df6b0a144cd6e6ec136da801ee8932f30220333015506da6fda3a123411a1e683392bba42af70d5d9284490cab92b8f4953001ffffffff4bdcf34a32a6d2c2482a6ac73e4abc3d3f874db844436e6a013e022e7fd4a8bb000000007b4c79a276a072a26ba067a565802103ec341bcf976d99c6c98636dc875c4c02e029b3e3fe5f5c4b93e413e5a18dd0cd81403742f1a6a4488ed4ad70bfda7023f885101eb84cc9d32f909aa497bf9c9fd74837e39c0d41e2a044da54cb1ba4d2002656972b7de9a5378f45e6dc3601f82caea100af038001f2a10001ffffffff041027000000000000302ea22c802091abda62a548f9c7f5beb19d16f01714ae3d4e526f3266fc8d347d6123f3d77b8103120c008203000401cc8096980000000000302ea22c8020bed294e15cd2e327d2f1e6bcf55e2ebe571b7bc2e672363950ca680c8b89226381032210008203000401cce051724e18090000232103ec341bcf976d99c6c98636dc875c4c02e029b3e3fe5f5c4b93e413e5a18dd0cdac0000000000000000996a4c96f274165f6fe4fd0426a94f1b120732160e8f2b17a09e1dfae7d4ebd62e048b50894a012103ea9c062b9652d8eff34879b504eda0717895d27597aaeb60347d65eed96ccb4050f157b8ddc137274bfda29ee0c187929f602a0ad5d17ceec3aed50c0351dec5505b6c034b4d442102554fb8a367cdb896ab6566c9f2aac62de70e5d643d2b6c19f01d65712da589db809698000000000000000000960000000000000000000000000000```";"";"";
"272003866906722306";"TonyL#3577";"01-Feb-19 09:53 AM";"``` ./komodo-cli -ac_name=GWISBACK decodeccopret 0400008085202f89020de79185cc3b8218a5b049982f8a25309337019122684080ea0be4a2ba4410590000000049483045022100bbf4dcf57ce365a45920d23c3bb05442df6b0a144cd6e6ec136da801ee8932f30220333015506da6fda3a123411a1e683392bba42af70d5d9284490cab92b8f4953001ffffffff4bdcf34a32a6d2c2482a6ac73e4abc3d3f874db844436e6a013e022e7fd4a8bb000000007b4c79a276a072a26ba067a565802103ec341bcf976d99c6c98636dc875c4c02e029b3e3fe5f5c4b93e413e5a18dd0cd81403742f1a6a4488ed4ad70bfda7023f885101eb84cc9d32f909aa497bf9c9fd74837e39c0d41e2a044da54cb1ba4d2002656972b7de9a5378f45e6dc3601f82caea100af038001f2a10001ffffffff041027000000000000302ea22c802091abda62a548f9c7f5beb19d16f01714ae3d4e526f3266fc8d347d6123f3d77b8103120c008203000401cc8096980000000000302ea22c8020bed294e15cd2e327d2f1e6bcf55e2ebe571b7bc2e672363950ca680c8b89226381032210008203000401cce051724e18090000232103ec341bcf976d99c6c98636dc875c4c02e029b3e3fe5f5c4b93e413e5a18dd0cdac0000000000000000996a4c96f274165f6fe4fd0426a94f1b120732160e8f2b17a09e1dfae7d4ebd62e048b50894a012103ea9c062b9652d8eff34879b504eda0717895d27597aaeb60347d65eed96ccb4050f157b8ddc137274bfda29ee0c187929f602a0ad5d17ceec3aed50c0351dec5505b6c034b4d442102554fb8a367cdb896ab6566c9f2aac62de70e5d643d2b6c19f01d65712da589db809698000000000000000000960000000000000000000000000000
error code: -5
error message:
No information available about transaction```";"";"";
"272003866906722306";"TonyL#3577";"01-Feb-19 09:54 AM";"oh sorry";"";"";
"272003866906722306";"TonyL#3577";"01-Feb-19 09:54 AM";"```./komodo-cli -ac_name=GWISBACK decodeccopret e40a56ac854c7ceb829e22ca25b76f6686770b559255de92381affc2fc0f5e3e
{
  ""result"": ""success"",
  ""eval_code"": ""EVAL_TOKENS"",
  ""function"": ""t""
}
```";"";"";
"424224648889106444";"Mihailo#5902";"01-Feb-19 09:54 AM";"Ah, did not made support for dual opret...";"";"";
"272003866906722306";"TonyL#3577";"01-Feb-19 09:55 AM";"Yay, found bug 😃";"";"";
"424224648889106444";"Mihailo#5902";"01-Feb-19 09:56 AM";"Hmmm, I'm still shocked how this validation happened.";"";"";
"272003866906722306";"TonyL#3577";"01-Feb-19 09:58 AM";"https://paste.ubuntu.com/p/D5PnkWn4Mm/";"";"";
"272003866906722306";"TonyL#3577";"01-Feb-19 09:58 AM";"I've saved some prints to notepad during the process - maybe it can help";"";"";
"272003866906722306";"TonyL#3577";"01-Feb-19 09:59 AM";"bind, gatewaysdeposit and gatewayswithdraw";"";"";
"272003866906722306";"TonyL#3577";"01-Feb-19 10:00 AM";"Deposit: https://kmdexplorer.io/tx/34a53cb0ad8a162ac275d1372190cdc6b409a747d8546baa58b78029b61fb68d";"";"";
"424224648889106444";"Mihailo#5902";"01-Feb-19 10:01 AM";"Ah, this print may be confusing me. It seems withdraw started and it failed on completesigning. Do you have the output of oraclefeed?";"";"";
"272003866906722306";"TonyL#3577";"01-Feb-19 10:02 AM";"```KMD ht.1209475 <- 83741200136ece8d3e15aecd0bb4d78bb847a78907acd827bdd1726e106daf3c020000000960c60911255b3ff91c2539cff24a2864aca5b70b55c10de317e825729e4244
broadcast GWISBACK txid.(f238806e4bbdaf2408e22e4da90271a4bdd8ea9ab403a2b054c7cd8170b1bdf9)
#WITHDRAW (e40a56ac854c7ceb829e22ca25b76f6686770b559255de92381affc2fc0f5e3e) complete signing tx sent - f238806e4bbdaf2408e22e4da90271a4bdd8ea9ab403a2b054c7cd8170b1bdf9
broadcast GWISBACK txid.(aa00a516b707b7a33b9415247c2807c496f0db943028fc92b303a75e736da32c)
KMD ht.1209476 <- 84741200ed1ac28545f6259061e80f2b0742c60336e2c0d1d1ae16b0509a13956d032c003e9e99b5e09ffd74c02734dec2bc4b861867393806900327fe3e8455a1ab2ef1
broadcast GWISBACK txid.(9e10c30254cff30e72aca87c570fa0fd4445253fb9e4eecb29addc8acbc30a40)
KMD ht.1209477 <- 85741200a38c5d5198b18a953186edc66c790b5a8fbb466f326b7d4494965e2b0ac9fd08cb21487957e2b0a2ec99eed18efc97fda3a12e7f52d8c345e84bcd249703733c
```";"";"";
"424224648889106444";"Mihailo#5902";"01-Feb-19 10:02 AM";"Yep, withdraw started and it failed on complete signing";"";"";
"424224648889106444";"Mihailo#5902";"01-Feb-19 10:02 AM";"Ok, let me check";"";"👌 (1)";
"424224648889106444";"Mihailo#5902";"01-Feb-19 10:10 AM";"@TonyL Sorry, can you do one more thing, do decodeccopret f238806e4bbdaf2408e22e4da90271a4bdd8ea9ab403a2b054c7cd8170b1bdf9";"";"";
"272003866906722306";"TonyL#3577";"01-Feb-19 10:11 AM";"```./komodo-cli -ac_name=GWISBACK decodeccopret f238806e4bbdaf2408e22e4da90271a4bdd8ea9ab403a2b054c7cd8170b1bdf9
error code: -5
error message:
No information available about transaction
```";"";"";
"424224648889106444";"Mihailo#5902";"01-Feb-19 10:11 AM";"ah, yes it failed validation";"";"";
"424224648889106444";"Mihailo#5902";"01-Feb-19 10:12 AM";"Ok, will change this RPC to accept hex";"";"";
"424224648889106444";"Mihailo#5902";"01-Feb-19 10:19 AM";"@TonyL I have done successful signing on 1of1 gateway. Can you check do you have the latest code on that node? Have you compiled komodod and also oraclefeed.";"";"";
"272003866906722306";"TonyL#3577";"01-Feb-19 10:23 AM";"Yes, one of the nodes was not actual, re-testing";"";"";
"424224648889106444";"Mihailo#5902";"01-Feb-19 10:24 AM";"👍";"";"";
"424224648889106444";"Mihailo#5902";"01-Feb-19 10:24 AM";"Happens to me too 😉";"";"";
"272003866906722306";"TonyL#3577";"01-Feb-19 10:26 AM";"Forgot that gateways needs concentration like in movies where hero deactivating bomb on the last seconds, sorry 🙂";"";"";
"424224648889106444";"Mihailo#5902";"01-Feb-19 10:26 AM";"😃";"";"";
"455741312273219595";"jl777c#5810";"01-Feb-19 10:40 AM";"the red wire!";"";"";
"455741312273219595";"jl777c#5810";"01-Feb-19 10:40 AM";"no, the blue";"";"😄 (1)";
"272003866906722306";"TonyL#3577";"01-Feb-19 10:40 AM";"💥";"";"";
"272003866906722306";"TonyL#3577";"01-Feb-19 10:51 AM";"@Mihailo Is it expected that second gateway which I created from the same node have the same `deposit` address as the first one - forgot this moment?";"";"";
