AuthorID;Author;Date;Content;Attachments;Reactions;
"405011811511828481";"Alright#0419";"02-Nov-18 04:07 PM";"global batonid?";"";"";
"272003866906722306";"TonyL#3577";"02-Nov-18 04:09 PM";"Yeah, when I switch room in rooms list changing param `active_room_id =`
And app every 0.5 seconds grabbing oraclesdata with depth 1 for the current batontxid
If batontxid is the same as previous it's not displaying message (not adding to array with messages actually)";"";"";
"272003866906722306";"TonyL#3577";"02-Nov-18 04:10 PM";"For multiply people conversation I have to grab it for all publishers in room, correct?";"";"";
"405011811511828481";"Alright#0419";"02-Nov-18 04:10 PM";"yep";"";"";
"405011811511828481";"Alright#0419";"02-Nov-18 04:10 PM";"the current receive script does that";"";"";
"272003866906722306";"TonyL#3577";"02-Nov-18 04:10 PM";"Aha, so now I can talk with only one publisher";"";"";
"405011811511828481";"Alright#0419";"02-Nov-18 04:11 PM";"have to consider that there may be dupes of pubkeys in oracleslist btw";"";"";
"405011811511828481";"Alright#0419";"02-Nov-18 04:11 PM";"if a pubkey registers multiple times";"";"";
"272003866906722306";"TonyL#3577";"02-Nov-18 04:11 PM";"As I remeber I've stucked when tried to implement trollbox `receive.py`";"";"";
"272003866906722306";"TonyL#3577";"02-Nov-18 04:12 PM";"Have to re-check it to grab messages for all publishers and parse nickname";"";"";
"405011811511828481";"Alright#0419";"02-Nov-18 04:14 PM";"can help you if you're stuck on something in particular";"";"👍 (1)";
"405011811511828481";"Alright#0419";"02-Nov-18 04:14 PM";"the comments explain what it's doing I hope";"";"";
"272003866906722306";"TonyL#3577";"02-Nov-18 04:50 PM";"There is much stuff to do to make this chat GUI really useful. If someone want to collaborate and contribute - feel free to buzz me. I'll be glad to answer on questions regards current code and framework/libs used";"";"";
"396753788150611968";"B. Gültekin Çetiner#0626";"02-Dec-18 10:23 AM";"Is there any Delphi developer? Can we make some GUI samples for Delphi developers?";"";"";
"371114647052615681";"Mylo#8306";"03-Dec-18 10:17 AM";"GUI samples of what @B. Gültekin Çetiner ?  

GUI samples in Delphi or GUI samples in any language for a Delphi programmer to understand what to do from Delphi (transposing from one sample Lang to Delphi)?";"";"";
"371114647052615681";"Mylo#8306";"03-Dec-18 10:18 AM";"Latter is being worked on currently in JavaScript and python but not a priority at the current week with sapling update.";"";"";
"396753788150611968";"B. Gültekin Çetiner#0626";"03-Dec-18 09:02 PM";"@Mylo  Thanks very much. It was for using CC functionalities from a Delphi program. No need to hurry.";"";"";
