AuthorID;Author;Date;Content;Attachments;Reactions;
"232679450301431808";"blackjok3r#3181";"09-May-19 08:12 AM";"https://github.com/blackjok3rtt/komodo/blob/jl777/src/cc/prices.cpp#L15
Any question fee free to ask.";"";"👍 (1)";
"272003866906722306";"TonyL#3577";"09-May-19 08:12 AM";"If I understood prices/payments to work together correct";"";"";
"272003866906722306";"TonyL#3577";"09-May-19 08:12 AM";"Thanks";"";"";
"232679450301431808";"blackjok3r#3181";"09-May-19 08:12 AM";"yes by using the `-ac_earlytxidcontract=237` the chain knows that the scriptpubkey inside the earlytxid, is to be used to pay something from the pricesCC.";"";"";
"232679450301431808";"blackjok3r#3181";"09-May-19 08:14 AM";"working out teh parameters for the paymentsairdrop is liekly the hardest aprt really. They need to be sane so that the contract will function with the amounts it wil be receiving, how many address it wil be paying etc. An address cannot receive less than 10k sats. So if the plan is designed incirrectly, it could take years, before a release is possible.";"";"";
"272003866906722306";"TonyL#3577";"09-May-19 09:12 AM";"Started chain with `ac_earlytxidcontract` and `earlytxid` :  https://paste.ubuntu.com/p/HzS7bqM3dp/ 
```./komodo-cli -ac_name=TONYPS paymentsinfo '[""baf43b87789357495aa22aa3f3451b28daa8619cba0480fe615e6442cc61e332""]'
{
  ""plan_type"": ""snapshot"",
  ""lockedblocks"": 10,
  ""minrelease"": 10,
  ""minimum"": 10000,
  ""bottom"": 0,
  ""top"": 3999,
  ""fixedFlag"": 0,
  ""excludeScriptPubkeys"": [
  ],
  ""RWSZtPBs9GTiftNzBCbQ1M8eJFQgNYPgFf"": 100.00000000,
  ""REpyKi7avsVduqZ3eimncK4uKqSArLTGGK"": 0.00000000,
  ""totalfunds"": 100.00000000,
  ""elegiblefunds"": 100.00000000,
  ""min_release_height"": 37,
  ""result"": ""success""
}
```";"";"";
"272003866906722306";"TonyL#3577";"09-May-19 09:14 AM";"Not totally sure if pricesCC should send fees to earlytxid payments plan atm - will try to open few positions now";"";"";
"232679450301431808";"blackjok3r#3181";"09-May-19 09:17 AM";"no idea if prices has been coded to actually send the fees to the plan or not... I just added the functions with some examples";"";"";
"272003866906722306";"TonyL#3577";"09-May-19 09:17 AM";"Forgot to use prices params actually such as:
```-ac_cbopret=7 -ac_prices=""LTC, BCHABC, XMR, IOTA, ZEC, WAVES, LSK, DCR, RVN, DASH, XEM, BTS, ICX, HOT, STEEM, ENJ, STRAT"" -ac_cclib=prices```";"";"";
"272003866906722306";"TonyL#3577";"09-May-19 09:17 AM";"Ah, I see";"";"";
"272003866906722306";"TonyL#3577";"09-May-19 09:17 AM";"Have no idea as well 😃";"";"";
"272003866906722306";"TonyL#3577";"09-May-19 09:18 AM";"Payment plan it seems I was able to create";"";"";
"232679450301431808";"blackjok3r#3181";"09-May-19 09:19 AM";"payments is working finefrom what I can tell, code is messy but it seems to be stable.";"";"";
"272003866906722306";"TonyL#3577";"09-May-19 09:22 AM";"I see, so clue now is to send fees to paymentplan which declared in earlytxid, ensure that on bets it sending correctly, then check if it distributing to coin holders proportinally and then it's possible to launch `BETS0` chain backed by `BET` coin";"";"";
"455741312273219595";"jl777c#5810";"09-May-19 09:34 AM";"-ac_cclib=prices is not needed it is not in libcc";"";"👌 (1)";
"232679450301431808";"blackjok3r#3181";"09-May-19 09:49 AM";"@TonyL  Pushing fix for pricesbet. I think you will need this fix to test it. It should actually pay the correct address from what I can see, bt I left it all commented out 🤦";"";"👍 (1)";
"232679450301431808";"blackjok3r#3181";"09-May-19 09:49 AM";"https://github.com/jl777/komodo/pull/1474";"";"";
"272003866906722306";"TonyL#3577";"10-May-19 05:56 AM";"I have chain with such params:
```./komodod -ac_name=TONYPS2 -ac_supply=1000 -ac_reward=10000000 -ac_cc=2 -ac_snapshot=50 -ac_sapling=1 -ac_earlytxidcontract=237 -ac_cbopret=7 -ac_prices=""LTC, BCHABC, XMR, IOTA, ZEC, WAVES, LSK, DCR, RVN, DASH, XEM, BTS, ICX, HOT, STEEM, ENJ, STRAT"" -ac_pubkey=039433dc3749aece1bd568f374a45da3b0bc6856990d7da3cd175399577940a775 -ac_perc=77777  -pubkey=0209bc25e2f5a9e252a88365de34bab4511638fadf4131d6f692efbe8186feefaf -earlytxid=703c858c0771edf1f24fec447a5f60636ad597bcd8965f41bd26b5596bb67df4  -addnode=159.69.45.70 -daemon```

`prices` call returning only one price atm:
```./komodo-cli -ac_name=TONYPS2 prices 1
{
  ""firstheight"": 2,
  ""timestamps"": [
    1557467533
  ],
  ""pricefeeds"": [
    {
      ""name"": ""BTC_USD"",
      ""prices"": [
        [
          6301.47330000
        ]
      ]
    },
    {
      ""name"": ""BTC_GBP"",
      ""prices"": [
        [
          4844.97590000
        ]
      ]
    },
    {
      ""name"": ""BTC_EUR"",
      ""prices"": [
        [
          5612.72230000
        ]
      ]
    },
```";"";"";
"272003866906722306";"TonyL#3577";"10-May-19 05:57 AM";"Am I missing something or some min blocks amount should pass until other two prices will be calculated? (using latest jl777)";"";"";
"455741312273219595";"jl777c#5810";"10-May-19 06:03 AM";"is it printing out all the prices it is getting?";"";"";
"272003866906722306";"TonyL#3577";"10-May-19 06:05 AM";"https://paste.ubuntu.com/p/dd7mtFkvPV/ full output looks like this";"";"";
"272003866906722306";"TonyL#3577";"10-May-19 06:05 AM";"And have such prints in stdout";"https://cdn.discordapp.com/attachments/560714286369079299/576288759725686785/unknown.png";"";
"455741312273219595";"jl777c#5810";"10-May-19 06:06 AM";"it needs more data";"";"👌 (1)";
"272003866906722306";"TonyL#3577";"10-May-19 06:12 AM";"I think that for BETS0 will use more tickers to make it more interesting for players - all from top20 or top30 lets say";"";"";
"272003866906722306";"TonyL#3577";"10-May-19 07:07 AM";"Hmm, 130 blocks already and still single price. How much data approx it needs to calculate others?";"";"";
"272003866906722306";"TonyL#3577";"10-May-19 07:16 AM";"Tried to delete blocks on one node and resync - now on `./komodo-cli -ac_name=TONYPS2 prices 1` daemon crashing with such backtrace: https://paste.ubuntu.com/p/GNxpGnwyJK/";"";"";
