AuthorID;Author;Date;Content;Attachments;Reactions;
"482773501435052032";"Exile13#4458";"21-Apr-19 05:00 AM";"so on THC the cc_payments would fund cc_rewards";"";"";
"232679450301431808";"blackjok3r#3181";"21-Apr-19 05:04 AM";"yes, there has to be something in it. But the paymetnsCC will pay some % of the founders fee to the rewards plan.";"";"";
"232679450301431808";"blackjok3r#3181";"21-Apr-19 05:04 AM";"people can then lock their coins in the plan, and claim some of the mined coins, after the conditions have been met.";"";"";
"482773501435052032";"Exile13#4458";"21-Apr-19 05:14 AM";"where do i find this? `fundingtxid(string) the txid of the transaction that created and funded this contract`";"";"";
"482773501435052032";"Exile13#4458";"21-Apr-19 05:14 AM";"do i have to ues taht hex ^^";"";"";
"482773501435052032";"Exile13#4458";"21-Apr-19 05:15 AM";"or `getaddresstxids`";"";"";
"232679450301431808";"blackjok3r#3181";"21-Apr-19 05:17 AM";"you need to send the hex with sendrawtransaction";"";"";
"232679450301431808";"blackjok3r#3181";"21-Apr-19 05:17 AM";"the return of that call will give you the txid";"";"";
"232679450301431808";"blackjok3r#3181";"21-Apr-19 05:18 AM";"this txid ifentifies the rewards plan. Everything will need to use it";"";"";
"482773501435052032";"Exile13#4458";"21-Apr-19 05:18 AM";"ok";"";"";
"482773501435052032";"Exile13#4458";"21-Apr-19 05:23 AM";"where am i sending it to";"";"";
"482773501435052032";"Exile13#4458";"21-Apr-19 05:24 AM";"myself?";"";"";
"232679450301431808";"blackjok3r#3181";"21-Apr-19 05:24 AM";"its a raw transaction, it contains the places to send to already";"";"";
"232679450301431808";"blackjok3r#3181";"21-Apr-19 05:25 AM";"`komodo-cli -ac_name=EXILE sendrawtransaction 0400008085202f89010010a763ce23301a092dcdc1ceb015ab72b0099acc54645ef34b337bc770ddf50000000049483045022100dca2600e388e929bb3ee1face32a20edb348efc5a75217f85e9e3ac17a3e4e2b02202169a4a6f49590a8a6b4cad2ecad6f073fc7320cc39d37cdfa126a63bcfcf41101ffffffff040065cd1d00000000302ea22c802065686d47a4049c2c845a71895a915eb84c04445896eec5dc0be40df0b31372da8103120c008203000401cc1027000000000000232103da60379d924c2c30ac290d2a86c2ead128cb7bd571f69211cb95356e2dcc5eb9ace034a92a170000000200ac00000000000000002c6a2ae54632354b00000000000065cd1d0000000080533b000000000000a776000000000000a89c134602000000000000c00100000000000000000000000000`";"";"";
"232679450301431808";"blackjok3r#3181";"21-Apr-19 05:25 AM";"you can also `decoderawtransaction` to see where it pays to etc.";"";"";
"482773501435052032";"Exile13#4458";"21-Apr-19 05:25 AM";"really jsut send the hex";"";"";
"482773501435052032";"Exile13#4458";"21-Apr-19 05:25 AM";"whoa";"";"";
"232679450301431808";"blackjok3r#3181";"21-Apr-19 05:26 AM";"A lot of the newer ccs do that automatically... I guess we can add that to rewards at some pouint to make it easier to use 😃";"";"";
"232679450301431808";"blackjok3r#3181";"21-Apr-19 05:26 AM";"dpends though a GUI would likely want to confirm the tx beofre sending it";"";"";
"482773501435052032";"Exile13#4458";"21-Apr-19 05:27 AM";"error code: -26
error message:
16: tx-overwinter-expired";"";"";
"232679450301431808";"blackjok3r#3181";"21-Apr-19 05:27 AM";"did send it fast enough";"";"";
"232679450301431808";"blackjok3r#3181";"21-Apr-19 05:27 AM";"just do rewards create again. press up key a few times and enter, then use the new hex";"";"";
"482773501435052032";"Exile13#4458";"21-Apr-19 05:31 AM";"i think i got it, i did `decoderawtransaction` and returned `e17b29b04618b830eccdad3803963c9e89f6ba17d74a2951bf7728868f07d850`";"";"";
"232679450301431808";"blackjok3r#3181";"21-Apr-19 05:31 AM";"if you dont send it though its not on the chain";"";"";
"232679450301431808";"blackjok3r#3181";"21-Apr-19 05:31 AM";"have to send the tx for the plan to exist";"";"";
"232679450301431808";"blackjok3r#3181";"21-Apr-19 05:31 AM";"but yes tahts what your looking for";"";"";
"482773501435052032";"Exile13#4458";"21-Apr-19 05:31 AM";"oh";"";"";
"482773501435052032";"Exile13#4458";"21-Apr-19 05:32 AM";"so i just pinged the creation of it";"";"";
"232679450301431808";"blackjok3r#3181";"21-Apr-19 05:33 AM";"yeah kind of, rewards doesnt send anything automatically... as it never got used for anything. We can easily add that, but you dont want to make mistakes with things if you odnt know what your doing so I think manually sending at first is better until you know how it works. 😃";"";"";
"482773501435052032";"Exile13#4458";"21-Apr-19 05:33 AM";"yessr";"";"";
