AuthorID;Author;Date;Content;Attachments;Reactions;
"272003866906722306";"TonyL#3577";"20-Mar-19 08:18 PM";"Reproduced focus losing - it's happening after you checking inventory after `there is no room in your pack + you moved on %itemname%` print";"";"";
"272003866906722306";"TonyL#3577";"20-Mar-19 08:19 PM";"To easily reproduce - you can just throw and pickup arrows until it fill inventory letters max amount";"";"";
"272003866906722306";"TonyL#3577";"20-Mar-19 08:19 PM";"Let me check if I can put as many keystrokes as I want in this state";"";"";
"455741312273219595";"jl777c#5810";"20-Mar-19 08:20 PM";"so focus losing is the symptom or the cause";"";"";
"272003866906722306";"TonyL#3577";"20-Mar-19 08:20 PM";"Focus losing allows me to press buttons withiout any affection on game process but they are recording as keystrokes";"";"";
"272003866906722306";"TonyL#3577";"20-Mar-19 08:20 PM";"So playing during the replay";"";"";
"455741312273219595";"jl777c#5810";"20-Mar-19 08:20 PM";"i guess if keystrokes dont work without focus, but they go in keystrokes file that would cause non-det";"";"";
"455741312273219595";"jl777c#5810";"20-Mar-19 08:21 PM";"ok, we say the same";"";"";
"455741312273219595";"jl777c#5810";"20-Mar-19 08:21 PM";"focus losing is the cause";"";"";
"455741312273219595";"jl777c#5810";"20-Mar-19 08:21 PM";"and it only happens when out of inventory ?";"";"";
"272003866906722306";"TonyL#3577";"20-Mar-19 08:21 PM";"Yup - one arrow press with lost focus and futher progress lost";"";"";
"272003866906722306";"TonyL#3577";"20-Mar-19 08:22 PM";"Hmm so far I found only this way to lose it";"";"";
"455741312273219595";"jl777c#5810";"20-Mar-19 08:22 PM";"what causes it to lose focus at the ncurses level?";"";"";
"455741312273219595";"jl777c#5810";"20-Mar-19 08:23 PM";"can you have decker track this down?";"";"";
"272003866906722306";"TonyL#3577";"20-Mar-19 08:24 PM";"Ok, I'll consult with Decker
Flow is:
```There's no room in your pack--More--```
Pressing space - then can do anything - move or fight no matters";"";"";
"272003866906722306";"TonyL#3577";"20-Mar-19 08:24 PM";"On next inventory check I'll need to press Space twice to return control (or press ESC)";"";"treasure (2)";
"455741312273219595";"jl777c#5810";"20-Mar-19 08:25 PM";"i think with this context, decker will be able to solve this puzzle";"";"👍 (2)";
"272003866906722306";"TonyL#3577";"20-Mar-19 08:47 PM";"Case seems like an edge one - but actually any game with full invetory is ggwp now if you don't know about this bug mechanics 😃";"";"";
"272003866906722306";"TonyL#3577";"20-Mar-19 08:47 PM";"Checking now if it actual for Ubuntu only or other platfroms as well";"";"";
"272003866906722306";"TonyL#3577";"20-Mar-19 08:55 PM";"Actual on Windows as well";"";"";
"272003866906722306";"TonyL#3577";"20-Mar-19 08:56 PM";"Hope Decker will save the Rogue galaxy 😃";"";"";
"361480872291074068";"ronyi#5719";"20-Mar-19 08:57 PM";"Me too, this is a very good news.";"";"💯 (2)";
"272003866906722306";"TonyL#3577";"20-Mar-19 08:58 PM";"I was very lucky to find it - actually I checked abrakadabra scrolls in this game  😂";"";"rum (1)";
