AuthorID;Author;Date;Content;Attachments;Reactions;
"455741312273219595";"jl777c#5810";"11-Feb-19 06:02 PM";"if so that is the same bug";"";"";
"412323938782150658";"SHossain#0007";"11-Feb-19 06:03 PM";"it was just a new game after update.
is there a new keystroke on level one upon starting the game?";"";"";
"455741312273219595";"jl777c#5810";"11-Feb-19 06:03 PM";"was the register confirmed?";"";"";
"455741312273219595";"jl777c#5810";"11-Feb-19 06:03 PM";"it makes a linked list from the newgame -> register -> keystroke -> keystroke ... -> bailout";"";"";
"455741312273219595";"jl777c#5810";"11-Feb-19 06:04 PM";"likely nothing has confirmed as mining is very slow now";"";"";
"455741312273219595";"jl777c#5810";"11-Feb-19 06:05 PM";"if you are mining, plz keep updated to latest as otherwise the diff goes way up and we get stranded";"";"";
"242635006516658197";"jorian#4555";"11-Feb-19 06:05 PM";"i got on a fork again";"";"";
"242635006516658197";"jorian#4555";"11-Feb-19 06:05 PM";"resyncing now";"";"";
"412323938782150658";"SHossain#0007";"11-Feb-19 06:05 PM";"yes, my mining node is updated too. probably the tx wasn't confirmed";"";"";
"412323938782150658";"SHossain#0007";"11-Feb-19 06:06 PM";"2nd game, killed on level 1 after playing for couple of minutes and no loop.";"";"";
"242635006516658197";"jorian#4555";"11-Feb-19 06:07 PM";"```2019-02-11 18:06:43 AddToWallet 6ab5ba4cc449d310c91de820c0e6f13afbf61ae450b6f4386b0eb20147064c8b  
2019-02-11 18:06:43 ERROR: CScriptCheck(): d114f731653d2a026d338ed1b1ff459949fd7db42cbee2adae2d0887766b8c21:1 VerifySignature failed: Script evaluated without error but finished with a false/empty top stack element
2019-02-11 18:06:43 Misbehaving: 159.69.10.44:38426 (0 -> 100)
2019-02-11 18:06:43 InvalidChainFound: invalid block=00111def734c7428b7365b4a4571fd87d9646a097d0e420ab3dcab43d9849a7d  height=12016  log2_work=23.443812  log2_stake=-inf  date=2019-02-10 21:48:40
2019-02-11 18:06:43 InvalidChainFound:  current best=0002a15253390a0206736b9ff7b7b9102f7a209fd1b7f62b0142367872ba0f44  height=12015  log2_work=23.443436  log2_stake=-inf  date=2019-02-10 21:48:18
2019-02-11 18:06:43 ERROR: ConnectTip(): ConnectBlock 00111def734c7428b7365b4a4571fd87d9646a097d0e420ab3dcab43d9849a7d failed```";"";"";
"412323938782150658";"SHossain#0007";"11-Feb-19 06:08 PM";"```
./komodo-cli -ac_name=ROGUE getblockhash 12972
00029e68200b20855bf21e8aa3411c8dcc832a75a8c7c6910920ac91c5da3d2e
```";"";"";
"242635006516658197";"jorian#4555";"11-Feb-19 06:13 PM";"```2019-02-11 18:12:45 UpdateTip: new best=01a5dfd43fcd6da21ef957320d99ca2924022a0470cb2c91dfe0bd5b67c1586e  height=196  log2_work=13.1325  log2_stake=-inf  tx=197  date=2019-02-02 17:52:03 progress=0.015104  cache=0.1MiB(196tx)
2019-02-11 18:12:45 ERROR: CScriptCheck(): 35e99df53c981a937bfa2ce7bfb303cea0249dba34831592c140d1cb729cb19f:0 VerifySignature failed: Script evaluated without error but finished with a false/empty top stack element
2019-02-11 18:12:45 Misbehaving: 5.9.102.210:38426 (0 -> 100)
2019-02-11 18:12:45 InvalidChainFound: invalid block=00aef5c3c97498bbbbbf61a1422c896f635da68340ce7d19571afbead7bd1d67  height=197  log2_work=13.146728  log2_stake=-inf  date=2019-02-02 17:55:42
2019-02-11 18:12:45 InvalidChainFound:  current best=01a5dfd43fcd6da21ef957320d99ca2924022a0470cb2c91dfe0bd5b67c1586e  height=196  log2_work=13.1325  log2_stake=-inf  date=2019-02-02 17:52:03
```";"";"";
"242635006516658197";"jorian#4555";"11-Feb-19 06:13 PM";"what's going on";"";"";
"242635006516658197";"jorian#4555";"11-Feb-19 06:13 PM";"```CC Eval 0x11 Invalid: mismatched -ac_cclib vs CClib_name spending tx 1f1da448b0cd1d26911f1e20f92aa95e2b553c3745e2313138b889a9fcff3700
``` in console";"";"";
"412323938782150658";"SHossain#0007";"11-Feb-19 06:15 PM";"did you use `./makerogue` before compiling new daemon?";"";"";
"412323938782150658";"SHossain#0007";"11-Feb-19 06:15 PM";"@jorian check this https://github.com/KomodoPlatform/komodo/wiki/Get-Started-with-Rogue-Game#update-komodod";"";"";
"455741312273219595";"jl777c#5810";"11-Feb-19 06:19 PM";"if you are killed, why do you expect to get any gold?";"";"";
"455741312273219595";"jl777c#5810";"11-Feb-19 06:19 PM";"@jorian you are using the wrong libcc.so";"";"";
"242635006516658197";"jorian#4555";"11-Feb-19 06:20 PM";"i had to remake rogue";"";"";
"455741312273219595";"jl777c#5810";"11-Feb-19 06:20 PM";"./makerogue to build it BEFORE building komodod";"";"";
"242635006516658197";"jorian#4555";"11-Feb-19 06:20 PM";"i forgot";"";"";
"455741312273219595";"jl777c#5810";"11-Feb-19 06:20 PM";"i have a handy batch script that does makerogue each time, it is fast enough";"";"";
"455741312273219595";"jl777c#5810";"11-Feb-19 06:20 PM";"tokenorders 404cc1a843cb43bcd32d3bc27278b7011baca09812243daf8161eeabbfc08462
[
  {
    ""funcid"": ""s"",
    ""txid"": ""3073cf253122480d26ff5cb299f66eb51ce085dd16a00c2f25369a141c726400"",
    ""vout"": 0,
    ""amount"": ""1"",
    ""askamount"": ""1"",
    ""origaddress"": ""RXF1foT1iPKCNWpW6Jzrw1hu3FFXRVY9tS"",
    ""tokenid"": ""404cc1a843cb43bcd32d3bc27278b7011baca09812243daf8161eeabbfc08462"",
    ""totalrequired"": ""1.00000000"",
    ""price"": ""1.00000000""
  }
]";"";"";
"455741312273219595";"jl777c#5810";"11-Feb-19 06:20 PM";"can someone buy my character?";"";"";
"242635006516658197";"jorian#4555";"11-Feb-19 06:21 PM";"```2019-02-11 18:20:27 UpdateTip: new best=0002a15253390a0206736b9ff7b7b9102f7a209fd1b7f62b0142367872ba0f44  height=12015  log2_work=23.443436  log2_stake=-inf  tx=12186  date=2019-02-10 21:48:18 progress=0.925227  cache=4.2MiB(12072tx)
2019-02-11 18:20:27 AddToWallet 6ab5ba4cc449d310c91de820c0e6f13afbf61ae450b6f4386b0eb20147064c8b  
2019-02-11 18:20:27 ERROR: CScriptCheck(): d114f731653d2a026d338ed1b1ff459949fd7db42cbee2adae2d0887766b8c21:1 VerifySignature failed: Script evaluated without error but finished with a false/empty top stack element
2019-02-11 18:20:27 Misbehaving: 159.69.10.44:38426 (0 -> 100)
2019-02-11 18:20:27 InvalidChainFound: invalid block=00111def734c7428b7365b4a4571fd87d9646a097d0e420ab3dcab43d9849a7d  height=12016  log2_work=23.443812  log2_stake=-inf  date=2019-02-10 21:48:40
2019-02-11 18:20:27 InvalidChainFound:  current best=0002a15253390a0206736b9ff7b7b9102f7a209fd1b7f62b0142367872ba0f44  height=12015  log2_work=23.443436  log2_stake=-inf  date=2019-02-10 21:48:18
2019-02-11 18:20:27 ERROR: ConnectTip(): ConnectBlock 00111def734c7428b7365b4a4571fd87d9646a097d0e420ab3dcab43d9849a7d failed``` if i get my chain to work";"";"";
"242635006516658197";"jorian#4555";"11-Feb-19 06:21 PM";"can't get past this";"";"";
"455741312273219595";"jl777c#5810";"11-Feb-19 06:21 PM";"and then try to use it with register";"";"";
"455741312273219595";"jl777c#5810";"11-Feb-19 06:21 PM";"when in doubt resync";"";"";
"242635006516658197";"jorian#4555";"11-Feb-19 06:21 PM";"this is a resync";"";"";
"242635006516658197";"jorian#4555";"11-Feb-19 06:21 PM";"could it be something in my wallet?";"";"";
"242635006516658197";"jorian#4555";"11-Feb-19 06:21 PM";"since the AddToWallet is there right before the error";"";"";
"412323938782150658";"SHossain#0007";"11-Feb-19 06:21 PM";"i'll try to buy now";"";"";
"455741312273219595";"jl777c#5810";"11-Feb-19 06:22 PM";"""longestchain"": 12987,";"";"";
"455741312273219595";"jl777c#5810";"11-Feb-19 06:22 PM";"it could be your wallet. unlikely but not impossible";"";"";
"412323938782150658";"SHossain#0007";"11-Feb-19 06:23 PM";"`""longestchain"": 12987,` on mine too";"";"";
"242635006516658197";"jorian#4555";"11-Feb-19 06:23 PM";"i moved my wallet, let's see";"";"";
"242635006516658197";"jorian#4555";"11-Feb-19 06:23 PM";"resyncing now";"";"";
"242635006516658197";"jorian#4555";"11-Feb-19 06:24 PM";"nope.. still the error";"";"";
"242635006516658197";"jorian#4555";"11-Feb-19 06:25 PM";"gonna purge the install and start fresh";"";"";
"412323938782150658";"SHossain#0007";"11-Feb-19 06:25 PM";"@CHMEX please update komodod for ROGUE explorer. follow this update steps https://github.com/KomodoPlatform/komodo/wiki/Get-Started-with-Rogue-Game#update-komodod";"";"";
