AuthorID;Author;Date;Content;Attachments;Reactions;
"455741312273219595";"jl777c#5810";"30-Jan-19 08:38 PM";"also, it serves as PR material as I could see some project raising 13 million USD, just to do a sudoku blockchain (2017), so it is funny that we achieve it in 2 days";"";"";
"455741312273219595";"jl777c#5810";"30-Jan-19 08:38 PM";"any bugs?";"";"";
"405011811511828481";"Alright#0419";"30-Jan-19 08:38 PM";"what is triggering the CC vout in coinbase";"";"";
"405011811511828481";"Alright#0419";"30-Jan-19 08:38 PM";"I couldn't follow";"";"";
"455741312273219595";"jl777c#5810";"30-Jan-19 08:38 PM";"triggering? it is an -ac_script chain";"";"";
"455741312273219595";"jl777c#5810";"30-Jan-19 08:39 PM";"not sure if it is the first chain to ac_perc -> CC vout, that is another function";"";"";
"455741312273219595";"jl777c#5810";"30-Jan-19 08:39 PM";"and I made it a clusterable chain just in case it became massively popular";"";"";
"405011811511828481";"Alright#0419";"30-Jan-19 08:40 PM";"so ac_script will just work with any CC vout?";"";"";
"405011811511828481";"Alright#0419";"30-Jan-19 08:41 PM";"`cclib gen 17`";"";"";
"405011811511828481";"Alright#0419";"30-Jan-19 08:41 PM";"the `""amount""` value returned seems random";"";"";
"405011811511828481";"Alright#0419";"30-Jan-19 08:41 PM";"what is it?";"";"";
"455741312273219595";"jl777c#5810";"30-Jan-19 08:43 PM";"amount is based on the difficulty score for the generated sudoku";"";"";
"455741312273219595";"jl777c#5810";"30-Jan-19 08:43 PM";"the ac_script is specifically for the evalcode 17 to the global pubkey";"";"";
"405011811511828481";"Alright#0419";"30-Jan-19 08:43 PM";"and when it returns `not enough SUDOKO funds`, is this not enough funds in CC address or not enough in my address?";"";"";
"455741312273219595";"jl777c#5810";"30-Jan-19 08:43 PM";"it uses global funds";"";"";
"455741312273219595";"jl777c#5810";"30-Jan-19 08:44 PM";"so not enough funds means not enough global funds";"";"";
"455741312273219595";"jl777c#5810";"30-Jan-19 08:44 PM";"anybody can create new sudoku using the global funds";"";"";
"405011811511828481";"Alright#0419";"30-Jan-19 08:44 PM";"and `""srand""`, what is this?";"";"";
"455741312273219595";"jl777c#5810";"30-Jan-19 08:44 PM";"for now you need to be nice, please dont make illegal rpc calls";"";"";
"455741312273219595";"jl777c#5810";"30-Jan-19 08:44 PM";"srand is unix rng, read the docs";"";"";
"405011811511828481";"Alright#0419";"30-Jan-19 08:44 PM";"yea, saw the validation code 😂";"";"";
"455741312273219595";"jl777c#5810";"30-Jan-19 08:45 PM";"it is basically 1 day of coding and a few hours of bugfixing. couldnt fit in validation in that time";"";"";
"455741312273219595";"jl777c#5810";"30-Jan-19 08:45 PM";"but now the adding of another evalcode is a matter to update a switch statement, well 2 of them, one for rpc another for validation";"";"";
"422858760898215937";"siu - Chainmakers#3920";"30-Jan-19 08:55 PM";"";"https://cdn.discordapp.com/attachments/540187995333197824/540273939360776227/5705741831.jpg";"";
"455741312273219595";"jl777c#5810";"30-Jan-19 09:06 PM";"the idea is to use the GUI so it submits manual solve timestamps";"";"";
"272003866906722306";"TonyL#3577";"30-Jan-19 09:19 PM";"Sudokus in Windows10 already 😃";"https://cdn.discordapp.com/attachments/540187995333197824/540279910628065301/unknown.png";"";
"405011811511828481";"Alright#0419";"30-Jan-19 09:23 PM";"hint: look at stdout";"";"PeepoThink (1)";
"272003866906722306";"TonyL#3577";"30-Jan-19 09:26 PM";"Actually I'm connected to daemon on Linux VPS :troll_compadre:";"";"";
