AuthorID;Author;Date;Content;Attachments;Reactions;
"272003866906722306";"TonyL#3577";"29-Mar-19 03:00 PM";"Oh on left side it hangs yes, in midle not - very edge case hmm 😃";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 03:00 PM";"yes";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 03:00 PM";"middle is fine";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 03:01 PM";"And it ate my CPU so it's in infin loop I wonder";"https://cdn.discordapp.com/attachments/553499558420676609/561203273374236673/unknown.png";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 03:03 PM";"On right side it hangs too";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 03:04 PM";"so, only on the edges";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 03:04 PM";"space issue?";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 03:06 PM";"I think I understood what issue is";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 03:06 PM";"It's the cases when brick to which you want to swap not fit game field if to put it to position on brick which swapping";"https://cdn.discordapp.com/attachments/553499558420676609/561204546186248192/unknown.png";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 03:07 PM";"Like a it's beyond of edges if to put on same poisiton";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 03:08 PM";"So game engine don't have space to draw it and hangs";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 03:08 PM";"yeah, i was thinking the same. not enough space to change on the edges";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 03:10 PM";"I wonder solution is just to not execute swap if such case detected, will try to code it 😃";"";"👌🏽 (1)";
"412323938782150658";"SHossain#0007";"29-Mar-19 03:30 PM";"edge case happens exactly at the edges 😛";"";"😃 (1)";
"272003866906722306";"TonyL#3577";"29-Mar-19 03:46 PM";"Madskills lol - made funny game modification suddenly";"https://cdn.discordapp.com/attachments/553499558420676609/561214728538685441/unknown.png";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 03:47 PM";"It's not hanging tetris but breaking not fitting block over the wall 😂";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 03:47 PM";"haha";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 03:55 PM";"Hmm I think I fixed 😃";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 03:55 PM";"@SHossain Could you please add in `cc/games/tetris.c` :
```         obj->stored.ori = ori;
         while (!tg_fits(obj, obj->falling)) {
             obj->falling.loc.row--;
             obj->falling.loc.col--;
         }
     }
     tg_put(obj, obj->falling);
```";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 03:56 PM";"`obj->falling.loc.col--;` this line should be added, then `./maketetris` and play";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 03:56 PM";"trying";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 03:58 PM";"There is a edge case with ""stick"" in horizontal orientation lol";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 04:15 PM";"you fixed it @TonyL";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 04:15 PM";"Cool 😃 Opened PR: https://github.com/jl777/komodo/pull/1365";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 04:19 PM";"but, sometimes, it feels like it hanged on the edge when i try to switch. that happens for few seconds and next move can be displaced due to this lag";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 04:20 PM";"Oh, I see";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 04:21 PM";"I tested on right edge";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 04:21 PM";"On right edge it super smooth";"";"";
