AuthorID;Author;Date;Content;Attachments;Reactions;
"483216620433440790";"cryptocat#9465";"11-Feb-19 04:43 PM";"Yes a Friday in China";"";"";
"483216620433440790";"cryptocat#9465";"11-Feb-19 04:44 PM";"So obvious I didn't try it hahaha";"";"";
"417415483504066571";"Gam_B1t#6991";"11-Feb-19 04:48 PM";"I was overthinking it too 😕";"";"";
"528109479439630346";"mazyar_lp#3486";"11-Feb-19 05:06 PM";"@Decker tnx man";"";"";
"528109479439630346";"mazyar_lp#3486";"11-Feb-19 05:19 PM";"Guys are these supernet and dex coins exchanchble for kmd? ?";"";"";
"345544724167524352";"Decker#3767";"11-Feb-19 05:33 PM";"if you need centralized exchange DEX is trading here https://www.coinexchange.io/market/DEX/BTC as i remember.";"";"👍 (1)";
"345544724167524352";"Decker#3767";"11-Feb-19 05:34 PM";"But i didn't check it last time, so, i don't know if deposits / withdrawals are open or not.";"";"";
"528109479439630346";"mazyar_lp#3486";"11-Feb-19 05:43 PM";"In barterdex we can exchange it? Do you have tutorials?";"";"";
"528109479439630346";"mazyar_lp#3486";"11-Feb-19 05:54 PM";"I think the prices are too low 😁 
Tnx anyway for the puzzle";"";"";
"345544724167524352";"Decker#3767";"11-Feb-19 06:22 PM";"main prize in this puzzle was a ZILLA ...";"";"🐲 (2),👍 (1)";
"345544724167524352";"Decker#3767";"11-Feb-19 06:22 PM";"but yes ... it's low amount (";"";"";
"528109479439630346";"mazyar_lp#3486";"11-Feb-19 06:27 PM";"It was fun 👍";"";"";
"528109479439630346";"mazyar_lp#3486";"11-Feb-19 06:30 PM";"When new puzzle coming ? 😁";"";"";
"345544724167524352";"Decker#3767";"11-Feb-19 06:44 PM";"From me? Probably this week. Can't promise any timeframes.";"";"";
"345544724167524352";"Decker#3767";"11-Feb-19 06:45 PM";"I have few ideas for easy puzzles and one for hard puzzle ) But all need some preparations.";"";"";
"345544724167524352";"Decker#3767";"11-Feb-19 06:46 PM";"I want my puzzles to be interesting and solveable in ""one way"" ... without random guesses, like ""use capital letters or not"", ""use \n or not"", etc )";"";"🔥 (3)";
"278565047113089025";"Strob#3417";"11-Feb-19 07:26 PM";"For your puzzle @Decker, I tried with his address as a passphrase, stuff you could do while really drunk! And so the Wen Moon on twitter is that you?";"";"";
"528109479439630346";"mazyar_lp#3486";"11-Feb-19 07:43 PM";"@Decker yeah your puzzles too . Your type of puzzles without random things are perfect";"";"";
"483216620433440790";"cryptocat#9465";"12-Feb-19 10:26 AM";"I'll see if I can get time to create one in the next few days. We can fit it in between the other ones.";"";"💚 (1)";
"375074477756645386";"ca333#0118";"12-Feb-19 11:09 AM";"i will co-fund/sponsor every community driven/made cryptopuzzle";"";"";
"375074477756645386";"ca333#0118";"12-Feb-19 11:09 AM";"and other projects from the ecosys are also always happy to add some ARRR, LABS, etc. to the pot";"";"👍 (2),realpirate (1)";
"420119978138664961";"CHMEX#0686";"12-Feb-19 11:11 AM";"is there already an Passphrase to Sapling key ""converter""?";"";"";
"528109479439630346";"mazyar_lp#3486";"12-Feb-19 11:42 AM";"@ca333we are waiting for new puzzle";"";"";
"528109479439630346";"mazyar_lp#3486";"13-Feb-19 09:01 AM";"Hello anybody out there?";"";"👋🏼 (1),🕵 (1)";
"427867553784922113";"FishyGuts#5085";"13-Feb-19 09:19 AM";"Is his background one of the cryptopizzles?";"";"";
"427867553784922113";"FishyGuts#5085";"13-Feb-19 09:19 AM";"https://twitter.com/_cryptoreporter/status/1095612204118958080?s=21";"";"😂 (2)";
"456690797505544202";"ch6ris#5240";"13-Feb-19 10:11 AM";"Riddle: What goes up when the rain comes down?";"";"";
"456690797505544202";"ch6ris#5240";"13-Feb-19 10:11 AM";"Reward: 7.76 Coqui  💸";"";"☔ (1)";
"456690797505544202";"ch6ris#5240";"13-Feb-19 10:12 AM";"👍";"";"";
"456690797505544202";"ch6ris#5240";"13-Feb-19 10:12 AM";"DM address for reward";"";"";
"456690797505544202";"ch6ris#5240";"13-Feb-19 10:18 AM";"Sent! Congratulations to the WINNER @cryptocat  😍";"";"";
"483216620433440790";"cryptocat#9465";"13-Feb-19 10:19 AM";"Received, thanks again!";"";"";
"483216620433440790";"cryptocat#9465";"13-Feb-19 10:19 AM";"I'm going to create a puzzle after work tonight. I'll pass it by @ca333 before publishing.";"";"💯 (1)";
"456690797505544202";"ch6ris#5240";"13-Feb-19 10:21 AM";"Sounds great. Need more. Even simple things like I just did, maybe a tad bit harder. Honestly I just wanted to get rid of it 😂";"";"";
"528109479439630346";"mazyar_lp#3486";"13-Feb-19 10:22 AM";"😂";"";"";
"483216620433440790";"cryptocat#9465";"13-Feb-19 10:23 AM";"I'll add it to the prize fund for mine 😎";"";"😍 (1)";
"456690797505544202";"ch6ris#5240";"13-Feb-19 10:24 AM";"Maybe I can win it back 😂";"";"";
"456690797505544202";"ch6ris#5240";"13-Feb-19 10:24 AM";"I will leave it there if I do";"";"";
"528109479439630346";"mazyar_lp#3486";"13-Feb-19 10:24 AM";":pirate:";"";"";
"456690797505544202";"ch6ris#5240";"13-Feb-19 10:25 AM";"Pirate puzzle/riddles would be good. Win some arrr or walk the plank!";"";"";
"456690797505544202";"ch6ris#5240";"13-Feb-19 10:32 AM";"I tried to sell the Coqui on barterdex for 48 hours. No takers 😂";"";"";
"528109479439630346";"mazyar_lp#3486";"13-Feb-19 10:35 AM";"😅";"";"";
"375074477756645386";"ca333#0118";"13-Feb-19 10:39 AM";"the weekend is close - i am thinking about launching the 'puzzlethon' tonight or tomorrow";"";"👍 (4)";
"483216620433440790";"cryptocat#9465";"13-Feb-19 11:04 AM";"The 3-leveler? #dread";"";"";
"456690797505544202";"ch6ris#5240";"13-Feb-19 11:09 AM";"Pirate Roberts";"";"";
"483216620433440790";"cryptocat#9465";"14-Feb-19 07:35 AM";"I'll be posting a cryptopuzzle tonight at around 8pm GMT.";"";"🤓 (2),👌 (3)";
"483216620433440790";"cryptocat#9465";"14-Feb-19 07:58 PM";"https://twitter.com/Cryptocal4/status/1096136341119819776";"";"👌 (2),PeepoThink (1)";
"483216620433440790";"cryptocat#9465";"14-Feb-19 07:59 PM";"Thanks to @ca333 for adding to the prize pool.";"";"";
"524509346395324426";"linuxcaptain#2335";"14-Feb-19 08:50 PM";"another  cryptopuzzle with @cryptocat  on the other side😢 🤣  we have lost some of our solving power🤣";"";"";
"483216620433440790";"cryptocat#9465";"14-Feb-19 08:55 PM";"It feels good to be on this side...I'll make you all suffer for weeks :2561_feelsevilman:";"";"troll_lol (1)";
"524509346395324426";"linuxcaptain#2335";"14-Feb-19 09:00 PM";"come on... dont you remember?? you were one of us..🤣 🤣  give us a second clue";"";"😘 (1)";
"524509346395324426";"linuxcaptain#2335";"14-Feb-19 09:00 PM";"hahhahaa";"";"";
"524509346395324426";"linuxcaptain#2335";"14-Feb-19 09:02 PM";"cd src/cc
./makerogue";"";"";
"524509346395324426";"linuxcaptain#2335";"14-Feb-19 09:03 PM";"i think this file doesn exist in the directory";"";"";
"524509346395324426";"linuxcaptain#2335";"14-Feb-19 09:03 PM";"@cryptocat";"";"";
"483216620433440790";"cryptocat#9465";"14-Feb-19 09:06 PM";"@linuxcaptain  `Command not found`";"";"👌 (1)";
"528109479439630346";"mazyar_lp#3486";"14-Feb-19 09:07 PM";"Too long article 😁";"";"";
"528109479439630346";"mazyar_lp#3486";"14-Feb-19 09:07 PM";"Pillar is column?";"";"";
"524509346395324426";"linuxcaptain#2335";"14-Feb-19 09:11 PM";"ok... maybe i have to checkout...";"";"";
"524509346395324426";"linuxcaptain#2335";"14-Feb-19 09:15 PM";"ok... i finally did it @cryptocat ..";"";"";
"200054875197800448";"LeFevre#5755";"14-Feb-19 09:16 PM";"is there an address, so we know when solved?";"";"";
"483216620433440790";"cryptocat#9465";"14-Feb-19 09:19 PM";"Sorry here's the address - https://www.kmdexplorer.io/address/RSBWAYTxtDKAMjwByinW3wWeNDm95emx33";"";"👌 (1)";
"483216620433440790";"cryptocat#9465";"14-Feb-19 09:19 PM";"I've added it to the tweet feed";"";"";
"528109479439630346";"mazyar_lp#3486";"14-Feb-19 09:20 PM";"Someone explain me pillar? English is not my native language";"";"";
"524509346395324426";"linuxcaptain#2335";"14-Feb-19 09:22 PM";"https://cdn.shopify.com/s/files/1/0858/0878/products/shape-roman-pillar-1_2000x.jpg";"";"";
"528109479439630346";"mazyar_lp#3486";"14-Feb-19 09:23 PM";"All article is pillar😁";"";"";
"483216620433440790";"cryptocat#9465";"14-Feb-19 09:25 PM";"I'll post another clue in 1 hour";"";"";
"483216620433440790";"cryptocat#9465";"14-Feb-19 09:25 PM";"The first step is always the most difficult";"";"";
"524509346395324426";"linuxcaptain#2335";"14-Feb-19 09:26 PM";"pillars everywhere...";"";"";
"200054875197800448";"LeFevre#5755";"14-Feb-19 09:35 PM";"yeep";"";"";
"524509346395324426";"linuxcaptain#2335";"14-Feb-19 10:07 PM";"https://komodoplatform.com/wp-content/uploads/2019/02/legend-of-dungeon-pixel-art-1024x565.png";"";"";
"524509346395324426";"linuxcaptain#2335";"14-Feb-19 10:07 PM";"🤔";"";"";
"483216620433440790";"cryptocat#9465";"14-Feb-19 10:13 PM";"https://imgur.com/x8CSt8Q";"";"";
"524509346395324426";"linuxcaptain#2335";"14-Feb-19 10:15 PM";"why did you rotate my image🤣  ?";"";"";
