AuthorID;Author;Date;Content;Attachments;Reactions;
"425442720627294208";"Prado#3941";"28-Aug-18 08:05 AM";"i'll be an active member from now on, and get in touch soon to make the first blockchains a success, also i would like to send some mockups of business ideas that could help to monetize komodo and attract more developers and capital, as the way i see it, if we bet in komodo we need to help in any way we can to be the best option for dapps";"";"";
"425442720627294208";"Prado#3941";"28-Aug-18 08:09 AM";"i have been hacked before, so blockchain, decentralization and security it's a big deal for me, i will be happy to bring anything to the table if it could help other startups avoid that situation";"";"";
"242635006516658197";"jorian#4555";"28-Aug-18 08:20 AM";"any background info on you / corebooks?";"";"";
"242635006516658197";"jorian#4555";"28-Aug-18 08:22 AM";"just read #team-business-dev , but question still stands";"";"";
"425442720627294208";"Prado#3941";"31-Aug-18 05:46 AM";"Hi, i'm the CEO of an innovation agency in México, we build and invest in high tech startups around the world, and offer software and hardware development services, i've been working in fintech for some years now, and with new blockchain startups in the rise we found komodo as the best option for dapps and smart contracts";"";"👍 (13)";
"303794669945618442";"PTYX#6840";"31-Aug-18 03:20 PM";"are you building your blockchain by yourselves?";"";"";
"303794669945618442";"PTYX#6840";"31-Aug-18 03:20 PM";"or do you need blockchain as a service?";"";"";
"425442720627294208";"Prado#3941";"31-Aug-18 03:31 PM";"We have some internal projects, and we are helping some of our customers to build their dapps for both private and government sectors";"";"";
"456226577798135808";"Deleted User#0000";"01-Sep-18 03:48 AM";"@Prado wish you all the best! #GoGokomodo";"";"";
"429101104480124929";"jspook16#3059";"11-Sep-18 02:29 AM";"@Prado anything you need from the average community?";"";"";
"403137719049519106";"Audo#5667";"13-Nov-18 10:08 PM";"Hey Komodo Projects,

Komodo team is looking to know better the projects which are building with Komodo. We ask you to fill out this form so that we get information about each project and the rapidly growing ecosystem.

https://airtable.com/shrKBzMwUddQ4ggET";"";"";
"482773501435052032";"Exile13#4458";"04-Dec-18 09:12 PM";"https://discord.gg/yk6Rzz7";"";"";
"422858760898215937";"siu - Chainmakers#3920";"23-Mar-19 05:12 PM";"@Prado Any updates?";"";"";
