AuthorID;Author;Date;Content;Attachments;Reactions;
"354615658148790275";"sφldat#8733";"19-Oct-18 06:16 AM";"GameCredits ?";"";"";
"455741312273219595";"jl777c#5810";"19-Oct-18 06:32 AM";"yes, i realized they had no channel here";"";"👍 (4)";
"131987896084332544";"n64#7103";"19-Oct-18 05:44 PM";"🚀";"";"";
"412323938782150658";"SHossain#0007";"19-Oct-18 05:52 PM";"@noashh please also bridge this channel with GAME discord server. @n64 from GAME can help with the other part 😃";"";"👆 (2),⚓ (1),🐔 (1)";
"458232283250556930";"Virginia (Peer2Group)#1459";"02-Nov-18 04:32 PM";"https://twitter.com/peer2group/status/1058393508950740992";"";"👍 (2)";
"131987896084332544";"n64#7103";"02-Nov-18 06:33 PM";"Retweeted via gamecredits twitter 😉";"";"";
"403137719049519106";"Audo#5667";"13-Nov-18 10:09 PM";"Hey Komodo Projects,

Komodo team is looking to know better the projects which are building with Komodo. We ask you to fill out this form so that we get information about each project and the rapidly growing ecosystem.

https://airtable.com/shrKBzMwUddQ4ggET";"";"";
"427867553784922113";"FishyGuts#5085";"21-Jan-19 07:33 PM";"Does game have their own discord?";"";"";
"131987896084332544";"n64#7103";"24-Apr-19 12:06 PM";"is there an updated list of notaries / updated Komodo include files for 0.15 coins?";"";"";
"455741312273219595";"jl777c#5810";"24-Apr-19 12:07 PM";"there will be after the elections, activation will be end of June, early July";"";"";
"131987896084332544";"n64#7103";"24-Apr-19 02:58 PM";"thanks jl777";"";"";
"458262320775430155";"kolo#1111";"05-Jun-19 02:31 AM";"We will need to do updated set of pubkeys in coming couple of days";"";"";
"131987896084332544";"n64#7103";"05-Jun-19 05:39 AM";"no problem let me know when it’s ready, you can also make a pull request on our github (preferred) when it’s ready  https://github.com/gamecredits-project/gamecredits";"";"";
