AuthorID;Author;Date;Content;Attachments;Reactions;
"455741312273219595";"jl777c#5810";"12-May-19 02:34 PM";"@McSpirit";"";"";
"271765108714110986";"McSpirit#4690";"12-May-19 02:35 PM";"Hi";"";"";
"271765108714110986";"McSpirit#4690";"12-May-19 02:38 PM";"This group is regarding the interoperability standard for Blockchains.
https://www.iso.org/committee/6266604.html
It is currently being let by Gilbert from Quant Overledger. That means that they are defining the industry standard for their market. A market that they share with KMD and Blocknet and a few other contenders.
Quant operates from the UK office. 
ISO is an international standards organization. That means that most countries have an standards office. If your country has a standards office then you can submit to participate in defining and reviewing a standard.";"";"";
"500950455690723329";"forkwitch#6080";"12-May-19 02:38 PM";"I can volunteer and cover for Germany give me information what you need";"";"";
"271765108714110986";"McSpirit#4690";"12-May-19 02:40 PM";"It would be in Komodo's interest to participate in this work. It doesn't have to be Jason who joins, rather it can be community representatives.
You need to find your countries standards office.  In Germany it is DIN";"";"";
"500950455690723329";"forkwitch#6080";"12-May-19 02:40 PM";"Can you share with me the iso proposal";"";"";
"271765108714110986";"McSpirit#4690";"12-May-19 02:42 PM";"After that you  should get in contact with them and ask them if you can do sit-in as a guest in a meeting and get information of how you can get involved. the standard for Blockchain interoperability is ISO/TC 307/SG 7 also see the link in above post.
Some Standards offices carry a fee to join. Komodo might classify as NGO? so that would be a low fee.";"";"";
"271765108714110986";"McSpirit#4690";"12-May-19 02:44 PM";"Collectively you guys have to find out if there is a benefit in joining several countries. Since Komodo is geographically spread out you might be able to influence the process. From what I've been able to gather each country has a vote, so the more countries you operate in the more influence you have. 
With that being said, I understand that @jl777c seeks to cooperate with Quant rather than compete in this matter";"";"";
"271765108714110986";"McSpirit#4690";"12-May-19 02:45 PM";"Once it comes to defining the technical part of the standard then you can take it home to discord and have the support of the devs to define it.";"";"";
"455741312273219595";"jl777c#5810";"12-May-19 02:48 PM";"technically the decentralized solution is to make DTO chains for all the merkle roots";"";"";
"455741312273219595";"jl777c#5810";"12-May-19 02:48 PM";"that allows validating any tx from any chain with just SPV access to the appropriate DTO chain";"";"";
"271765108714110986";"McSpirit#4690";"12-May-19 02:48 PM";"There is a couple of meetings each year. You sit for a couple of hours and run through the proposals of each working group. Then you talk about who to support, sometimes taking into account if supporting one group will further your countries agenda.. This is why it isn't strictly needed to send a dev, it is politics";"";"";
"500950455690723329";"forkwitch#6080";"12-May-19 02:48 PM";"as i am from Germany I can ask for info for all country with German language but I can only go to German offices";"";"";
"500950455690723329";"forkwitch#6080";"12-May-19 02:49 PM";"http://collabedit.com/knhdy";"";"";
"271765108714110986";"McSpirit#4690";"12-May-19 02:50 PM";"If anyone if from Denmark then I can get you the contacts. If there is none from Denmark then I will talk to the people I know in the group and let them know to send some love the way of Komodo";"";"";
"455741312273219595";"jl777c#5810";"12-May-19 02:51 PM";"I think @Audo is from denmark";"";"";
"271765108714110986";"McSpirit#4690";"12-May-19 02:51 PM";"He can DM me for details if it has interest";"";"";
"430818734530101248";"KomodoWorld#8282";"12-May-19 04:51 PM";"this is all new to me, I'll see what exists in Italy";"";"";
"271765108714110986";"McSpirit#4690";"12-May-19 08:17 PM";"@KomodoWorld Italy has a strong group in the Blockchain standards.";"";"";
"405380797537976320";"Cryptoon#3362";"12-May-19 08:35 PM";"@Malti works for a blockchain company in Belgium, maybe he can look into the standards used there?";"";"";
"459262405885820928";"Malti#3948";"12-May-19 08:36 PM";"Hmm looks new to me. But I know some people in the “Belgian blockchain task force” so I’ll check it out with them";"";"";
"405380797537976320";"Cryptoon#3362";"12-May-19 08:39 PM";"🙏🏼";"";"";
"406179072922746882";"polycryptoblog#1173";"13-May-19 02:46 AM";"I’ll take a look into what has to be done for USA delegation";"";"";
"271765108714110986";"McSpirit#4690";"13-May-19 04:10 AM";"@polycryptoblog in the US it's ANSI with offices in DC and NY";"";"";
"403137719049519106";"Audo#5667";"13-May-19 06:33 AM";"Not from Denmark but close, Finland";"";"";
"459262405885820928";"Malti#3948";"13-May-19 09:44 AM";"so but how can we get involved?";"";"";
"455741312273219595";"jl777c#5810";"13-May-19 12:35 PM";"first step is to make sure we have enough people who want to be techno-politicians";"";"";
"455741312273219595";"jl777c#5810";"13-May-19 12:35 PM";"then we can make a plan on how to achieve the goals";"";"";
"455741312273219595";"jl777c#5810";"13-May-19 09:43 PM";"@miketout is interested in making the awesome tech proposal, we can all get behind that and push it through in as many countries as possible";"";"💯 (7),👍 (7),🙏 (6),charmander_dancing (6)";
"271765108714110986";"McSpirit#4690";"14-May-19 08:09 AM";"It would be great if people reported back in this channel once they've talked with their local office.";"";"";
"459262405885820928";"Malti#3948";"14-May-19 09:16 AM";"In Belgium it's 'Agoria' that is currently occupied with the TC307 ISO for blockchains";"";"";
"459262405885820928";"Malti#3948";"14-May-19 09:16 AM";"SG7: Interoperability of blockchain & DLT Systems";"";"";
"459262405885820928";"Malti#3948";"14-May-19 09:16 AM";"I'll see if I can get in touch with them to be a member of the studygroup";"";"";
"459262405885820928";"Malti#3948";"14-May-19 09:23 AM";"it seems agoria is a 'members only' clan and only companies can be members.. My company isn't (yet) but going to inform with some of our strategic partnerships. Will keep the channel posted";"";"🙏 (1)";
"459262405885820928";"Malti#3948";"14-May-19 12:11 PM";"might have a way in, but he asked me why I wanted to join and what I have to offer. Told the guy that my view on interoperability is that it's the only way blockchains will be able to succeed. However now, what are the topics I'd need to defend in that studygroup when it comes to a participation from my side?";"";"";
"459262405885820928";"Malti#3948";"14-May-19 12:19 PM";"read the WP long time ago, time to dig in again 🕵";"";"";
"455741312273219595";"jl777c#5810";"14-May-19 12:25 PM";"the tech proposal I will recommend is miketouts merkle mountains approach that is a fully decentralized way";"";"";
"455741312273219595";"jl777c#5810";"14-May-19 12:25 PM";"even though others might try to make their centralized service into an ISO standard, I feel that is the wrong way";"";"";
"455741312273219595";"jl777c#5810";"14-May-19 12:26 PM";"a true standard needs to be accessible to all, so we need to make a platform neutral solution that solves this problem in a fully decentralized way";"";"";
"455741312273219595";"jl777c#5810";"14-May-19 12:26 PM";"for now the main feedback to the ISO committee is the attempt to sneak in a centralized solution into an ISO standard";"";"";
"455741312273219595";"jl777c#5810";"14-May-19 12:26 PM";"just say no!";"";"👌 (2)";
"459262405885820928";"Malti#3948";"14-May-19 01:09 PM";"got it";"";"";
"455741312273219595";"jl777c#5810";"14-May-19 01:11 PM";"it is like MSFT trying to make win 3.1 the ISO standard OS to use";"";"";
"271765108714110986";"McSpirit#4690";"14-May-19 08:35 PM";"I would say Komodo one of the oldest interoperability projects has a great justification in helping define the optimal blockchain interoperability standard. Most people in these groups represent business interest or are scholars. Many of them lack more in-depth technical insight into Blockchain technology. The current proposal for an official Blockchain meta-model is lacking at best. You guys can provide insight from the frontlines of where this technology is actually being developed and you have a huge team to pull technical insight from. The meetings are only a couple a year, and most work is done in writing so you can take it back here for insight.";"";"";
"459262405885820928";"Malti#3948";"15-May-19 04:08 PM";"Update; Got a connection who is involved in standardisation discussion in BE who agrees decentralization is key. So should be good to go here!";"";"";
"459262405885820928";"Malti#3948";"15-May-19 04:08 PM";"he'll defend it during the discussions as well";"";"";
"405380797537976320";"Cryptoon#3362";"15-May-19 04:26 PM";"Try to get invited to these discussions as well";"";"";
"459262405885820928";"Malti#3948";"15-May-19 04:46 PM";"it's difficult, companies only and I don't really have a business case for my boss atm";"";"";
"271765108714110986";"McSpirit#4690";"15-May-19 05:43 PM";"it might vary from country to country. Ask if you can join for a meeting as a guest. Komodo isn't a registered entity so it is difficult to go as Komodo. They must be able to see that";"";"";
"405380797537976320";"Cryptoon#3362";"15-May-19 06:07 PM";"What are the requirements for companies to enter/participate?";"";"";
"455741312273219595";"jl777c#5810";"15-May-19 06:14 PM";"should be open to any registered company";"";"";
"405380797537976320";"Cryptoon#3362";"15-May-19 07:25 PM";"maybe wait for @Malti if he can do it through his job, otherwise if needed @Malti can rep kmd through my company if that is ok for you guys?";"";"";
"405380797537976320";"Cryptoon#3362";"15-May-19 07:25 PM";"and if any company is allowed as mine is not really active in blockchain...";"";"";
