AuthorID;Author;Date;Content;Attachments;Reactions;
"442012245208203266";"OTC1#6896";"07-Aug-18 05:20 PM";"Welcome a board";"";"";
"442012245208203266";"OTC1#6896";"07-Aug-18 05:23 PM";"Short Description";"";"";
"442012245208203266";"OTC1#6896";"07-Aug-18 05:23 PM";"OTC™ aims to provide a decentralised exchange network for counter-party transactions and fulfil current and evolving regulatory requirements. The OTC™ platform allows counter-parties to create assets and facilitates exchanges through a physical, digital assets or non-liquid assets. Dedicated to producers, merchants, brokers, and end-users, OTC™ offers comprehensive trade solutions from point of contact between buyers and sellers to contract agreement and settlement of transactions. OTC™ users can create assets, other digital currencies, currency exchange services, on line voting protocols, and even set up Decentralized Autonomous Organizations (DAOs) with many-layered functions and applications.";"";"";
"303794669945618442";"PTYX#6840";"07-Aug-18 05:31 PM";"👏 👏";"";"";
"405011811511828481";"Alright#0419";"07-Aug-18 06:03 PM";"@OTC1 have you seen this? 
https://forum.komodoplatform.com/t/25-000-kmd-graphical-user-interface-bounty-for-simple-otc-trading-gui/125/";"";"";
"442012245208203266";"OTC1#6896";"07-Aug-18 06:18 PM";"in Europe and America any source would list OTC asset over the digital asset or tokens are breaking the law ( infringement ) Trade Marks rights";"";"";
"442012245208203266";"OTC1#6896";"07-Aug-18 06:19 PM";"we will get over any profit on behalf";"";"";
"442012245208203266";"OTC1#6896";"07-Aug-18 06:20 PM";"Komodo and OTC are partners on this field";"";"";
"442012245208203266";"OTC1#6896";"07-Aug-18 06:35 PM";"http://otc.exchange";"";"";
"442012245208203266";"OTC1#6896";"07-Aug-18 06:35 PM";"http://otc.markets or http://otc.trading";"";"";
"371114647052615681";"Mylo#8306";"07-Aug-18 06:55 PM";"hi";"";"";
"442012245208203266";"OTC1#6896";"07-Aug-18 06:57 PM";"hey  mate";"";"";
"442012245208203266";"OTC1#6896";"07-Aug-18 06:58 PM";"we are progressing here";"";"👌 (1)";
"371114647052615681";"Mylo#8306";"07-Aug-18 07:08 PM";"when you want to test integration, some stuff probably next month - hard to say atm, but your tokenized assets are already in testing.";"";"";
"371114647052615681";"Mylo#8306";"07-Aug-18 07:09 PM";"we have a network upgrade in 3 weeks, so testing tokenized assets won't be only focus.";"";"";
"371114647052615681";"Mylo#8306";"07-Aug-18 07:09 PM";"just to be a bit real about the rest of this month 😃";"";"";
"371114647052615681";"Mylo#8306";"07-Aug-18 07:10 PM";"but we have a keen team of testers";"";"";
"459077910234660866";"blubbi#0643";"08-Oct-18 05:16 PM";"WTS 50k Pirate 13k KMD";"";"";
"396289172249247746";"And1_89#6578";"09-Oct-18 11:06 AM";"WTB  DEX!!!!";"";"";
