AuthorID;Author;Date;Content;Attachments;Reactions;
"136534544470900736";"benohanlon#1119";"17-Dec-18 04:22 PM";"welcome @I_R_Ben";"";"";
"459357498223362048";"I_R_Ben#9254";"17-Dec-18 04:22 PM";"Great stuff thanks @benohanlon  !";"";"Komodo (4)";
"365233211556757505";"FabØ#8941";"17-Dec-18 04:29 PM";"thanks @I_R_Ben";"";"";
"368864295397752833";"metaphilibert#0926";"17-Dec-18 04:41 PM";"Welcome guys 😉";"";"🙏 (4)";
"255024217664258059";"forkhembo#0969";"17-Dec-18 04:46 PM";"Hey @metaphilibert! Hello everyone 😃";"";"";
"311426011927412747";"Ludom#5832";"17-Dec-18 05:15 PM";"Hello";"";"👋 (5)";
"459357498223362048";"I_R_Ben#9254";"17-Dec-18 05:48 PM";"Hey everyone :)
A lot of you may be already familiar with us here at Ø already from the Neuchatel meetup or otherwise, but for those who don't already know we've been working closely with Indenodes for several months now and recently launched our Komodo crowdunding campaign with much help from @Ludom and others. Please do check it out over at https://ocryptounion.io/komodo-campaign/";"";"";
"459357498223362048";"I_R_Ben#9254";"17-Dec-18 05:48 PM";"We've already hit our first milestone and will be launching the KSB asset chain very soon, so again, big thanks to everyone who's taken part so far!";"";"";
"255024217664258059";"forkhembo#0969";"18-Dec-18 12:53 PM";"That's it! KSB is now live with its own Komodo asset chain, thank you again for your early support! 🍾 ✨ 
​
Nothing easier: 1 KSB = $1. But what if the market continues to decline? 
Don't worry, 1 KSB is still $1.

We have conceived KSB as a token design for diversification and securing of your portfolio.

You can find more details about Komodo Secured Bond on our whitepaper (https://ksb.money/wp-content/uploads/2017/09/KSB-Whitepaper-v0.1.pdf) and you can be the first to buy $KSB on our website (https://ksb.money/buy-ksb-now/)";"";"👌 (3),🍾 (4)";
"365233211556757505";"FabØ#8941";"19-Dec-18 03:27 PM";"Hello,";"";"";
"365233211556757505";"FabØ#8941";"19-Dec-18 03:27 PM";"CC open up a lot of possibilities";"";"";
"365233211556757505";"FabØ#8941";"19-Dec-18 03:28 PM";"so does a stable coin on Komodo.";"";"";
