AuthorID;Author;Date;Content;Attachments;Reactions;
"435850812099657740";"yo88#5530";"09-Nov-18 12:25 PM";"mod";"";"";
"403137719049519106";"Audo#5667";"13-Nov-18 10:08 PM";"Hey Komodo Projects,

Komodo team is looking to know better the projects which are building with Komodo. We ask you to fill out this form so that we get information about each project and the rapidly growing ecosystem.

https://airtable.com/shrKBzMwUddQ4ggET";"";"";
"349212112016637954";"barv#0867";"14-Nov-18 02:01 PM";"✅";"";"";
"143629520971366400";"hastrup#8742";"08-Dec-18 12:24 AM";"How is it going?";"";"";
"349212112016637954";"barv#0867";"09-Dec-18 06:58 PM";"Thx @hastrup . We're busy prepping the dico app and building the gui around the wallet.";"";"";
"349212112016637954";"barv#0867";"14-Mar-19 08:45 PM";"We were hosted on the biggest crypto podcast of the Netherlands to talk about a lot of Komodo stuff... And CoinCollect of course! https://twitter.com/bvanmaarseveen/status/1106282952474935296";"";"💪 (6),shexy (1)";
"143629520971366400";"hastrup#8742";"15-Mar-19 05:00 PM";"👍 Nice good job 😁";"";"";
"429101104480124929";"jspook16#3059";"21-Mar-19 03:33 AM";"Any update on cc?";"";"";
"349212112016637954";"barv#0867";"22-Mar-19 11:39 AM";"Hi @jspook16 We're progressing & testing stuff. Meanwhile working on pr and investors as well.";"";"";
"429101104480124929";"jspook16#3059";"22-Mar-19 11:14 PM";"Ok thanks for the update";"";"";
"303794669945618442";"PTYX#6840";"26-Mar-19 05:05 AM";"Awesome job";"";"";
"456226577798135808";"Deleted User#0000";"26-May-19 06:32 AM";"Hi here :).
Barterlly is now open on BETA mode, and will provide tools for users and CoinOwners to perform OTC trades in a safe way.
Any KMD assetchain dPowed will be listed, and supported, for free.
Other coins not already listed can submit a listing application at : https://barterlly.typeform.com/to/iqpS1H
During the BETA, Barterlly won't charge any fee other than the transaction ones. after the release we will charge 1% on top of every transaction.
Our goal is to provide premium tools for coins listed on the platform. (Discord swapbot, twitter integration, public orders, wallet integration, API, custom templating, and many more).
Feel free to join us on our Discord.
https://discord.gg/RHc95zw
The app link is located at : https://app.barterlly.io
We are open to suggestions, and partnerships.

See you soon !

Barterlly's team";"";"👍 (1),💯 (1),Komodo (1),shexy (1)";
"429101104480124929";"jspook16#3059";"29-May-19 06:27 PM";"Is bartelly related to coincollect?";"";"";
"412323938782150658";"SHossain#0007";"29-May-19 06:32 PM";"no";"";"🙂 (1)";
"349212112016637954";"barv#0867";"06-Jun-19 06:37 AM";"https://twitter.com/CoinCollectHQ/status/1136367223508033544";"";"";
"429101104480124929";"jspook16#3059";"27-Jul-19 03:48 AM";"Is that alpha app just a wallet right now?";"";"";
"181391609085034496";"Diesmaster#5068";"29-Jul-19 01:32 PM";"yes";"";"👆 (2)";
"349212112016637954";"barv#0867";"23-Sep-19 03:05 PM";"https://twitter.com/coincollecthq/status/1176147171051220995?s=21";"";"👍 (3),KMD (2)";
