AuthorID;Author;Date;Content;Attachments;Reactions;
"422858760898215937";"siu - Chainmakers#3920";"03-Oct-18 04:22 PM";"Yes, the pizza place still accepts";"";"";
"412323938782150658";"SHossain#0007";"03-Oct-18 04:23 PM";"Do they deliver to Wales?";"";"";
"422858760898215937";"siu - Chainmakers#3920";"03-Oct-18 04:23 PM";"😂 😂 😂";"";"";
"412323938782150658";"SHossain#0007";"03-Oct-18 04:23 PM";"We will be there for a week with @benohanlon . Not that he is not going to cook 😛";"";"";
"422858760898215937";"siu - Chainmakers#3920";"03-Oct-18 04:24 PM";":trollface: :trollface:";"";"";
"422858760898215937";"siu - Chainmakers#3920";"03-Oct-18 04:24 PM";"We did some cooking back in barcelona last year";"";"";
"412323938782150658";"SHossain#0007";"03-Oct-18 04:28 PM";"we did it in Austria as well. (mostly ca333)";"";"";
"427867553784922113";"FishyGuts#5085";"10-Oct-18 04:50 PM";"Hey guys, I just want to let you know I have had a KMD tipbot made for KMD discord.  
If you have your own discord, it will work there for KMD and you are free to use it.   

DM me for the link and I will get you setup with the creator.";"";"";
"422858760898215937";"siu - Chainmakers#3920";"12-Oct-18 11:31 AM";"https://youtu.be/OSUxrSe5GbI";"";"";
"422858760898215937";"siu - Chainmakers#3920";"19-Oct-18 12:44 PM";"";"https://cdn.discordapp.com/attachments/458771844946984960/502824283811348480/IMG-20181019-WA0014.jpg";"🚀 (2)";
"422858760898215937";"siu - Chainmakers#3920";"28-Oct-18 06:35 PM";"Coqui is proud sponsor of https://hack-for-puerto-rico.devpost.com/";"";"";
"422858760898215937";"siu - Chainmakers#3920";"28-Oct-18 10:19 PM";"";"https://cdn.discordapp.com/attachments/458771844946984960/506230551355850752/20181028_181715.jpg";"🎊 (1)";
"422858760898215937";"siu - Chainmakers#3920";"28-Oct-18 10:20 PM";"Here we are with the Hack for Puerto Rico blockchain prize winners! They received 5,000 COQUI";"";"";
"412323938782150658";"SHossain#0007";"28-Oct-18 10:20 PM";"where is Komodo logo @siu - Chainmakers ? :trollface:";"";"";
"422858760898215937";"siu - Chainmakers#3920";"28-Oct-18 10:20 PM";"Lol, they didnt add it ... only coqui :trollface:";"";"";
"412323938782150658";"SHossain#0007";"28-Oct-18 10:21 PM";"i don't see Coqui logo either 😛";"";"";
"422858760898215937";"siu - Chainmakers#3920";"28-Oct-18 10:24 PM";"";"https://cdn.discordapp.com/attachments/458771844946984960/506231854186102794/20181028_182344.jpg";"";
"412323938782150658";"SHossain#0007";"28-Oct-18 10:25 PM";"#coqui";"";"";
"412323938782150658";"SHossain#0007";"28-Oct-18 10:25 PM";"💯";"";"";
"412323938782150658";"SHossain#0007";"28-Oct-18 10:25 PM";"👏🏽";"";"";
"422858760898215937";"siu - Chainmakers#3920";"28-Oct-18 10:38 PM";"🚀 🚀 🚀 🚀";"";"";
"422858760898215937";"siu - Chainmakers#3920";"31-Oct-18 08:27 PM";"First oracle message in COQUI has been written celebrating the 10 year anniversary of Bitcoin: ```~/CoquiCash/src$ ./coqui-cli oraclessamples 94f1fccdc3a122f3a611144a4b243f2ebc3416f5e0bcd762a39f176f12d3719c eb5d34bc49a79d8502559855741b35da789eef5e00a684ad01d7dd5801930b14 1
{
  ""result"": ""success"",
  ""samples"": [
    [
      ""Hoy 31 de Octubre de 2018 se cumplen 10 años de la publicación del ensayo seminal sobre Bitcoin escrito por Satoshi Nakamoto. Estamos celebrando una década de cambio tecnológico sin precedentes. Felicida""
    ]
  ]
}
```";"";"";
"422858760898215937";"siu - Chainmakers#3920";"03-Nov-18 08:16 PM";"We want to announce a new business accepting COQUI, its name is Wanderlust Boutique. https://www.facebook.com/WanderlustBoutiqueRincon/";"";"";
"413344826742931456";"naiox#1515";"09-Nov-18 10:42 AM";"hi guys, is this coin minable?";"";"";
"422858760898215937";"siu - Chainmakers#3920";"09-Nov-18 05:24 PM";"it is, but reward is super low :/";"";"";
"403137719049519106";"Audo#5667";"13-Nov-18 10:08 PM";"Hey Komodo Projects,

Komodo team is looking to know better the projects which are building with Komodo. We ask you to fill out this form so that we get information about each project and the rapidly growing ecosystem.

https://airtable.com/shrKBzMwUddQ4ggET";"";"";
"422858760898215937";"siu - Chainmakers#3920";"14-Nov-18 12:11 PM";"CoquiCash is mentioned in Metro newspaper today! 🚀";"";"";
"422858760898215937";"siu - Chainmakers#3920";"14-Nov-18 12:11 PM";"";"https://cdn.discordapp.com/attachments/458771844946984960/512238104506138624/20181114_075357.jpg,https://cdn.discordapp.com/attachments/458771844946984960/512238105302925312/20181114_075353.jpg";"";
"412482228359266328";"CrisF#3405";"25-Nov-18 04:52 AM";"Hi @siu - Chainmakers , could you please tell me the params for Coqui?";"";"";
"422858760898215937";"siu - Chainmakers#3920";"25-Nov-18 05:13 AM";"komodod -pubkey=$pubkey -ac_name=COQUI -ac_supply=72000000 -ac_ccactivate=200000 -addnode=78.47.196.146 $1 &";"";"";
