AuthorID;Author;Date;Content;Attachments;Reactions;
"422858760898215937";"siu - Chainmakers#3920";"28-Oct-18 06:19 PM";"but im using FSM from jl777";"";"";
"232679450301431808";"blackjok3r#3181";"28-Oct-18 06:21 PM";"I used that exact branch and did -reindex and tis working... looks liek all it has is prints over jl777 FSM";"";"";
"422858760898215937";"siu - Chainmakers#3920";"28-Oct-18 06:24 PM";"ok, let me reindex, that might be the problem";"";"";
"422858760898215937";"siu - Chainmakers#3920";"28-Oct-18 06:24 PM";"after the crash, none of my bets get confirmed";"";"";
"232679450301431808";"blackjok3r#3181";"28-Oct-18 06:25 PM";"Yes, the changes here are not consensus but seems to affect how things are stored or somehting";"";"";
"422858760898215937";"siu - Chainmakers#3920";"28-Oct-18 06:32 PM";"something is not right on my node";"";"";
"422858760898215937";"siu - Chainmakers#3920";"28-Oct-18 06:32 PM";"bets are not confirming, fund has 2,211 entropy tx";"";"";
"422858760898215937";"siu - Chainmakers#3920";"28-Oct-18 06:34 PM";"```CCduration no hashBlock for txid 2b95039ff261873123d0b014f2b7019463a93b8af427825365bbe16d524641de
```";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"28-Oct-18 06:34 PM";"that's part of the issue joker is supposedly working on :trollface:";"";"";
"422858760898215937";"siu - Chainmakers#3920";"28-Oct-18 06:34 PM";"ah";"";"";
"432324927362957313";"Maat#9515";"28-Oct-18 07:30 PM";"Guys pls help where to download kmdice wallet?or i can mine on kmd wallet adress?";"";"";
"354615658148790275";"sφldat#8733";"28-Oct-18 07:39 PM";"@Maat here: https://komodoplatform.com/komodo-wallets/";"";"";
"231533083818590211";"Oszy#5734";"28-Oct-18 07:41 PM";"KMD address is fine";"";"";
"432324927362957313";"Maat#9515";"28-Oct-18 07:43 PM";"I have agama wallet but there is not kmdice, thats why i m confused.And rewards r in kmd?what is profitability in d moment for 15ksols?reply very appreciated!!!";"";"";
"402210705476026368";"bishop#9773";"28-Oct-18 07:43 PM";"@Maat what agama version?";"";"";
"432324927362957313";"Maat#9515";"28-Oct-18 07:44 PM";"V0.2.42c-beta";"";"";
"432324927362957313";"Maat#9515";"28-Oct-18 07:44 PM";"I mine pirate on it";"";"";
"402210705476026368";"bishop#9773";"28-Oct-18 07:44 PM";"that's your problem";"";"";
"402210705476026368";"bishop#9773";"28-Oct-18 07:44 PM";"update to the latest";"";"";
"432324927362957313";"Maat#9515";"28-Oct-18 07:45 PM";"Aha";"";"";
"432324927362957313";"Maat#9515";"28-Oct-18 07:45 PM";"What r rewards now?";"";"";
"231533083818590211";"Oszy#5734";"28-Oct-18 07:48 PM";"30 a day with 15k if my calculations are correct";"";"";
"422858760898215937";"siu - Chainmakers#3920";"28-Oct-18 07:48 PM";"new code has not worked for me";"";"";
"432324927362957313";"Maat#9515";"28-Oct-18 07:49 PM";"30kmdice?";"";"";
"231533083818590211";"Oszy#5734";"28-Oct-18 07:49 PM";"yea";"";"";
"232679450301431808";"blackjok3r#3181";"28-Oct-18 07:51 PM";"no it randomly crashes, always in the same spot... cant work out why. Will return to this torrow. have it in gdb see what happens";"";"";
"422858760898215937";"siu - Chainmakers#3920";"28-Oct-18 07:57 PM";"it has not crashed for me anymore, but i cant seem to get a bet go through";"";"";
"232679450301431808";"blackjok3r#3181";"28-Oct-18 08:00 PM";"dice finish it stuck, leave it long enough it does eventallu pass dice status";"";"";
"232679450301431808";"blackjok3r#3181";"28-Oct-18 08:00 PM";"there are a lot of txs";"";"";
"232679450301431808";"blackjok3r#3181";"28-Oct-18 08:00 PM";"and the pool isnt mining them";"";"";
"232679450301431808";"blackjok3r#3181";"28-Oct-18 08:01 PM";"";"https://cdn.discordapp.com/attachments/502423250421153802/506195773856284675/diceTEST";"";
"232679450301431808";"blackjok3r#3181";"28-Oct-18 08:01 PM";"that is woring for me.. it jsut takes a while";"";"";
"412323938782150658";"SHossain#0007";"28-Oct-18 08:01 PM";"to 15.5 MSol, my ~40Ksol is not good to mine much";"";"";
"232679450301431808";"blackjok3r#3181";"28-Oct-18 08:01 PM";"got pending for over 1 minute";"";"";
"232679450301431808";"blackjok3r#3181";"28-Oct-18 08:01 PM";"but passed";"";"";
"455752123590770704";"ciumete#3212";"28-Oct-18 08:19 PM";"in what language is writed dicetest ?";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"28-Oct-18 08:53 PM";"it's a bash file";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"28-Oct-18 08:53 PM";"not C";"";"";
"455752123590770704";"ciumete#3212";"28-Oct-18 08:55 PM";"this sound linux...";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"28-Oct-18 08:55 PM";"yes, not for point-n-click winduh-lickers";"";"";
"455752123590770704";"ciumete#3212";"28-Oct-18 08:56 PM";"this is for sure, but can be ms dos commands 😃";"";"";
"455752123590770704";"ciumete#3212";"28-Oct-18 08:56 PM";"or java script 😃";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"28-Oct-18 08:58 PM";"js is not a language";"";"";
"455752123590770704";"ciumete#3212";"28-Oct-18 08:59 PM";"anyway , a bunch of coomands who doing something 😃";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"28-Oct-18 08:59 PM";"that's exactly what a bash script is";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"28-Oct-18 09:01 PM";"for lemmings:
https://www.howtogeek.com/249966/how-to-install-and-use-the-linux-bash-shell-on-windows-10/";"";"";
"455752123590770704";"ciumete#3212";"28-Oct-18 09:01 PM";"a script or a language program can do same things";"";"";
"455752123590770704";"ciumete#3212";"28-Oct-18 09:02 PM";"no need to learn now bash script , o know others languages and scripts in windows enviroment 😃";"";"🤦🏼 (1)";
"455752123590770704";"ciumete#3212";"28-Oct-18 09:02 PM";"thank you anyway 😃";"";"";
"422858760898215937";"siu - Chainmakers#3920";"28-Oct-18 09:04 PM";"I think bash works now in windows";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"28-Oct-18 09:04 PM";"10";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"28-Oct-18 09:05 PM";"linux on 10 = linux - all the security of linux";"";"";
