AuthorID;Author;Date;Content;Attachments;Reactions;
"500296853552758785";"ARRR TipBot#1743";"31-Oct-18 04:00 PM";"";"";"shexy (1),❤ (1)";
"425567384821039106";"ghøst#7639";"31-Oct-18 04:00 PM";"thank you for rain";"";"";
"427867553784922113";"FishyGuts#5085";"31-Oct-18 04:01 PM";"Thanks genie.   Good call on discussing it in the open.  @TheGemologist never fear admitting to needing knowledge.   It’s the thirst for knowledge and learning yourself that compels people to help you.   

Trust me - that is not a typical @ComputerGenie 👴🏼📢 response!  🎃☠️🏴";"";"";
"448829257645555712";"Flexatron#8809";"31-Oct-18 04:02 PM";"hallelujah";"";"";
"427867553784922113";"FishyGuts#5085";"31-Oct-18 04:02 PM";"@!arrrtip @TheGemologist 77.8";"";"";
"399408399688663051";"TheGemologist#6023";"31-Oct-18 04:03 PM";"wow thanks man";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"31-Oct-18 04:03 PM";"Well, it's not a ""typical Genie response"" because I'm not typically talking to people that need help :trollface:";"";"";
"427867553784922113";"FishyGuts#5085";"31-Oct-18 04:03 PM";"!arrrtip @TheGemologist 77.8";"";"";
"500296853552758785";"ARRR TipBot#1743";"31-Oct-18 04:03 PM";"";"";"";
"399408399688663051";"TheGemologist#6023";"31-Oct-18 04:03 PM";"yeah, i felt little shy first time here";"";"";
"427867553784922113";"FishyGuts#5085";"31-Oct-18 04:03 PM";"😂";"";"";
"399408399688663051";"TheGemologist#6023";"31-Oct-18 04:03 PM";"and didnt see any support channel";"";"";
"427867553784922113";"FishyGuts#5085";"31-Oct-18 04:03 PM";"Everyone’s shy their first time.";"";"";
"448829257645555712";"Flexatron#8809";"31-Oct-18 04:03 PM";"there are no stupid questions, only shitcoins";"";"";
"427867553784922113";"FishyGuts#5085";"31-Oct-18 04:04 PM";"Better to talk it out than to do it wrong.";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"31-Oct-18 04:05 PM";"@TheGemologist There's no need to feel shy in this crowd, the Komodo community is among the most accepting and helpful in the world";"";"pirate (1)";
"399408399688663051";"TheGemologist#6023";"31-Oct-18 04:05 PM";"I had a 100% chance I'd make a mistake before asking";"";"";
"399408399688663051";"TheGemologist#6023";"31-Oct-18 04:05 PM";"now its 80%";"";"";
"399408399688663051";"TheGemologist#6023";"31-Oct-18 04:05 PM";"lol";"";"";
"399408399688663051";"TheGemologist#6023";"31-Oct-18 04:06 PM";"I'm installing the wallet right now to get my address";"";"";
"497498788731158529";"plazma#1625";"31-Oct-18 04:08 PM";"Wow 77.7 arrrtip";"";"";
"497498788731158529";"plazma#1625";"31-Oct-18 04:08 PM";"At halloween";"";"";
"399408399688663051";"TheGemologist#6023";"31-Oct-18 04:11 PM";"How do i claim this tip ?";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"31-Oct-18 04:13 PM";"direct message the bot, type `!arrrtip help`, an it will tell you what you can do";"";"";
"397773942586343436";"iAmLedger#8530";"31-Oct-18 04:15 PM";"Great info! Glad you chose to make it public!";"";"";
"336825495121428480";"BlockTech#6895";"31-Oct-18 04:15 PM";"Is it because i'm a Son of a biscuit eater that i never get tip, neither in rain ?";"";"abusedsmily (1)";
