AuthorID;Author;Date;Content;Attachments;Reactions;
"458232283250556930";"Virginia (Peer2Group)#1459";"24-Oct-18 12:31 PM";"https://twitter.com/peer2group/status/1055073559234732032";"";"";
"425567384821039106";"ghøst#7639";"24-Oct-18 02:42 PM";"good work !";"";"😍 (1)";
"458232283250556930";"Virginia (Peer2Group)#1459";"25-Oct-18 09:39 AM";"https://twitter.com/peer2group/status/1055392412279992321";"";"";
"388092138208100356";"Buddz1993#5380";"25-Oct-18 09:42 AM";"Hello guys!,the airdrop to komodo holders happened when??";"";"";
"424272322216591371";"crumb#2550";"25-Oct-18 12:41 PM";"within two weeks according to medium article https://medium.com/@Peer2group/pungotoken-is-backed-by-cryptofund-705cb28b42ba";"";"";
"424272322216591371";"crumb#2550";"25-Oct-18 12:43 PM";"@Virginia (Peer2Group) i'm curious why is the amount of tokens dropped to KMD holders expressed as 200.000 not just 200?";"";"";
"424272322216591371";"crumb#2550";"25-Oct-18 12:43 PM";"as there is only going to be total 10 million pungo tokens. so it can't be 200 000";"";"";
"424272322216591371";"crumb#2550";"25-Oct-18 12:44 PM";"200.000 can be understood differently in many parts of the world";"";"";
"457001023928795136";"kimmel (Pungo.io)#2275";"25-Oct-18 03:26 PM";"hey @crumb right will change to 200k";"";"";
"424272322216591371";"crumb#2550";"25-Oct-18 03:28 PM";"so how can it be 200 000 tokens per KMD address";"";"";
"424272322216591371";"crumb#2550";"25-Oct-18 03:28 PM";"if there are only 10 million tokens total";"";"";
"424272322216591371";"crumb#2550";"25-Oct-18 03:31 PM";"@kimmel (Pungo.io)";"";"";
"457001023928795136";"kimmel (Pungo.io)#2275";"25-Oct-18 03:42 PM";"haha not per address let me check the way is written";"";"";
"457001023928795136";"kimmel (Pungo.io)#2275";"25-Oct-18 03:42 PM";"was away from computer";"";"";
"424272322216591371";"crumb#2550";"25-Oct-18 03:45 PM";"aah, ok";"";"";
"424272322216591371";"crumb#2550";"25-Oct-18 03:45 PM";"my bad";"";"";
"424272322216591371";"crumb#2550";"25-Oct-18 03:45 PM";"yes 200k total";"";"";
"457001023928795136";"kimmel (Pungo.io)#2275";"25-Oct-18 03:45 PM";"we are airdropping 200k PGT among kmd addresses holding 10+ kmd";"";"";
"424272322216591371";"crumb#2550";"25-Oct-18 03:45 PM";"do you know the snapshot date yet";"";"";
"457001023928795136";"kimmel (Pungo.io)#2275";"25-Oct-18 03:46 PM";"not yet";"";"";
"457001023928795136";"kimmel (Pungo.io)#2275";"25-Oct-18 03:46 PM";"secret snapshot to avoid manipulation :)";"";"";
"424272322216591371";"crumb#2550";"25-Oct-18 03:47 PM";"then it should be in the past. otherwise it's impossible to prevent now";"";"";
"400570483906707456";"gt#2812";"25-Oct-18 03:55 PM";"is there an airdrop for voters?";"";"";
"424272322216591371";"crumb#2550";"25-Oct-18 04:01 PM";"read the medium post above☝";"";"😎 (1)";
"451085331370999818";"SadykovT#2123";"25-Oct-18 09:06 PM";"recently, chainzilla did airdrop on all wallets that have more than 500 KMD";"";"";
"451085331370999818";"SadykovT#2123";"25-Oct-18 09:07 PM";"will the size of airdrop depend on the amount of kmd on the wallet ?";"";"";
"400570483906707456";"gt#2812";"26-Oct-18 12:35 AM";"@crumb  ah right, kind of hidden. i think the same could have been said to you as well 😉";"";"";
"336825495121428480";"BlockTech#6895";"26-Oct-18 03:33 PM";"@SadykovT  No, it will be a fixed amount for all wallet with more than 10 KMD.";"";"";
"417437410201436160";"Instel7#1416";"26-Oct-18 04:24 PM";"Greets!";"";"";
"417437410201436160";"Instel7#1416";"26-Oct-18 04:24 PM";"https://twitter.com/Instely7/status/1055856648647045120";"";"👍🏻 (4),👻 (2)";
"336825495121428480";"BlockTech#6895";"26-Oct-18 04:32 PM";"Yes, nice job, i downloaded it, but now i would like to know where i can order a peer2card 😄 ? Any idea ? (already asked in peer2cloud but not sure it's the right channel.)";"";"";
"457001023928795136";"kimmel (Pungo.io)#2275";"26-Oct-18 08:26 PM";"already answered there too @BlockTech on peer2krd and from within the app too";"";"";
"457001023928795136";"kimmel (Pungo.io)#2275";"26-Oct-18 08:27 PM";"@Instel7 looks great when I get home will retweet for sure";"";"";
"417437410201436160";"Instel7#1416";"26-Oct-18 08:28 PM";"Nice! @kimmel (Pungo.io) Thanks";"";"";
"458232283250556930";"Virginia (Peer2Group)#1459";"29-Oct-18 12:03 PM";"https://twitter.com/peer2group/status/1056875158647042048";"";"";
