AuthorID;Author;Date;Content;Attachments;Reactions;
"405011811511828481";"Alright#0419";"13-Nov-18 11:11 PM";"@MR_President ^";"";"";
"461170399351275551";"MR_President#6999";"16-Nov-18 04:42 PM";"Thanks @Audo I will fill it in, as soon I come back from the Future,  I said hello to you in the future , you look more handsome with more years on your body 😃";"";"";
"461170399351275551";"MR_President#6999";"16-Nov-18 04:43 PM";"I managed to send a message  here with my teleporter messenger with WLC, and its working! 😃";"";"";
"461170399351275551";"MR_President#6999";"16-Nov-18 04:59 PM";"@Audo I sent the form, please keep the WLC in agama and bardertex as  some people will need to buy their ticket to travel in time in WLC";"";"🚌 (1)";
"403137719049519106";"Audo#5667";"19-Nov-18 11:06 AM";"👍";"";"";
"370026641323327491";"ph03nix#3115";"20-Nov-18 06:44 AM";"https://www.newsbtc.com/2018/11/16/time-travel-crypto-once-backed-by-trump-appointed-acting-attorney-general/";"";"";
"370026641323327491";"ph03nix#3115";"20-Nov-18 06:45 AM";":trollface:";"";"";
"461170399351275551";"MR_President#6999";"20-Nov-18 11:13 AM";"These big people with money and they couldnt even started, me without money and I started it , there is  nothing yet but waiting for my  future me to visit me in present time to tell me I was successful and steal the myself one bus so we have the bus sooner 😃";"";"💯 (1)";
"429101104480124929";"jspook16#3059";"27-Nov-18 04:44 AM";"i got my ticket ready....hope we get one of them busses with wifi..";"";"";
"412323938782150658";"SHossain#0007";"15-Dec-18 01:15 AM";"```
WLC transition at 354760 (354759, 1544830732) -> (354760, 1544832005)
SET SAPLING ACTIVATION height.354820
WLC sapling activation at 354820
```";"";"";
"368864295397752833";"metaphilibert#0926";"15-Dec-18 01:40 AM";"WLC en route to the future 😄";"";"😃 (1),🚌 (1)";
"461170399351275551";"MR_President#6999";"15-Dec-18 09:47 PM";"guys we will travel to the future for sure, I am not here to just dream,  as soon I have the money necessary I will build the bus,";"";"🙌 (1)";
"455741312273219595";"jl777c#5810";"16-Dec-18 08:44 PM";"there is almost 1.5 million WLC in sprout zaddr, please convert to sapling ASAP";"";"";
"461170399351275551";"MR_President#6999";"18-Dec-18 08:17 AM";"thanks for that jl777c";"";"";
"449666040729960449";"MadMats#9322";"25-Dec-18 06:50 PM";"Merry Christmas to all!! 🙌";"";"🎅 (3)";
"461170399351275551";"MR_President#6999";"31-Dec-18 01:44 PM";"And happy new year 😃";"";"🎉 (4)";
