AuthorID;Author;Date;Content;Attachments;Reactions;
"405380797537976320";"Cryptoon#3362";"14-Dec-18 08:09 PM";"https://twitter.com/jacobstoon/status/1073663675494477827?s=21";"";"👌 (1)";
"453946766157414425";"Senda#7983";"15-Dec-18 11:33 AM";"https://twitter.com/TheSuperSenda/status/1073901568179752960";"";"";
"427867553784922113";"FishyGuts#5085";"18-Dec-18 06:44 PM";"https://twitter.com/2ndoldest/status/1074895776092905473?s=21";"";"";
"398189630182260746";"Alecandro#1179";"18-Dec-18 11:36 PM";"Amen brodder";"";"";
"354615658148790275";"sφldat#8733";"21-Dec-18 01:55 PM";"https://twitter.com/Bl0ckchain/status/1076113820211429377";"";"";
"398189630182260746";"Alecandro#1179";"21-Dec-18 02:01 PM";"https://twitter.com/crypto_blkbeard/status/1076104561562214401?s=21";"";"";
"398189630182260746";"Alecandro#1179";"21-Dec-18 02:02 PM";"Hey Komodo team, we have a crypto personality wanting to do a Q & A 😃";"";"";
"398189630182260746";"Alecandro#1179";"21-Dec-18 02:15 PM";"@KomodoWorld";"";"";
"398189630182260746";"Alecandro#1179";"21-Dec-18 03:06 PM";"33k followers";"";"";
"398189630182260746";"Alecandro#1179";"21-Dec-18 03:34 PM";"@Cryptoon";"";"";
"398189630182260746";"Alecandro#1179";"21-Dec-18 03:34 PM";"😃";"";"";
"405380797537976320";"Cryptoon#3362";"21-Dec-18 04:56 PM";"@benohanlon @Steve Lee @Bitcoin Benny";"";"";
"136534544470900736";"benohanlon#1119";"28-Dec-18 06:00 PM";"@Alecandro @Cryptoon thank you I have reached out via DMs and replied in the thread. Great work!";"";"";
"136534544470900736";"benohanlon#1119";"28-Dec-18 06:01 PM";"@sφldat I have RT'd that. Thanks.";"";"";
"398189630182260746";"Alecandro#1179";"28-Dec-18 06:05 PM";"Thanks!!";"";"";
"136534544470900736";"benohanlon#1119";"28-Dec-18 06:06 PM";"Tweet from @Bitcoin Benny https://twitter.com/bennydoda01/status/1078556660778512384";"";"";
"386446947285991425";"Master Den#8523";"28-Dec-18 06:34 PM";"Hello dearest devs";"";"";
