AuthorID;Author;Date;Content;Attachments;Reactions;
"459262405885820928";"Malti#3948";"17-Jul-19 12:07 PM";"SexyDEX";"";"";
"459262405885820928";"Malti#3948";"17-Jul-19 12:07 PM";"1st";"";"";
"459262405885820928";"Malti#3948";"17-Jul-19 12:07 PM";":troll_thuglife:";"";"";
"210733254595051520";"owerache#0341";"17-Jul-19 12:12 PM";"🔥";"";"";
"375074477756645386";"ca333#0118";"17-Jul-19 12:12 PM";"https://discordapp.com/channels/412898016371015680/412915799251222539/600999066846887957";"";"";
"375074477756645386";"ca333#0118";"17-Jul-19 12:12 PM";"Pinned a message.";"";"";
"459262405885820928";"Malti#3948";"17-Jul-19 12:13 PM";"alright awesome!! #dex-it !!!";"";"";
"459262405885820928";"Malti#3948";"17-Jul-19 12:14 PM";"The atomicDEX mobile beta program successfully launched on iOS and android and you can now join us in #atomicdex-beta - We want to celebrate this big release with the first part of a special DEX campaign. Post a fancy atomicDEX mobile photo of you or trading screenshot and we will randomly tip you some KMD out of a 777 KMD pot - use one from the below scenarios:

a) Tweet a photo of yourself with atomicDEX mobile running on your phone (showing your KMD QR code - or post the KMD address in a 2nd tweet-comment)  from a cool location 
b) Tweet a screenshot of a successful atomicDEX mobile RICK/MORTY swap and one with your KMD address QR code (from within atomicDEX mobile) - add some info ref. your experience to the tweet
c) Tweet a video of you using atomicDEX mobile (the coolest video gets on our official channels and blogs)

Please use hashtags #dex-it #atomicdex #DEX and tag us in the tweets (@komodoplatform) - share your tweets in the #talk-general and #dex-it channels. Happy beta!

https://atomicdex.io/";"";"";
"403400248879218690";"Hollowman9000#3344";"17-Jul-19 12:14 PM";">US Gov
“Running DEX nodes is a prosecutable offense because muh national security”";"";"";
"459844460625526824";"hyperDEX#6586";"17-Jul-19 12:14 PM";"It is good to do the atomic swaps on the mobile, but i think we need a plan to pull in other communities. Should we get a list of top 20 that we can trade KMD with?";"";"";
"459262405885820928";"Malti#3948";"17-Jul-19 12:14 PM";"@ca333  might be easier to pin this message as it doesn't jump you to another channel";"";"";
"403400248879218690";"Hollowman9000#3344";"17-Jul-19 12:15 PM";"“We said dex is fine because we didn’t think you’d have a working one for quite some time, so it’s illegal now”";"";"😅 (2),😆 (1)";
"375074477756645386";"ca333#0118";"17-Jul-19 12:16 PM";"Pinned a message.";"";"";
"375074477756645386";"ca333#0118";"17-Jul-19 12:16 PM";"@Malti pinned both for sake of source ref. - from the original post you can come back to this channel with one click on the dexit tag.";"";"👍 (1)";
"375074477756645386";"ca333#0118";"17-Jul-19 12:17 PM";"@hyperDEX yes i agree - we need to pull in some other communities as that will increase the campaign participations.";"";"";
"459262405885820928";"Malti#3948";"17-Jul-19 12:18 PM";"i got a pinned message in KMD discord (that I didn't write myself tho..) so proud 😄";"";"";
"459844460625526824";"hyperDEX#6586";"17-Jul-19 12:18 PM";"@ca333 lets start at least with pirate/kmd and verus kmd";"";"";
"412323938782150658";"SHossain#0007";"17-Jul-19 12:18 PM";"PIRATE?";"";"";
"459844460625526824";"hyperDEX#6586";"17-Jul-19 12:18 PM";"arrr/kmd";"";"";
"375074477756645386";"ca333#0118";"17-Jul-19 12:19 PM";"pirate is not fully supported yet in the app - but coming in the near future";"";"";
"375074477756645386";"ca333#0118";"17-Jul-19 12:20 PM";"however, maybe their community would still join such a campaign.";"";"";
"459844460625526824";"hyperDEX#6586";"17-Jul-19 12:20 PM";"sorry my bad i mean verus for now";"";"";
"459262405885820928";"Malti#3948";"17-Jul-19 12:21 PM";"imagine";"";"";
"459262405885820928";"Malti#3948";"17-Jul-19 12:21 PM";"getting the TRON shillboys on board";"";"";
"412323938782150658";"SHossain#0007";"17-Jul-19 12:21 PM";"@hyperDEX KMD/VRSC swap works with the app";"";"";
"455741312273219595";"jl777c#5810";"17-Jul-19 12:21 PM";"news from USSA: all mobile phones now are illegal";"";"😂 (2)";
"459262405885820928";"Malti#3948";"17-Jul-19 12:22 PM";"apple stock crashes to 0";"";"";
"459262405885820928";"Malti#3948";"17-Jul-19 12:22 PM";"Huawei +1000%";"";"";
"412323938782150658";"SHossain#0007";"17-Jul-19 12:22 PM";"";"https://cdn.discordapp.com/attachments/601021636921262090/601025870815035392/Screenshot_20190717-132207.jpg";"";
"412323938782150658";"SHossain#0007";"17-Jul-19 12:22 PM";"@hyperDEX ^^";"";"";
"412323938782150658";"SHossain#0007";"17-Jul-19 12:22 PM";"just started a new one to show you 😃";"";"";
"459262405885820928";"Malti#3948";"17-Jul-19 12:22 PM";"https://imgur.com/gallery/AhaTE";"";"";
"459844460625526824";"hyperDEX#6586";"17-Jul-19 12:23 PM";"yes i mean to get people using it to trade instead of DP";"";"";
"412323938782150658";"SHossain#0007";"17-Jul-19 12:23 PM";"if you want to involve community, yes a good idea";"";"";
"459844460625526824";"hyperDEX#6586";"17-Jul-19 12:23 PM";"DP wallet is down so it is a good option and real users";"";"";
"459262405885820928";"Malti#3948";"17-Jul-19 12:24 PM";"DGB has a huge and good community as well";"";"";
"459262405885820928";"Malti#3948";"17-Jul-19 12:24 PM";"+ the coin is already active on atomicDEX";"";"";
"412323938782150658";"SHossain#0007";"17-Jul-19 12:24 PM";"DGB didn't respond about providing liquidity on atomicDEX";"";"";
"459262405885820928";"Malti#3948";"17-Jul-19 12:24 PM";"so we could contact their discord admins to setup a bounty?";"";"";
"459262405885820928";"Malti#3948";"17-Jul-19 12:24 PM";"ah too bad";"";"";
"459262405885820928";"Malti#3948";"17-Jul-19 12:25 PM";"maybe now with all the fuzz they will change their mind?";"";"";
"412323938782150658";"SHossain#0007";"17-Jul-19 12:25 PM";"if they would provide liquidity to their users, it would have been good";"";"";
"412323938782150658";"SHossain#0007";"17-Jul-19 12:25 PM";"i've tested a lot of DGB swaps with this app";"";"";
"409641166963998720";"Pumtchak#0362";"17-Jul-19 12:30 PM";"cool idea, but restricted for private beta users for now... maybe better to wait for open beta for such contest imo";"";"";
"459262405885820928";"Malti#3948";"17-Jul-19 12:32 PM";"i tagged some crypto youtubers & trump (lol) in the comments of my latest tweet";"";"";
"459262405885820928";"Malti#3948";"17-Jul-19 12:32 PM";"i Don't have a lot of followers, so feel free to retweet and even just copy paste the tweet into your own";"";"";
"459262405885820928";"Malti#3948";"17-Jul-19 12:32 PM";"the more fuzz the better";"";"";
"459262405885820928";"Malti#3948";"17-Jul-19 12:33 PM";"I was just telling some friends I did some 'funtrades' on AtomicDEX and honestly I don't see any reason for CEX anymore or why I should use it. And I'm not even super concerned (yet) about giving control etc.. the convenience of this just beats everything";"";"";
"439780323497082880";"CMaurice#1685";"17-Jul-19 12:37 PM";"this app is great";"";"👍🏼 (1)";
"231533083818590211";"Oszy#5734";"17-Jul-19 12:40 PM";"followd and Rt-d 😉";"";"yassinheart (1)";
"459262405885820928";"Malti#3948";"17-Jul-19 12:46 PM";"thx!";"";"";
"303794669945618442";"PTYX#6840";"17-Jul-19 12:47 PM";"Is this like brexit?";"";"troll_compadre (1),troll_hardcore (2)";
"455741312273219595";"jl777c#5810";"17-Jul-19 12:47 PM";"exit CEX";"";"👆 (1)";
