AuthorID;Author;Date;Content;Attachments;Reactions;
"455741312273219595";"jl777c#5810";"16-Oct-18 07:17 PM";"so the GAMEcc chain would have a very limited number of coins in circulation";"";"";
"131987896084332544";"n64#7103";"16-Oct-18 07:17 PM";"I think some dilution is fine. I actually intend to lock some addresses from being able to swap over, so there will be less than 84 mil available";"";"";
"455741312273219595";"jl777c#5810";"16-Oct-18 07:17 PM";"at first 99.99% would all be locked in a special address and only by depositing GAME would it be able to be unlocked";"";"";
"455741312273219595";"jl777c#5810";"16-Oct-18 07:18 PM";"via this 1:1 bidirectional gateway, non-CC coins can get all the benefits on the cc chain side, and retain all the exchange listings on the original side";"";"";
"455741312273219595";"jl777c#5810";"16-Oct-18 07:18 PM";"essentially the coin becomes a dual coin, with the combined supply maintained";"";"";
"131987896084332544";"n64#7103";"16-Oct-18 07:18 PM";"beautiful...exactly what we want 😃";"";"";
"455741312273219595";"jl777c#5810";"16-Oct-18 07:19 PM";"it will require a set of custodian nodes to safekeep the GAME in msig address and for them to run a dapp";"";"";
"455741312273219595";"jl777c#5810";"16-Oct-18 07:19 PM";"but once the bugs are all fixed, it should just be a matter or running the daemon and an extra dapp in the background";"";"";
"131987896084332544";"n64#7103";"16-Oct-18 08:02 PM";"Lemme know when I need to get the asset issued on KMD 😉";"";"";
"131987896084332544";"n64#7103";"16-Oct-18 08:03 PM";"I’ve been holding KMD since the TradingView bounty (last November?), not selling a single one...earning the little bit I can when I see something I can work on";"";"";
"455741312273219595";"jl777c#5810";"17-Oct-18 04:35 AM";"we are still a few months away from getting a pegged sidechain for any coin all working, but you can start developing the oracles CC based dapp on any chain with -ac_cc enabled.";"";"";
"424224648889106444";"Mihailo#5902";"17-Oct-18 09:19 AM";"@n64 I'm solving some bugs for multisig gateways now, when it is done you can setup your own asset chain and test how it works...";"";"";
"455741312273219595";"jl777c#5810";"17-Oct-18 09:22 AM";"the part of binding to the native coin isnt implemented yet, but once the token gateway works, i dont think it will take that long";"";"";
"424224648889106444";"Mihailo#5902";"17-Oct-18 09:25 AM";"Yes, I thought just to test gateways on AC without binding native coin. He can test with tokenization of KMD.";"";"";
"424224648889106444";"Mihailo#5902";"17-Oct-18 09:25 AM";"And develop the dApp, and then when native coin can be used just switch to it.";"";"";
"455741312273219595";"jl777c#5810";"17-Oct-18 09:25 AM";"yes, the dapp side would be virtually the same code needed";"";"";
"412323938782150658";"SHossain#0007";"19-Oct-18 02:40 PM";"@n64 @Mihailo can you please provide me an invite link to GAME Discord? i found one in your twitter but link says invalid.";"";"";
"412323938782150658";"SHossain#0007";"19-Oct-18 02:40 PM";"i would like to get a bridge with #gamecredits and GAME Discord's #talk-general channel";"";"";
"424224648889106444";"Mihailo#5902";"19-Oct-18 02:45 PM";"@SHossain I'm no longer with GAME guys (obviously as I'm with Komodo 😉 ), so @n64 is your point of contact for GAME stuff. Maybe you can see also with @vuksan as he is still with the team AFAIK.";"";"👍🏽 (1)";
"412323938782150658";"SHossain#0007";"19-Oct-18 02:45 PM";"Thanks.";"";"";
"131987896084332544";"n64#7103";"19-Oct-18 05:28 PM";"This should work @SHossain https://discordapp.com/invite/vDEYBTc";"";"";
"412323938782150658";"SHossain#0007";"19-Oct-18 05:42 PM";"@n64 thanks very much";"";"";
"412323938782150658";"SHossain#0007";"19-Oct-18 05:42 PM";"joined";"";"";
"412323938782150658";"SHossain#0007";"19-Oct-18 05:43 PM";"are you guys interested in getting a bridge between your #talk-general channel with #gamecredits channel here?";"";"";
"131987896084332544";"n64#7103";"19-Oct-18 05:45 PM";"sure why not, it’ll help the two communities interact with each other better";"";"";
"131987896084332544";"n64#7103";"19-Oct-18 05:45 PM";"what do you need for it to get setup on our side? I assume some api tokens";"";"";
"412323938782150658";"SHossain#0007";"19-Oct-18 05:51 PM";"fantastic. thanks.";"";"";
"136534544470900736";"benohanlon#1119";"11-Dec-18 01:57 PM";"OK to archive this channel @SHossain?";"";"";
"412323938782150658";"SHossain#0007";"11-Dec-18 02:24 PM";"Ask James please.";"";"";
"455741312273219595";"jl777c#5810";"11-Dec-18 02:29 PM";"since there is still the public gamecredits channel, this one seems to be not needed";"";"";
"412323938782150658";"SHossain#0007";"11-Dec-18 02:32 PM";"i put it in the archieved category @benohanlon . thanks @jl777c";"";"";
"455875544366579734";"Mixic#3188";"15-Oct-19 09:41 AM";"https://komodoplatform.com/ecosystem/?wpv_aux_current_post_id=131&wpv_view_count=15054-TCPID131";"";"";
"455875544366579734";"Mixic#3188";"15-Oct-19 09:41 AM";"Link to https://gamecredits.com
You need https://gamecredits.org";"";"";
"403137719049519106";"Audo#5667";"15-Oct-19 12:05 PM";"Thanks, we will change it";"";"";
"131987896084332544";"n64#7103";"12-Nov-19 02:00 PM";"@Audo the link is still broken";"";"";
"403137719049519106";"Audo#5667";"12-Nov-19 02:17 PM";"ah is it? I thought I fixed it";"";"";
"403137719049519106";"Audo#5667";"12-Nov-19 02:20 PM";"it is now fixed @n64";"";"";
"131987896084332544";"n64#7103";"12-Nov-19 04:00 PM";"ty";"";"";
