AuthorID;Author;Date;Content;Attachments;Reactions;
"408251982885945344";"actionslacks#4072";"27-Jul-19 08:35 PM";"I agree. pirate on atomic dex would be epic.";"";"";
"408251982885945344";"actionslacks#4072";"27-Jul-19 08:39 PM";"I think everyone here agrees";"";"";
"408251982885945344";"actionslacks#4072";"27-Jul-19 08:41 PM";"it is a signifigant engineering challenge but these devs will be the first to pull it off if anyone can.";"";"";
"528109479439630346";"mazyar_lp#3486";"27-Jul-19 09:03 PM";"";"https://cdn.discordapp.com/attachments/584762059430821909/604780949816737793/Screenshot_20190728-013314.png";"";
"528109479439630346";"mazyar_lp#3486";"27-Jul-19 09:03 PM";"Congratulations .but need more speed";"";"";
"528109479439630346";"mazyar_lp#3486";"27-Jul-19 09:04 PM";"Fast trades";"";"";
"349903748539351042";"allbits#5898";"27-Jul-19 09:27 PM";"Speed is limited by confirmation times on the blockchain. These are decentralized atomic swaps, not changes in bookkeeping entries by a centralized exchange.";"";"";
"349903748539351042";"allbits#5898";"27-Jul-19 09:29 PM";"By the way, how does the speed compare to changelly or shapeshift. It's way faster, right?";"";"";
"410005679668068352";"buralux#1776";"28-Jul-19 12:04 AM";"Hello, there is a crash when try to send BTC from wallet, I’ll try many times always same crash";"";"";
"410005679668068352";"buralux#1776";"28-Jul-19 12:10 AM";"I kill the app and restart it, this time the error is:";"https://cdn.discordapp.com/attachments/584762059430821909/604827912130002964/image0.jpg";"";
"410005679668068352";"buralux#1776";"28-Jul-19 12:11 AM";"Now I will try others crypto";"";"";
"272003866906722306";"TonyL#3577";"28-Jul-19 02:54 AM";"@buralux Hello! Please note that withdrawal to segwit addresses isn’t supported at the moment. Maybe it’s a clue in your case. This error message will be improved in next versions";"";"";
"528109479439630346";"mazyar_lp#3486";"28-Jul-19 03:44 AM";"@allbits yeah it is way faster .you are right it is in Blockchain";"";"";
"471291317243215882";"33K#3466";"28-Jul-19 04:15 AM";"Disclaimer&Tos are too long... Scroll down takes forever";"";"🙃 (2)";
"474019343727067147";"designer#4893";"28-Jul-19 05:30 AM";"my chainzilla is gone.";"https://cdn.discordapp.com/attachments/584762059430821909/604908529244962819/KakaoTalk_Photo_2019-07-28-14-24-04.png";"";
"328995143371718656";"t0sma#0368";"28-Jul-19 05:41 AM";"@mazyar_lp for sure, it's much longer compare to a CEX but it's more cheaper and secure.. From my side, I consider that after step 1 ""order matched"", the trade is done. Step 2 is just the execution of the swap.";"";"";
"272003866906722306";"TonyL#3577";"28-Jul-19 06:10 AM";"@designer could you please user ""Settings -> Send report"" option and DM me the log?";"";"";
"272003866906722306";"TonyL#3577";"28-Jul-19 06:11 AM";"@t0sma Actually all steps are important to perform succesful swap. On steps 2 and 3 transactions broadcasting so there is much more failure possibility than on step 1";"";"";
"556200844060524544";"saskboy#5198";"28-Jul-19 06:39 AM";"I'm interested in testing it, how do I get started?";"";"";
"272003866906722306";"TonyL#3577";"28-Jul-19 06:54 AM";"@saskboy did you register on the beta web-site https://atomicdex.io/ ?";"";"";
"556200844060524544";"saskboy#5198";"28-Jul-19 07:10 AM";"Not yet";"";"";
"272003866906722306";"TonyL#3577";"28-Jul-19 07:11 AM";"Please DM to @Angelina  your email connected to iOS App store or Google Play Market depends of platform on which you want to test";"";"";
"556200844060524544";"saskboy#5198";"28-Jul-19 07:12 AM";"Just did website, will message @Angelina  next.";"";"🔥 (3)";
"442179471542321153";"kartha87#7689";"28-Jul-19 08:36 AM";"Does anyone have issue with withdrawing eth from from the atomic Dex eth wallet? I am trying to withdraw eth to my binance eth wallet. But the app throws the error, that the address is wrong. Is it a bug?";"";"";
"442179471542321153";"kartha87#7689";"28-Jul-19 08:36 AM";"";"https://cdn.discordapp.com/attachments/584762059430821909/604955366966427669/Screenshot_20190728-140116.jpg";"";
"448777271701143562";"smk762 -  dracocanis ominator#7640";"28-Jul-19 08:37 AM";"no spaces at start / end?";"";"";
"442179471542321153";"kartha87#7689";"28-Jul-19 08:42 AM";"There are No spaces at start / end.";"";"";
"272003866906722306";"TonyL#3577";"28-Jul-19 08:45 AM";"@kartha87 can you try to use mixed case address?
e.g. for https://etherscan.io/address/0xa568641f3032c3d2fd83d69215c9ad5971a4cd55 it'll be 0xA568641f3032c3D2Fd83d69215C9AD5971a4Cd55";"";"👍 (2),✅ (1)";
