AuthorID;Author;Date;Content;Attachments;Reactions;
"403137719049519106";"Audo#5667";"24-Sep-19 04:47 PM";"This is a temporary channel to get feedback from our community. We got new community guidelines and we are defining a good moderation policy that makes everyone happy.

We are also thinking if there's any way to reduce the amount of channels. Probably not :abusedsmily: 

Drop your feedback & ideas here";"";"";
"352577127494713345";"phm87#7395";"24-Sep-19 04:50 PM";"I noticed that most of conversations on #talk-trading  are not related to trading. I found no channel in such state";"";"";
"504735704543395853";"mrlynch#5735";"24-Sep-19 05:13 PM";"not that different to a real life trading floor though";"";"";
"352577127494713345";"phm87#7395";"24-Sep-19 05:16 PM";"Yes but I know more serious trading communities where such msgs can be deleted. Crypto funds and investors. Anyway, I won't fight to fix this : I learn trading stuff elsewhere and not on kmd discord";"";"";
"352577127494713345";"phm87#7395";"24-Sep-19 05:17 PM";"Guys such as siu and markus can help ppl (to see if a TA is valid or invalidated). They are helping ppl and teaching. But these msgs are lost in all unrelated msgs";"";"";
"352577127494713345";"phm87#7395";"24-Sep-19 05:18 PM";"In the traders community I am talking about, they have 2 trading channels: talk-crypto and TA. TA should contain only TA";"";"";
"504735704543395853";"mrlynch#5735";"24-Sep-19 05:18 PM";"the only solution is.... more channels :troll:";"";"";
"352577127494713345";"phm87#7395";"24-Sep-19 05:18 PM";"I agree";"";"";
"352577127494713345";"phm87#7395";"24-Sep-19 05:19 PM";"Or maybe push ppl in offtopic or general or use another random channel to discuss";"";"";
"405380797537976320";"Cryptoon#3362";"24-Sep-19 05:19 PM";"Technical trading <> Trading general";"";"";
"405380797537976320";"Cryptoon#3362";"24-Sep-19 05:19 PM";"could be an option for two trading chans";"";"";
"352577127494713345";"phm87#7395";"24-Sep-19 05:19 PM";"I agree";"";"";
"352577127494713345";"phm87#7395";"24-Sep-19 05:19 PM";"I vote for 1200 new channels";"";"";
"405380797537976320";"Cryptoon#3362";"24-Sep-19 05:20 PM";"where trading general can be the loosely moderated trading channel that has existed since the slack times etc";"";"";
"405380797537976320";"Cryptoon#3362";"24-Sep-19 05:20 PM";"and trading technical where you can talk fib and EMA levels :p";"";"";
"352577127494713345";"phm87#7395";"24-Sep-19 05:20 PM";"I read a suggestion to have a bot trading channel for dev who trade with bots";"";"";
"504735704543395853";"mrlynch#5735";"24-Sep-19 05:20 PM";"there was one, nobody used it i think";"";"";
"504735704543395853";"mrlynch#5735";"24-Sep-19 05:22 PM";"#dev-tradebots <- #dev-marketmaker";"";"";
"242635006516658197";"jorian#4555";"24-Sep-19 05:23 PM";"the chat style in #talk-trading is probably a remnant of the Slack era, where the trading channel there was a place to discuss a lot more than just trading";"";"";
"242635006516658197";"jorian#4555";"24-Sep-19 05:24 PM";"also #general in Slack was a nice place to discuss all general things SuperNET / komodo";"";"";
"242635006516658197";"jorian#4555";"24-Sep-19 05:24 PM";"can't really describe why that is";"";"";
"623645402209452061";"xeonrider#3120";"24-Sep-19 05:27 PM";"I find it quite hostile in trading not sure what is going on there but it surely isnt about trading";"";"";
"623645402209452061";"xeonrider#3120";"24-Sep-19 05:28 PM";"and... way too many channels";"";"";
"403137719049519106";"Audo#5667";"24-Sep-19 05:30 PM";"thanks for your feedback. Much appreciated";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"24-Sep-19 05:30 PM";"Yous say ""more channels"", I say:";"https://cdn.discordapp.com/attachments/626069975655776288/626108319060328471/GiveNow.png";"";
"504735704543395853";"mrlynch#5735";"24-Sep-19 05:31 PM";"there goes your no-troll rule";"";"troll (2)";
"423583064430608384";"groundhog#0062";"24-Sep-19 05:32 PM";"guyse am i the only one who thinks we have too many chats in this discord? maybe it would be nice to have seperate discords for some branches and only keep the top topics here, maybe link the subchannels here to an outsourced discord? idk, but scrolling through the channels is getting somehow overwhelming, even tho it is neatly structured, for me its getting bin hard to overlook the topics im intrested in.";"";"";
"403137719049519106";"Audo#5667";"24-Sep-19 05:35 PM";"do the channels at the very bottom get in way too? Like for example we have tons of ecosystem project channels.";"";"";
"423583064430608384";"groundhog#0062";"24-Sep-19 05:39 PM";"not necessarily but its bit hard to over look all this, especially for new members i think";"";"";
"423583064430608384";"groundhog#0062";"24-Sep-19 05:40 PM";"imagine landing here for the first time...";"";"";
"423583064430608384";"groundhog#0062";"24-Sep-19 05:40 PM";"just sayin tho";"";"";
"423583064430608384";"groundhog#0062";"24-Sep-19 05:40 PM";"😉";"";"";
"623645402209452061";"xeonrider#3120";"24-Sep-19 05:44 PM";"@Audo there are archived ones. Unless there is an option now in discord to mute every channel";"";"";
"623645402209452061";"xeonrider#3120";"24-Sep-19 05:45 PM";"@groundhog you are right, but than again Komodo tech isnt really easy for someone new";"";"";
"623645402209452061";"xeonrider#3120";"24-Sep-19 05:45 PM";"unless you just want to fire up a blockchain";"";"";
"623645402209452061";"xeonrider#3120";"24-Sep-19 05:47 PM";"I prefer moderation vs lesser channels";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"24-Sep-19 05:53 PM";"`do the channels at the very bottom get in way too? Like for example we have tons of ecosystem project channels.`
no, it's all the other crap that gets in the way of getting to *them*";"";"💯 (1)";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"24-Sep-19 05:56 PM";"imo, 2 ecosystem headers would be nice
maybe ""Ecosystem Projects"" for those that do live here and ""Ecosystem Extensions"" (or something along that line) for those that are here and somewhere else?";"";"";
"423583064430608384";"groundhog#0062";"24-Sep-19 06:36 PM";"@xeonrider but i think we also want to grow the community. some ppl just want to invest and see the developement and news, others may start their own project at somepoint. maybe dev topics and general topics could be separated, idk, komodo is developing so quickly its hard to follow up unless the surrounding structure gets updated aswell to make it easy for newbs to find an entrance point and satisfying userexperience. it takes couple hours to overview the project to someone new, maybe that could be a good starting point.";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"24-Sep-19 06:38 PM";"`to make it easy for newbs to find an entrance point`
Having watched all the growth from just a handful of channels when we moved over here, I've often wondered the challenge level of coming here new";"";"";
"623645402209452061";"xeonrider#3120";"24-Sep-19 06:50 PM";"the entrance point is not the issue. You simply don't really get ahead without being at the mercy of people who might know something. I just like being able to do the basics on my own instead of throwing myself at the mercy of other people who ""might"" be in a good mood to help out or get referred to rtfm or ""go slowly"".";"";"";
"623645402209452061";"xeonrider#3120";"24-Sep-19 06:50 PM";"just my 2 cents";"";"";
"423583064430608384";"groundhog#0062";"24-Sep-19 06:56 PM";"growing the community is the issue as i see it, from ethusiast and businessrelated pov, but the question is who is the targeting group and how to attract them. cus the tech is good imo.";"";"";
"455875544366579734";"Mixic#3188";"25-Sep-19 01:34 AM";"Well done, guys! Glad to see that Komodo always thinks about his community 🙂 👍";"";"";
"408251982885945344";"actionslacks#4072";"25-Sep-19 02:36 AM";"I agree with the move to raise the general quality of what gets posted on this discord. It also seems like an inordinate amount of posts are just people complaining. Constructive criticism ie ""I think X is a little weak, we should try Y to make X better"" is a lot better than ""kmd is a total shitcoin and your team sucks"". People often just come in here to troll everyone and there should be some threshold where people who are being dicks will be muted or kicked, even temporarily. No one needs it. It just lowers morale. This is an open project, but that doesn't mean that anyone should be able to come here and spread their psychic waste because they're frustrated.";"";"";
"421787503154954254";"Aron“XuanLeeeeee“Goldberg#3393";"25-Sep-19 07:33 AM";"Good initiative !! What I would like Komodo to promote as a multifunctional platform for upcoming projects. Also to point out already existing ERC-20 projects on the clear advantages of komodo and also to offer guidance including supporters for a change (Chainzilla ...). A graphic representation would set the ball rolling and komodo would be in the minds of devs and investors.";"";"👍 (3)";
"466679763491225600";"joe2x4#5987";"26-Sep-19 08:47 PM";"Ecosystem needs a #mediation channel to help prevent flame wars. Quarantine the posts and the ones arguing to only this channel till disputes solved, utilize a mediator. Find some common ground, shake hands, act like adults.";"";"yassinheart (2)";
