AuthorID;Author;Date;Content;Attachments;Reactions;
"405011811511828481";"Alright#0419";"20-Mar-19 07:33 PM";"where are you getting 4% from?";"";"";
"482716107925356555";"DmanXX#2257";"21-Mar-19 02:17 PM";"From my calculations";"";"";
"482716107925356555";"DmanXX#2257";"21-Mar-19 02:18 PM";"How much kmd should I get every month from 10,000 KMD?";"";"";
"456690797505544202";"ch6ris#5240";"21-Mar-19 02:19 PM";"5.1% 😋";"";"";
"482716107925356555";"DmanXX#2257";"21-Mar-19 02:19 PM";"Exactly which is 510kmd";"";"";
"456690797505544202";"ch6ris#5240";"21-Mar-19 02:20 PM";"Yeah it's 5.1% pa on average. lots of variables.";"";"";
"465223258803798026";"LeshAft9#0083";"21-Mar-19 02:22 PM";"DmanXX are you using the atomicwallet Ledger KMD Reward Claim webpage? if so, they take 5% of your reward to support their development";"";"";
"465223258803798026";"LeshAft9#0083";"21-Mar-19 02:22 PM";"oh sorry I see you're using Agama";"";"";
"482716107925356555";"DmanXX#2257";"21-Mar-19 02:22 PM";"No I’m using Agama Mac OS 0.3.4";"";"";
"482716107925356555";"DmanXX#2257";"21-Mar-19 02:23 PM";"It’s no big deal it’s few kmd just want to find out how it’s calculated";"";"";
"456690797505544202";"ch6ris#5240";"21-Mar-19 02:23 PM";"i.e maybe you claim once a week, locktime needs to be set for 1 hour before rewards start accruing. you could end up with 50 hours over the year without rewards accruing.";"";"";
"482716107925356555";"DmanXX#2257";"21-Mar-19 02:24 PM";"I’m claiming every month";"";"";
"456690797505544202";"ch6ris#5240";"21-Mar-19 02:25 PM";"at the exact moment in time they stop accruing? I don't know much. But my math shows its pretty damn close to 5%. I have seen very minor variables.";"";"";
"420119978138664961";"CHMEX#0686";"21-Mar-19 02:25 PM";"";"https://cdn.discordapp.com/attachments/429676282196787200/558295199822905344/unknown.png";"";
"482716107925356555";"DmanXX#2257";"21-Mar-19 02:25 PM";"Also I’m using kmd calc";"";"";
"482716107925356555";"DmanXX#2257";"21-Mar-19 02:26 PM";"Yeap that one";"";"";
"482716107925356555";"DmanXX#2257";"21-Mar-19 02:26 PM";"But I’m getting less from Agama";"";"🤔 (1)";
"420119978138664961";"CHMEX#0686";"21-Mar-19 02:27 PM";"what is your address? maybe you have a lot of small utxo which do not accrue";"";"";
"482716107925356555";"DmanXX#2257";"21-Mar-19 02:27 PM";"No I send it to my self whole amount";"";"";
"420119978138664961";"CHMEX#0686";"21-Mar-19 02:28 PM";"ok";"";"";
"456690797505544202";"ch6ris#5240";"21-Mar-19 02:28 PM";"Well when you claim it should create one utxo plus another for the rewards.";"";"";
"482716107925356555";"DmanXX#2257";"21-Mar-19 02:28 PM";"Yes";"";"";
"482716107925356555";"DmanXX#2257";"21-Mar-19 02:28 PM";"I have large amount plus smaller one";"";"";
"456690797505544202";"ch6ris#5240";"21-Mar-19 02:28 PM";"workaround is send the transaction to yourself twice.";"";"";
"482716107925356555";"DmanXX#2257";"21-Mar-19 02:30 PM";"The thing is that kmd atomic calculator is showing completely different amount from what I am getting in Agama";"";"";
"482716107925356555";"DmanXX#2257";"21-Mar-19 02:30 PM";"It could be a glitch";"";"";
"456690797505544202";"ch6ris#5240";"21-Mar-19 02:32 PM";"I doubt it. It isn't perfect. The change to claiming once a month was only made recently. You would need 12 months of perfectly timed claims to really see the full picture.";"";"";
"482716107925356555";"DmanXX#2257";"21-Mar-19 02:32 PM";"https://www.atomicexplorer.com/#/rewards-calc";"";"";
"482716107925356555";"DmanXX#2257";"21-Mar-19 02:33 PM";"That’s what I’m using";"";"";
"482716107925356555";"DmanXX#2257";"21-Mar-19 02:34 PM";"Not really in that calculator you have option to see how much you going to get first month";"";"";
"456690797505544202";"ch6ris#5240";"21-Mar-19 02:34 PM";"it went from claiming once every 12 months to once a month. which theoretically increased the possible rewards by .1%";"";"";
"482716107925356555";"DmanXX#2257";"21-Mar-19 02:35 PM";"And my payout is smaller by few kmd";"";"";
