AuthorID;Author;Date;Content;Attachments;Reactions;
"365714438864633856";"dukeleto#7326";"12-Sep-19 11:53 AM";"👍";"";"";
"513702187415765012";"vogelfreund88#4534";"16-Nov-19 09:10 PM";"Anyone sell blur, feel free to dm me";"";"";
"412323938782150658";"SHossain#0007";"16-Nov-19 09:13 PM";"1 BLUR = 10 KMD?";"";"";
"412323938782150658";"SHossain#0007";"16-Nov-19 09:13 PM";"😉";"";"";
"513702187415765012";"vogelfreund88#4534";"16-Nov-19 09:46 PM";"1 kmd 100 blur";"";"";
"513702187415765012";"vogelfreund88#4534";"16-Nov-19 09:46 PM";"😉";"";"";
"412323938782150658";"SHossain#0007";"16-Nov-19 09:49 PM";"no. thank you";"";"";
"412323938782150658";"SHossain#0007";"16-Nov-19 09:50 PM";"last i checked BLUR has over 2MH mining";"";"";
"412323938782150658";"SHossain#0007";"16-Nov-19 09:50 PM";"maybe some early miner can sell you at that price";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"16-Nov-19 09:50 PM";"🎵 I be on that CryptoNight
Straight up on that CryptoNight
I be on that, straight up on that
I be on that CryptoNight 🎵";"";"";
"412323938782150658";"SHossain#0007";"16-Nov-19 09:51 PM";"you started writing songs recently @ComputerGenie 👴🏼📢 ? or singing them?";"";"";
"412323938782150658";"SHossain#0007";"16-Nov-19 09:51 PM";":abused:";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"16-Nov-19 09:52 PM";"It's a rap song and it popped into my head when this chan became active";"";"";
"412323938782150658";"SHossain#0007";"16-Nov-19 09:52 PM";"i see 😛";"";"";
"412323938782150658";"SHossain#0007";"16-Nov-19 09:52 PM";"actually i'll buy 1000 KMD worth BLUR if anyone sell at the price @vogelfreund88 posted";"";"";
"513702187415765012";"vogelfreund88#4534";"16-Nov-19 09:57 PM";"Only need some 🍀";"";"";
"513702187415765012";"vogelfreund88#4534";"17-Nov-19 10:27 AM";"Is there an blur discord? And the newest GUI wallet doesn’t work for me on win10";"";"";
"402649850241482752";"Biz#0842";"19-Nov-19 05:12 PM";"@vogelfreund88 sorry, just seeing this! Discord is here: https://discord.gg/ft46QmK and wasn’t aware of the win10 issue - will look into";"";"";
"365714438864633856";"dukeleto#7326";"19-Nov-19 11:11 PM";"@Biz fyi, i don't think there is a link to discord on the blur website. not sure if that is intentional";"";"";
"402649850241482752";"Biz#0842";"20-Nov-19 03:52 AM";"Really? I thought there was one in social media. Hmm";"";"";
"402649850241482752";"Biz#0842";"20-Nov-19 03:52 AM";"There is! Just only a logo. Some text labeling would help";"";"";
"402649850241482752";"Biz#0842";"20-Nov-19 03:53 AM";"One of those UX things where I forget others aren’t as familiar";"";"";
"402649850241482752";"Biz#0842";"20-Nov-19 03:53 AM";"Noted, and we’ll add something to make it more clear";"";"";
"365714438864633856";"dukeleto#7326";"20-Nov-19 07:33 PM";"groovy, i had trouble finding it with my old person eyes 😉";"";"";
"513702187415765012";"vogelfreund88#4534";"20-Nov-19 07:40 PM";"Wtb blur with kmd dm me offers.";"";"";
"402210705476026368";"bishop#9773";"22-Nov-19 03:16 PM";"Nice, up to 1700 sats, nethash starting to be persistently above 3.5 and even tagging over 4.2mh. 😄";"";"";
"402210705476026368";"bishop#9773";"22-Nov-19 03:19 PM";"Not even a million dollar market cap yet. I'll speculate somewhere around BBR/AEON market caps inside 3-6 months.";"";"";
