AuthorID;Author;Date;Content;Attachments;Reactions;
"412323938782150658";"SHossain#0007";"05-Apr-19 04:40 PM";"emoji example ^^";"";"";
"504735704543395853";"mrlynch#5735";"05-Apr-19 04:41 PM";"@Mylo please @ me if there's something off with pirate's proposal";"";"";
"504735704543395853";"mrlynch#5735";"05-Apr-19 04:41 PM";"i'll edit it now and do a PR";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"05-Apr-19 04:41 PM";"`but it was relative url, ./genie.jpg which is great when it's in the repo, but sucks for generating externally`
I forgot about that one, the reason is image size, I can't operate gimp, so feel free to resize it ad fix it how you like :troll:";"";"";
"504735704543395853";"mrlynch#5735";"05-Apr-19 04:41 PM";"thank you!";"";"";
"371114647052615681";"Mylo#8306";"05-Apr-19 04:42 PM";"np.   use absolute urls, check in browser that they open to the image source.   much more tranportable.  thanks for quick responses.  ok @mrlynch";"";"👌 (1)";
"371114647052615681";"Mylo#8306";"05-Apr-19 04:42 PM";"@ComputerGenie 👴🏼📢 gimp scale 😛";"";"";
"371114647052615681";"Mylo#8306";"05-Apr-19 04:42 PM";"thanks @SHossain lots of emojis";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"05-Apr-19 04:43 PM";"@Mylo why are the md code tags black and unreadable on your site?";"";"";
"371114647052615681";"Mylo#8306";"05-Apr-19 04:43 PM";"link?   can fix with css.  not sure which ones";"";"";
"412323938782150658";"SHossain#0007";"05-Apr-19 04:43 PM";"heperlinks";"";"";
"371114647052615681";"Mylo#8306";"05-Apr-19 04:43 PM";"oh i see";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"05-Apr-19 04:43 PM";"<https://komodoelection.com/proposals/computergenie/> can't see any of my addresses";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"05-Apr-19 04:44 PM";"the most important part 😭";"";"";
"368864295397752833";"metaphilibert#0926";"05-Apr-19 04:44 PM";"@blackjok3r earlier? When I search recv in this channel history it was last year 😁
And at the same state last year everyone was ""am I in the revc mask? Why am I not in the revmask"" lol";"";"";
