AuthorID;Author;Date;Content;Attachments;Reactions;
"272003866906722306";"TonyL#3577";"07-Nov-19 07:17 AM";"Yes if there are no difficulties with such implementation @dimxy";"";"";
"507209916449292303";"dimxy#2587";"07-Nov-19 08:18 AM";"In cc assets most of the errors are discovered on the validation stage while the rpc creation code itself is rather simple. So usually a transaction could be created but if it has an issue it will be found later, while the tx is validated";"";"";
"249256116150730753";"PHBA2061#2530";"14-Nov-19 12:34 PM";"I'm testing token methods & notice that orders created by `tokenbid` method aren't shown in the array returned by `mytokenorders`, only orders created by `tokenask` are shown";"";"";
"412482228359266328";"CrisF#3405";"14-Nov-19 11:19 PM";"Hmm, maybe @dimxy knows why ☝
🤞";"";"";
"507209916449292303";"dimxy#2587";"15-Nov-19 06:17 AM";"Yes only asks are included into mytokenorders rpc.
(Maybe this is because we created this rpc as an ad-hoc method for some specific purpose. Let's add bids too)";"";"🙏 (1)";
"455741312273219595";"jl777c#5810";"15-Nov-19 08:27 AM";"yes";"";"";
"249256116150730753";"PHBA2061#2530";"15-Nov-19 08:32 AM";"adding a new method  to check the amount of unconfirmed tokens balance (similar to `tokenbalance` ) shouldn't be too complicated right ?";"";"";
"455741312273219595";"jl777c#5810";"15-Nov-19 08:51 AM";"you mean scanning the mempool?";"";"";
"249256116150730753";"PHBA2061#2530";"15-Nov-19 09:07 AM";"I mean a method similar to `getunconfirmedbalance` , but for getting unconfirmed token balance, I don't know in details how `getunconfirmedbalance` is implemented though";"";"";
"455741312273219595";"jl777c#5810";"15-Nov-19 09:12 AM";"it is possible, but very tricky as the addressindex is not updated with mempool";"";"👍 (1)";
"455741312273219595";"jl777c#5810";"15-Nov-19 09:12 AM";"best would be to scan mempool for affected tokens and mark it as pending, but it will be much easier to wait until the confirmation and addressindex updates";"";"";
"249256116150730753";"PHBA2061#2530";"15-Nov-19 09:18 AM";"thanks for the answer !";"";"";
"412482228359266328";"CrisF#3405";"16-Nov-19 03:59 AM";"Yes, thanks!  🙏";"";"";
"249256116150730753";"PHBA2061#2530";"16-Nov-19 04:36 PM";"<https://github.com/NOCTLJRNE/Komodo-Pokemon/tree/dex>
I just pushed some updates to my app:
- get rid of the CORS problem, so you can run the app normally on the browser.
- adding some functionalities like token transferring, ask/bid orders placing/filling (based on the existing RPC methods) which allow users to trade their tokens.
- I placed some orders selling my Pokémon at 1 MORTY per token, anyone is welcome to buy it ... 😂
- I didn't really focus on UX, so the app might be a bit messy.";"";"💯 (3)";
"423176312354635779";"gcharang#6833";"16-Nov-19 05:24 PM";"hey @PHBA2061 
I did
```
git clone https://github.com/NOCTLJRNE/Komodo-Pokemon/
cd Komodo-Pokemon
git checkout dex
npm install
npm run dev
```
then visited  http://localhost:3000/pokedex
it is showing these errors";"";"";
"423176312354635779";"gcharang#6833";"16-Nov-19 05:24 PM";"";"https://cdn.discordapp.com/attachments/524538792644837376/645313366965092383/Screenshot_from_2019-11-16_22-53-16.png";"";
"423176312354635779";"gcharang#6833";"16-Nov-19 05:26 PM";"ignore me 
forgot to read the updated instructions lol";"";"";
"423176312354635779";"gcharang#6833";"16-Nov-19 05:30 PM";"just bought one 🙂";"https://cdn.discordapp.com/attachments/524538792644837376/645314802243338272/Screenshot_from_2019-11-16_23-00-19.png";"";
"249256116150730753";"PHBA2061#2530";"16-Nov-19 05:41 PM";"@gcharang nice ! If you fed up with it, you can always dump it into my buy order 😂";"";"";
"423176312354635779";"gcharang#6833";"16-Nov-19 05:44 PM";"yup, sold it and bought a mudkip!";"";"😂 (2)";
"395274075985018880";"Regnar#6164";"16-Nov-19 08:35 PM";"Definitely going to try and buy some tonight!";"";"";
"406179072922746882";"polycryptoblog#1173";"16-Nov-19 10:13 PM";"";"https://cdn.discordapp.com/attachments/524538792644837376/645386018400239616/image0.jpg";"🙈 (6),🐙 (3)";
"150437093879840768";"Paro#7842";"17-Nov-19 05:09 PM";"http://prntscr.com/py6fzh";"";"";
"150437093879840768";"Paro#7842";"17-Nov-19 05:11 PM";"can this cause error?";"";"";
"249256116150730753";"PHBA2061#2530";"17-Nov-19 05:33 PM";"@Paro did you get that error after clicking on the VERIFY button ? Then it indicates that the pubkey in the ""Public key"" field doesn't match with the private key that you have on your daemon";"";"";
"150437093879840768";"Paro#7842";"17-Nov-19 05:45 PM";""".komodo"" completely erased. I created a new wallet and pubkey.";"";"";
"150437093879840768";"Paro#7842";"17-Nov-19 05:45 PM";"I am trying.";"";"";
"150437093879840768";"Paro#7842";"17-Nov-19 05:50 PM";"";"https://cdn.discordapp.com/attachments/524538792644837376/645682217271558153/Baslksz-1.png";"";
"249256116150730753";"PHBA2061#2530";"17-Nov-19 05:52 PM";"try SUBMIT then VERIFY";"";"";
"249256116150730753";"PHBA2061#2530";"17-Nov-19 05:54 PM";"also add this line rpcallowip=your_remote_ip and remove this line rpcbind=127.0.0.1 in .komodo/MORTY/MORTY.conf";"";"👏🏻 (1)";
"150437093879840768";"Paro#7842";"17-Nov-19 05:54 PM";"same again.";"";"";
"249256116150730753";"PHBA2061#2530";"17-Nov-19 05:55 PM";"& restart the daemon after editing MORTY.conf";"";"";
"150437093879840768";"Paro#7842";"17-Nov-19 05:57 PM";"```rpcuser=user2371348726
rpcpassword=pass40f2e00c9e0195d970010d7e87d0bcb44f30b76919a9b3917476f6a730448ad7e5
rpcport=16348
server=1
txindex=1
rpcworkqueue=256
rpcallowip=127.0.0.1
```";"";"";
"150437093879840768";"Paro#7842";"17-Nov-19 05:59 PM";"same again.";"";"";
"231533083818590211";"Oszy#5734";"17-Nov-19 06:00 PM";"rpcallowip=your_remote_ip - 127.1 is not remote";"";"";
"249256116150730753";"PHBA2061#2530";"17-Nov-19 06:01 PM";"do you run MORTY chain & the web app on the same PC or it's 2 differents PC";"";"";
"150437093879840768";"Paro#7842";"17-Nov-19 06:01 PM";"the same computer.";"";"";
"150437093879840768";"Paro#7842";"17-Nov-19 06:02 PM";"I'm using ""vbox (Virtual Box)""";"";"";
"231533083818590211";"Oszy#5734";"17-Nov-19 06:05 PM";"LAN is in bridge mode? same subnet?";"";"";
"249256116150730753";"PHBA2061#2530";"17-Nov-19 06:06 PM";"do you run `npm run proxy` ?";"";"👏🏻 (1)";
"150437093879840768";"Paro#7842";"17-Nov-19 06:06 PM";"I think I understand the problem.I need to open out the ""vbox"" network";"";"";
"150437093879840768";"Paro#7842";"17-Nov-19 06:07 PM";"never seen that. SRRY ^^";"";"";
"150437093879840768";"Paro#7842";"17-Nov-19 06:07 PM";"""npm run proxy""";"";"";
"150437093879840768";"Paro#7842";"17-Nov-19 06:07 PM";"work..";"";"";
"150437093879840768";"Paro#7842";"17-Nov-19 06:08 PM";"http://prntscr.com/py74aw";"";"";
"150437093879840768";"Paro#7842";"17-Nov-19 06:09 PM";"I was using it. ""npm run start. im srry";"";"";
"249256116150730753";"PHBA2061#2530";"17-Nov-19 06:09 PM";"yeah you have to do both `npm run start` in 1 termnal & `npm run proxy` in another";"";"";
"249256116150730753";"PHBA2061#2530";"17-Nov-19 06:10 PM";"you don't have any Pokémon yet though, I'll send you some MORTY & let you decide which one to buy";"";"👏🏻 (1)";
"150437093879840768";"Paro#7842";"17-Nov-19 06:10 PM";"nice..";"";"";
"249256116150730753";"PHBA2061#2530";"17-Nov-19 06:11 PM";"could you paste you R-address here";"";"";
"150437093879840768";"Paro#7842";"17-Nov-19 06:11 PM";"RQcWgdUV3ACAvfHxus5eUQyK5ZCGrjSKd2";"";"";
