AuthorID;Author;Date;Content;Attachments;Reactions;
"272003866906722306";"TonyL#3577";"26-Mar-19 07:46 PM";"Created game, registered";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 07:50 PM";"The screen is flickering very hard - maybe it's because I'm playing via ssh. Building on local machine now";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 07:53 PM";"On local PC it's flickering but not so hard";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 08:03 PM";"`You finished with 2100 points on level 2.`";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 08:04 PM";"if you can post extract rpc call I can debug it";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 08:04 PM";"In replay blocks just falling on middle";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 08:05 PM";"```./komodo-cli -ac_name=GTEST cclib extract 17 '[""f7206d3690934f7c8df600dceb1d332debc0e2b13e0b877c980ec9576d7198ea"",""036a20ccce9b7caa5917cf7816e569fee8d216b81be3c1031987aadfeef4dfbc27""]'```";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 08:05 PM";"i need a non-zero points game";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 08:05 PM";"You finished with 2100 points on level 2.";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 08:05 PM";"will debug replay";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 08:05 PM";"In this game";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 08:05 PM";"But in replay blocks just falling on center";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 08:06 PM";"` ""numkeys"": 1076,`";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 08:06 PM";"i needed a non-zero points game
will debug replay";"";"👌 (1)";
"272003866906722306";"TonyL#3577";"26-Mar-19 08:08 PM";"Do you need one more or this one is enough?";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 08:09 PM";"one is enough";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 08:54 PM";"@TonyL pushed fix. all rpc other than bailout and highlander should work";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 08:55 PM";"i think the rpc interface is close enough to rogue, the rogue TUI will work with tetris";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:06 PM";"Yes, it seems so - just have to change executable name from `rogue` to `tetris`";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:07 PM";"Will try it now 😃";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:09 PM";"also, bailout and highlander might actually work";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:19 PM";"cashout is set to points * level * 1000 satoshis";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:20 PM";"but maybe there is no need to multiply by level as higher levels pay more points";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:21 PM";"Changed `rogue` to `tetris` and `ROGUE` to `GTEST`  - checking if TUI will work 😃";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:24 PM";"it should make a keystrokes tx every level";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:30 PM";"i see many messages coming in!";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:31 PM";"I guess I need to add some sort of realtime replay";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:33 PM";"```Game over!
You finished with 1560 points on level 2.
756
756
Waiting for next block before bailout
```";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:34 PM";"for now, I only tested to extract to make sure it matched the total";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:34 PM";"```Last keystroke not confirmed yet! Let's wait a little
Last keystroke not confirmed yet! Let's wait a little
Last keystroke not confirmed yet! Let's wait a little
Last keystroke not confirmed yet! Let's wait a little
Last keystroke confirmed!

Extraction info:

Current game state:
Game txid: 4a9bdca3eb08f46e46e7557317e73311460c40e36f4e8066957ce87262a562fd
Information about game saved on chain:  <- playerdata: gold.1560 hp.0 strength.0/0 level.0 exp.0 dl.2


Do you want to make bailout now [y] or wait for one more block [n]? [y/n]: 
```";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:34 PM";"So far so good";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:35 PM";"```[y/n]: y
() found baton 113bf10386e929d3394f5c1f0d7681b185e4fdba6502bdf790dd07b06565aeb3 numkeys.1119 seed.699299491085328427 playerdata.0

cashout 0.06240000 extracted  <- playerdata: gold.1560 hp.0 strength.0/0 level.0 exp.0 dl.2
```";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:35 PM";"it made a tx?";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:35 PM";"I'm not sure yet tbh, TUI not printing it";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:35 PM";"```'confirmations'
Bailout not on blockchain yet. Let's wait a little bit more
```";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:36 PM";"```./komodo-cli -ac_name=GTEST getrawmempool
[
  ""9e8bcf46058bcd4ab9ea3e74e4a1da44488541b45eb05b6e07e6cffa56c76219""
]
```";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:36 PM";"But have some tx in mempool";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:36 PM";"0.06240000 in vout2?";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:36 PM";"and is 1500 points a good game, no idea how to calibrate the payout";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:36 PM";"```    {
      ""value"": 0.06240000,
      ""valueSat"": 6240000,
      ""n"": 2,
      ""scriptPubKey"": {
        ""asm"": ""036a20ccce9b7caa5917cf7816e569fee8d216b81be3c1031987aadfeef4dfbc27 OP_CHECKSIG"",
        ""hex"": ""21036a20ccce9b7caa5917cf7816e569fee8d216b81be3c1031987aadfeef4dfbc27ac"",
        ""reqSigs"": 1,
        ""type"": ""pubkey"",
        ""addresses"": [
          ""RKrdMJMGGkbmdk57mMZQnfoMhhDU7MSkUP""
        ]
      }
```";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:36 PM";"spooky";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:37 PM";"it just worked?";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:37 PM";"Yes, it seems so 😃";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:37 PM";"`and is 1500 points a good game, no idea how to calibrate the payout` - 1500 it's not very hard actually";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:37 PM";"no validation yet, but good to know bailout worked. I wonder if multiplayer works";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:37 PM";"Like a 3-4 minutes game";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:38 PM";"ok, so payout might be ok";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:38 PM";"balance: 0.06309999";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:38 PM";"Balance increased";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:39 PM";"lets get multiplayer sorted. the gamesCC code base is almost the same as rogue, i just removed all rogue specifics (or most of it even though data structures is still using rogue stuff)";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:39 PM";"and if you are running another node, you might see a bunch of messages";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:39 PM";"Is player who earned more points winner in multiplayer?";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:39 PM";"yes, I guess that is what we need to do, will think about how to figure that out";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:40 PM";"Ok, because not much sense in ""who bailout last"" system in tetris 😃";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:40 PM";"Building second node";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:41 PM";"Or better will make second rogue node first from bootstrap and test rogue multiplayer";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:42 PM";"And tetris multiplayer can test when will be points coparison multiplayer system for it";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:42 PM";"maybe rogue can use that system too?";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:43 PM";"otherwise an immortal can race to the amulet and back out to win";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:43 PM";"I think rogue needs two gameplay modes";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:43 PM";"If players wants to race on immortals - it's ""collectioner mode""";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:44 PM";"If players wants something sportsman-like - it's ""competition mode"" and only fresh warriors are allowed (other words registration with playertxid not allowed)";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:44 PM";"ok, that is really easy to do";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:44 PM";"and it matches tetris, which has no playerdata";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:46 PM";"Some points/best gold result I've proposed before and it can be an interesting game mode as well";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:46 PM";"Also timelimited ones";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:47 PM";"And I think I can print in realtime all players extracts and timer";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:47 PM";"It should be dramatic 😃";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:47 PM";"After block X keystrokes just stops to accept to extract";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:47 PM";"yes, the baseline is working much better now";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:49 PM";"Let's say you can choose timelimit ( in blocks to make easy) on multiplayer game creation - after this block keystrokes stops to accept and bailout based on extracts executed";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:49 PM";"all such changes wont be that hard, but now that rogue and tetris are running mostly the same code, it feels needed to make a games plugin and have rogue and tetris plugin to the same games CC";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:49 PM";"Player who have most gold on extract - winner";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:49 PM";"all such variations of who wins can then be added once to the games CC and all the games inherit";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:50 PM";"Cool, #cc-games opening new horizons  😃";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:53 PM";"Strange that cant enable mining on GTEST";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:53 PM";"```./komodo-cli -ac_name=GTEST setgenerate true
root@ubuntu-16gb-nbg1-1 ~/latest_jl777/komodo/src # ./komodo-cli -ac_name=GTEST getmininginfo
{
  ""blocks"": 773,
  ""currentblocksize"": 0,
  ""currentblocktx"": 0,
  ""difficulty"": 6.67768455240544,
  ""errors"": """",
  ""genproclimit"": 0,
  ""localsolps"": 0,
  ""networksolps"": 1,
  ""networkhashps"": 1,
  ""pooledtx"": 0,
  ""testnet"": false,
  ""chain"": ""main"",
  ""staking"": false,
  ""generate"": false,
  ""numthreads"": 0
}
```";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:53 PM";"Tried on 3 nodes already";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:54 PM";"what if setgenerate true 1";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:54 PM";"Oh it worked I wonder
`""generate"": true,`";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 09:55 PM";"Is number means amount of threads?";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:55 PM";"yes";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:56 PM";"if not set, it should be maxthreads, but maybe on your node it isnt working";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 10:02 PM";"```./komodo-cli -ac_name=GTEST cclib newgame 17 '[2,0.1]'
{
  ""name"": ""games"",
  ""method"": ""newgame"",
  ""maxplayers"": 2,
  ""buyin"": 0.10000000,
  ""type"": ""buyin"",
  ""hex"": ""0400008085202f89011962c756facfe6076e5bb05eb441854844daa1e4743eeab94acd8b0546cf8b9e030000007b4c79a276a072a26ba067a56580210223b2b9d35fb6383bbbc0dd6668825c91713bc21081b9ce33df3d7edbafa88305814058e5e3961856e3ef5051facfb027ecf3e6437c4c78998f401646d69fb5a8e92136b05011d200730ce08a8bfdba1bd5b8943324d2c8f5bb52834cec7adc630b83a100af03800111a10001ffffffff081027000000000000302ea22c80203d1579313abe7d8ea85f48c65ea66fc512c878c0d0e6f6d54036669de940febf8103120c008203000401cc40420f0000000000302ea22c80208958791fdd38bdf532c97f1691fd231a3f1f5c0c3cd28b68d7383c8b1078828e81031210008203000401cc40420f0000000000302ea22c80208958791fdd38bdf532c97f1691fd231a3f1f5c0c3cd28b68d7383c8b1078828e81031210008203000401cc1027000000000000302ea22c80208958791fdd38bdf532c97f1691fd231a3f1f5c0c3cd28b68d7383c8b1078828e81031210008203000401cc1027000000000000302ea22c80208958791fdd38bdf532c97f1691fd231a3f1f5c0c3cd28b68d7383c8b1078828e81031210008203000401ccf8208c5302000000302ea22c80203d1579313abe7d8ea85f48c65ea66fc512c878c0d0e6f6d54036669de940febf8103120c008203000401cc1027000000000000232103e5841977ef37d9b7c71ddc18a9593d695fbbec7bd247b5ecb64f29099dd6fb71ac0000000000000000106a0e114780969800000000000200000000000000270300000000000000000000000000"",
  ""txid"": ""8e97009330aa50a5136663a36265f95c3c609c922abd92b4d8bd8aca1d1caab3"",
  ""result"": ""success""
}
```
created multiplayer tetris game - will try to play";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 10:03 PM";"since GTEST isnt funding the tetris funds, i added a ""fund"" rpc that can be used by anybody to add more tetris funding";"";"🔥 (1)";
"455741312273219595";"jl777c#5810";"26-Mar-19 10:04 PM";"for multiplayer, the key is if ""buyins"" field is correct in gameinfo";"";"";
