AuthorID;Author;Date;Content;Attachments;Reactions;
"412323938782150658";"SHossain#0007";"15-Aug-18 03:59 PM";"```
./komodo-cli -ac_name=AT5 getrawmempool
[
  ""008bed88b2dfee149a1798744cb9408b56a6b60d04da5cbc746f643d55e8b500""
]
```";"";"";
"455741312273219595";"jl777c#5810";"15-Aug-18 03:59 PM";"i think it is a timing issue";"";"";
"455741312273219595";"jl777c#5810";"15-Aug-18 04:00 PM";"you did some tx to that address";"";"";
"455741312273219595";"jl777c#5810";"15-Aug-18 04:00 PM";"so now the faucet tx is invalid";"";"";
"455741312273219595";"jl777c#5810";"15-Aug-18 04:00 PM";"but the moment you submitted to mempool it wasnt invalid";"";"";
"455741312273219595";"jl777c#5810";"15-Aug-18 04:00 PM";"i think you need to restart that node";"";"";
"412323938782150658";"SHossain#0007";"15-Aug-18 04:00 PM";"restarting";"";"";
"455741312273219595";"jl777c#5810";"15-Aug-18 04:00 PM";"not sure how easy it is to get into such a situation";"";"";
"412323938782150658";"SHossain#0007";"15-Aug-18 04:01 PM";"```
./komodo-cli -ac_name=AT5 faucetinfo
{
  ""result"": ""success"",
  ""name"": ""Faucet"",
  ""funding"": ""0.00000000""
}
```
on other node, it doesn't see faucet funds";"";"";
"455741312273219595";"jl777c#5810";"15-Aug-18 04:02 PM";"my node has that in the mempool also...";"";"";
"412323938782150658";"SHossain#0007";"15-Aug-18 04:02 PM";"after restart it shows
```
check faucetget txid 008bed88b2dfee149a1798744cb9408b56a6b60d04da5cbc746f643d55e8b500 00/00
faucetget validated
check faucetget txid 008bed88b2dfee149a1798744cb9408b56a6b60d04da5cbc746f643d55e8b500 00/00
faucetget validated
```";"";"";
"455741312273219595";"jl777c#5810";"15-Aug-18 04:03 PM";"if this isnt a one-off situation, i need to rethink the last constraint of unused address";"";"";
"412323938782150658";"SHossain#0007";"15-Aug-18 04:03 PM";"the tx is in my mempool also";"";"";
"412323938782150658";"SHossain#0007";"15-Aug-18 04:04 PM";"now confirmed";"";"";
"455741312273219595";"jl777c#5810";"15-Aug-18 04:04 PM";"somehow it was in th emempool, but when restarted it is processed...";"";"";
"412323938782150658";"SHossain#0007";"15-Aug-18 04:04 PM";"./komodo-cli -ac_name=AT5 faucetinfo
{
  ""result"": ""success"",
  ""name"": ""Faucet"",
  ""funding"": ""9999.89990000""
}";"";"";
"455741312273219595";"jl777c#5810";"15-Aug-18 04:04 PM";"very strange. we need to see if this happens again";"";"";
"412323938782150658";"SHossain#0007";"15-Aug-18 04:04 PM";"faucet has funds now";"";"";
"455741312273219595";"jl777c#5810";"15-Aug-18 04:04 PM";"the funding went to 0 as it was in the mempool";"";"";
