AuthorID;Author;Date;Content;Attachments;Reactions;
"455741312273219595";"jl777c#5810";"08-Mar-19 08:51 AM";"@SHossain tweaked the timing a bit, most of the flashing is gone for me";"";"";
"420119978138664961";"CHMEX#0686";"08-Mar-19 08:52 AM";"wow! Tetris";"";"";
"240544146320916480";"CryptoNinjaa#5350";"08-Mar-19 09:05 AM";"👀";"";"";
"272003866906722306";"TonyL#3577";"08-Mar-19 09:08 AM";"On which chain/daemon is possible to play tetris?";"";"";
"361480872291074068";"ronyi#5719";"08-Mar-19 09:08 AM";"and how? 😄";"";"";
"455741312273219595";"jl777c#5810";"08-Mar-19 09:24 AM";"not yet, just ported the curses app, not even a dapp yet";"";"👌 (2)";
"455741312273219595";"jl777c#5810";"08-Mar-19 09:24 AM";"./maketetris from cc dir and then ./tetris";"";"";
"455741312273219595";"jl777c#5810";"08-Mar-19 09:24 AM";"not fancy some screen flashes, but it seems to work and the codebase for it is very small";"";"";
"455741312273219595";"jl777c#5810";"08-Mar-19 09:25 AM";"it mostly should fit into the rogue rpc, but i guess there is no playerdata other than points scored";"";"";
"272003866906722306";"TonyL#3577";"08-Mar-19 09:31 AM";"Works smooth on my side";"";"";
"272003866906722306";"TonyL#3577";"08-Mar-19 09:32 AM";"```./tetris
Game over!
You finished with 500 points on level 1.
``` 😦";"";"";
"272003866906722306";"TonyL#3577";"08-Mar-19 09:34 AM";"Oh it's interesting variaton (not clearing field totally after you filled line)";"";"";
"272003866906722306";"TonyL#3577";"08-Mar-19 09:35 AM";"https://www.youtube.com/watch?v=L_UPHsGR6fM watched it last year lol";"";"";
"420119978138664961";"CHMEX#0686";"08-Mar-19 09:37 AM";"lol 26+ mins";"";"";
"272003866906722306";"TonyL#3577";"08-Mar-19 09:38 AM";"Quite dramatic final it was";"";"";
"370026641323327491";"ph03nix#3115";"08-Mar-19 09:39 AM";"when cc-bet";"";"";
"412323938782150658";"SHossain#0007";"08-Mar-19 12:15 PM";"@jl777c flickering completely gone.";"";"";
"412323938782150658";"SHossain#0007";"08-Mar-19 12:15 PM";"playing experience is much better now";"";"";
"412323938782150658";"SHossain#0007";"08-Mar-19 01:09 PM";"jsut noticed one thing that, some of the variants of tetris clears screen upon completion of each level. this one keeps playing continuously.";"";"";
"420119978138664961";"CHMEX#0686";"08-Mar-19 01:15 PM";"this is adictive! You finished with 820 points on level 1.";"";"";
"364083722154278923";"Cryptofist#7504";"08-Mar-19 01:37 PM";"@SHossain  The traditional versions of the game do not clear on level advancement.";"";"";
"364083722154278923";"Cryptofist#7504";"08-Mar-19 01:38 PM";"the other side to that is, there are a few hundred variations on the game";"";"";
"412323938782150658";"SHossain#0007";"08-Mar-19 01:38 PM";"i see. didn't know. there are so many variants, i thought there were thousands. this one looks good";"";"";
"364083722154278923";"Cryptofist#7504";"08-Mar-19 01:38 PM";"I only like the orginal nintendo, gameboy and ps3 (ultimate) editions myself, so bit of a biased purist.";"";"";
"364083722154278923";"Cryptofist#7504";"08-Mar-19 01:39 PM";"There might be thousands!";"";"";
"412323938782150658";"SHossain#0007";"08-Mar-19 01:42 PM";"This version is good. No need to change 😃";"";"";
"364083722154278923";"Cryptofist#7504";"08-Mar-19 01:47 PM";"Im looking forward to playing it asap. 😄";"";"";
"240544146320916480";"CryptoNinjaa#5350";"08-Mar-19 01:58 PM";"How do we launch this ? Awaiting basic instructions 🤣";"";"";
"412323938782150658";"SHossain#0007";"08-Mar-19 02:00 PM";"```
git clone https://github.com/jl777/komodo
cd komodo/src/cc
git checkout jl777
./maketetris
./tetris
```";"";"";
"412323938782150658";"SHossain#0007";"08-Mar-19 02:01 PM";"@CryptoNinjaa ^^";"";"";
"240544146320916480";"CryptoNinjaa#5350";"08-Mar-19 02:01 PM";"Thanks @SHossain will give it whirl";"";"";
"412323938782150658";"SHossain#0007";"08-Mar-19 02:01 PM";"no blockchain yet. just the game";"";"";
"240544146320916480";"CryptoNinjaa#5350";"08-Mar-19 02:01 PM";"ok";"";"";
"455741312273219595";"jl777c#5810";"08-Mar-19 02:13 PM";"i just used a preexisting curses based tetris, changed the update frequency. nothing to see here yet";"";"";
"508277543498022923";"Crabby Paddy#6239";"09-Mar-19 04:54 AM";"Cc pong
Cc minesweeper
Cc chess pls 😂";"";"";
"364083722154278923";"Cryptofist#7504";"09-Mar-19 05:16 AM";"@Crabby Paddy minesweeper. 😎";"";"";
"364083722154278923";"Cryptofist#7504";"09-Mar-19 05:16 AM";"I'd like to have a Komodo Arcade sometime.";"";"";
"232679450301431808";"blackjok3r#3181";"09-Mar-19 11:51 AM";"Ive made a pong game in highschool lol... in VB6 😂";"";"";
"232679450301431808";"blackjok3r#3181";"09-Mar-19 11:51 AM";"Lost it though, dont have the good version.";"";"🏓 (3)";
"412482228359266328";"CrisF#3405";"09-Mar-19 12:19 PM";"Hi @SHossain This might be good to pin```git clone https://github.com/jl777/komodo
cd komodo/src/cc
git checkout jl777
./maketetris
./tetris```";"";"👍🏽 (3)";
"412323938782150658";"SHossain#0007";"09-Mar-19 09:06 PM";"@siu - Chainmakers";"";"";
"422858760898215937";"siu - Chainmakers#3920";"09-Mar-19 09:08 PM";"👀 👀 👀 👀";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 10:14 AM";"#cc-games will have discussion relevant to tetris as tetris is the first game inside gamescc";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Mar-19 03:22 PM";"```./tetris        
ASSETCHAINS_SYMBOL.(GTEST) port.0 (:) IPADDRESS.127.0.0.1 
you must copy GTEST.conf from ~/.komodo/GTEST/GTEST.conf (or equivalent location) to current dir
```";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Mar-19 03:22 PM";"i need to run a GTEST chain first?";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Mar-19 03:22 PM";"what are the params for this chain?";"";"";
"272003866906722306";"TonyL#3577";"26-Mar-19 03:24 PM";"./komodod -ac_name=GTEST -ac_cclib=gamescc -ac_supply=1000000 -pubkey=<pubkey> -addnode=5.9.102.210  -ac_reward=100000000 -ac_cc=2  &";"";"";
"422858760898215937";"siu - Chainmakers#3920";"26-Mar-19 03:35 PM";"thanks!";"";"👍 (1)";
"423176312354635779";"gcharang#6833";"26-Mar-19 03:50 PM";"Pinned a message.";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:20 PM";"basic gameplay appears to work now, along with all but the game finish rpc calls";"";"";
"455741312273219595";"jl777c#5810";"26-Mar-19 09:20 PM";"just made a release so need to wait for bug report";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 11:21 AM";"**0. Install Dependencies**
```
sudo apt-get update && sudo apt-get upgrade -y
sudo apt-get install build-essential pkg-config libc6-dev m4 g++-multilib autoconf libtool ncurses-dev unzip git python zlib1g-dev wget bsdmainutils automake libboost-all-dev libssl-dev libprotobuf-dev protobuf-compiler libgtest-dev libqt4-dev libqrencode-dev libdb++-dev ntp ntpdate software-properties-common curl libcurl4-gnutls-dev cmake clang libsodium-dev -y
```
**1. Clone & Compile**
```
git clone https://github.com/jl777/komodo
cd komodo
git checkout jl777
./zcutil/build.sh -j$(nproc)
cd src/cc
./makegames
./maketetris
```
**2. Start GTEST chain in a new terminal (use your pubkey)**
```
cd ~/komodo/src
./komodod -ac_name=GTEST -ac_cclib=gamescc -ac_supply=1000000 -pubkey=<pubkey> -addnode=5.9.102.210  -ac_reward=100000000 -ac_cc=2  &
```
**3. Copy GTEST.conf file using the first terminal or a new one**
```
cd ~/komodo/src/cc/games
cp ~/.komodo/GTEST/GTEST.conf ~/komodo/src/cc/games/GTEST.conf
```
**4a. Start Tetris directly**
```
cd ~/komodo/src/cc/games
./tetris
```
**4b. Start Tetris in TUI**
```
cd ~/komodo/src/tui
./tui_tetris.py
```";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 11:22 AM";"Pinned a message.";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 11:22 AM";"Game is working fine. no flickering at all";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 11:24 AM";"new test guide up ^^";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 12:06 PM";"i see these on GTEST stdout while playing with TUI 
```
FinalizeCCTx couldnt find 0000000000000000000000000000000000000000000000000000000000000000
FinalizeCCTx couldnt find 0000000000000000000000000000000000000000000000000000000000000000
FinalizeCCTx couldnt find 0000000000000000000000000000000000000000000000000000000000000000
```";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 12:08 PM";"cashout seems working. waiting for mempool to be cleared";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 12:08 PM";"```
() found baton f7e5b81eb4f3463291f17584340eb4d786a745d45f402d1a867a2a0154cdcdbf numkeys.1532 seed.3413797956051687441 playerdata.0

cashout 0.43800000 extracted  <- playerdata: gold.4380 hp.0 strength.0/0 level.0 exp.0 dl.4
```";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 12:08 PM";"```
""balance"": 0.43819999,
```";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 01:15 PM";"Yes, it's known issue in tetris and rogue 😞";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 02:26 PM";"wow...Discord even picks up that i'm playing Tetris";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 02:29 PM";"Oh yes - nanotechnologies 😃";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 02:30 PM";"i have not found any issues with Tetris yet. game starts fine, and getting GTEST coins for the gold extracted";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 02:30 PM";"Yes, only issue is that progress not extracting fully sometimes because keystrokes finding zero baton (FinalizeCCTx couldnt find 0000000000000000000000000000000000000000000000000000000000000000 this print)";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 02:31 PM";"yeah";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 02:31 PM";"Btw I wonder tetris discussion in #cc-games now (according to James)
```#cc-games will have discussion relevant to tetris as tetris is the first game inside gamescc
```";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 02:32 PM";"But anyway James busy with super mega trustless oracles atm hehe 😃";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 02:32 PM";"which button pauses the game?";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 02:32 PM";"I don't know if there is any";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 02:32 PM";"q quits the game";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 02:33 PM";"https://github.com/jl777/komodo/blob/jl777/src/cc/games/tetris.c#L748";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 02:33 PM";"Pause case is commented 😃";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 02:34 PM";"aha...make sense why p didn't work 😃";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 02:35 PM";"Handling arrows (blocks movement, can work also from h l k j buttons also probably), `q` and thats it";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 02:36 PM";"Oh also blocks switching by Space";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 02:36 PM";"you mean rotation?";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 02:36 PM";"got it";"";"👍 (1)";
"272003866906722306";"TonyL#3577";"29-Mar-19 02:37 PM";"No you can switch (I think one time per level when other block in bottom preview square)";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 02:38 PM";"game hanged when i switched few times";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 02:38 PM";"q button is not working";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 02:39 PM";"had to use ctrl+c to quit";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 02:40 PM";"Backtrace might help if it's reproducable";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 02:41 PM";"Swap doing by this code https://github.com/jl777/komodo/blob/jl777/src/cc/games/tetris.c#L285";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 02:41 PM";"Maybe I'll able to dig something 😃";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 02:45 PM";"lets see";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 02:45 PM";"how to properly backtrace?";"";"";
"412323938782150658";"SHossain#0007";"29-Mar-19 02:45 PM";"`gdb -args ./tetris` ?";"";"";
"272003866906722306";"TonyL#3577";"29-Mar-19 02:46 PM";"Yep, I think you can check also if it reproducable in ""offile mode"" by `gdb -args ./tetris 777 gui`";"";"";
