AuthorID;Author;Date;Content;Attachments;Reactions;
"405380797537976320";"Cryptoon#3362";"09-Oct-18 08:01 AM";"https://youtu.be/sXQkXXBqj_U";"";"";
"405380797537976320";"Cryptoon#3362";"09-Oct-18 08:02 AM";"I think $TRX is really a solid coin with a great future. 🤑";"";"👌 (1)";
"406179072922746882";"polycryptoblog#1173";"09-Oct-18 08:15 AM";"Lol wtf did I just watch";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 08:15 AM";"it is the new thing, everybody is nice to everybody else";"";"😂 (1)";
"456226577798135808";"Deleted User#0000";"09-Oct-18 08:18 AM";"Someone bring computergenie in 😂";"";"⛔ (3)";
"370026641323327491";"ph03nix#3115";"09-Oct-18 08:45 AM";"donn't you know he's omnipotent";"";"😱 (1),🛀 (1)";
"455741312273219595";"jl777c#5810";"09-Oct-18 09:07 AM";"now that is not an appropriate thing to say in #safespace";"";"";
"370026641323327491";"ph03nix#3115";"09-Oct-18 09:08 AM";"maybe it was important";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 09:08 AM";"even though he promised never to be here, it is against the spirit of #safespace to make anybody feel unsafe";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 09:08 AM";"please make the world a better place and only post happy things here";"";"";
"370026641323327491";"ph03nix#3115";"09-Oct-18 09:09 AM";"😻";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 09:09 AM";"I will do my best to ensure #safespace lives up to its name";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 09:09 AM";"especially for TRON lovers";"";"abusedsmily (1)";
"370026641323327491";"ph03nix#3115";"09-Oct-18 09:09 AM";"i'z bein sarcastic";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 09:09 AM";"it can be misinterpreted and it is not safe";"";"";
"370026641323327491";"ph03nix#3115";"09-Oct-18 09:10 AM";"good point";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 09:10 AM";"if you want a #sarcasm channel to feel empowered to be sarcastic, I can pretend to make it for you";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 09:10 AM";"#safespace is a safe space, even for people wanting to be sarcastic. you just cant actually be sarcastic here";"";"";
"370026641323327491";"ph03nix#3115";"09-Oct-18 09:11 AM";"mindblown.gif";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 09:11 AM";"I am so sorry if I made you feel not happy by preventing your sarcasm";"";"trollface (1)";
"370026641323327491";"ph03nix#3115";"09-Oct-18 09:13 AM";"it's ok, as long as a i have a safe space to vent";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 09:17 AM";"we are all here for you. just dont vent at anybody, or use harsh language, or make anybody possibly feel uncomfortable, or left out";"";"";
"370026641323327491";"ph03nix#3115";"09-Oct-18 09:17 AM";"ahhh poop ok";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 09:18 AM";"I think you meant to say ""number two"", we dont want to offend any children";"";"";
"408251982885945344";"actionslacks#4072";"09-Oct-18 09:19 AM";"we shouldn't assume people age or gender though";"";"";
"370026641323327491";"ph03nix#3115";"09-Oct-18 09:19 AM";"that's offensive to the number two";"";"";
"408251982885945344";"actionslacks#4072";"09-Oct-18 09:20 AM";"all thats needed now is an assetchain.  POS - proof of sensitivity";"";"😆 (1)";
"455741312273219595";"jl777c#5810";"09-Oct-18 09:21 AM";"how do people put up with all this, I am exhausted now";"";"😅 (1)";
"370026641323327491";"ph03nix#3115";"09-Oct-18 09:22 AM";"get some sleep";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 09:23 AM";"ok, but you need to ensure #safespace lives up to its name";"";"";
"370026641323327491";"ph03nix#3115";"09-Oct-18 09:25 AM";"#nogenies";"";"";
"408251982885945344";"actionslacks#4072";"09-Oct-18 09:25 AM";"micro aggressions will not be tolerated";"";"";
"370026641323327491";"ph03nix#3115";"09-Oct-18 09:26 AM";"admin: please ban actionslacks for micro aggression";"";"";
"408251982885945344";"actionslacks#4072";"09-Oct-18 09:27 AM";"fiddlesticks";"";"";
"370026641323327491";"ph03nix#3115";"09-Oct-18 09:29 AM";"you ARRR the weakest link..good bye";"";"";
"405380797537976320";"Cryptoon#3362";"09-Oct-18 09:54 AM";"https://www.youtube.com/watch?v=OuH9FF3BtZU";"";"";
"405380797537976320";"Cryptoon#3362";"09-Oct-18 09:54 AM";"ONLY SAFE FLUFFY KITTENS ALLOWED";"";"";
"405380797537976320";"Cryptoon#3362";"09-Oct-18 09:54 AM";"Damn, sorry for all caps, hope nobody is offended 😦";"";"";
"370026641323327491";"ph03nix#3115";"09-Oct-18 09:55 AM";"first offensive 👮";"";"🚔 (1)";
"272003866906722306";"TonyL#3577";"09-Oct-18 09:56 AM";"Emm is it like a trolling free channel?";"";"";
"370026641323327491";"ph03nix#3115";"09-Oct-18 09:56 AM";"NO SHOUTING PLEASE";"";"";
"405380797537976320";"Cryptoon#3362";"09-Oct-18 09:57 AM";"@TonyL it can be if you feel safe with that,";"";"😂 (1)";
"408251982885945344";"actionslacks#4072";"09-Oct-18 09:58 AM";"I dont want to trigger anyone, but have we gone too far";"";"";
"408251982885945344";"actionslacks#4072";"09-Oct-18 09:58 AM";"?";"";"";
"370026641323327491";"ph03nix#3115";"09-Oct-18 09:58 AM";"thought you were banned";"";"";
"272003866906722306";"TonyL#3577";"09-Oct-18 09:59 AM";"https://www.youtube.com/watch?v=nn6pTpJytgU";"";"";
"370026641323327491";"ph03nix#3115";"09-Oct-18 10:02 AM";"little too much tony";"";"";
"272003866906722306";"TonyL#3577";"09-Oct-18 10:02 AM";"Maybe just understood point of channel wrong";"";"";
"272003866906722306";"TonyL#3577";"09-Oct-18 10:03 AM";"But now I feel not safe";"";"";
"370026641323327491";"ph03nix#3115";"09-Oct-18 10:03 AM";"stick to simple contracts :safe:";"";"";
"408251982885945344";"actionslacks#4072";"09-Oct-18 10:03 AM";"I think @ph03nix needs to stop with the toxic assertiveness";"";"";
"370026641323327491";"ph03nix#3115";"09-Oct-18 10:04 AM";"joking";"";"";
"272003866906722306";"TonyL#3577";"09-Oct-18 10:06 AM";"";"https://cdn.discordapp.com/attachments/499123181609811968/499160795561721857/unknown.png";"yassinkomodo (2)";
"455741312273219595";"jl777c#5810";"09-Oct-18 10:18 AM";"I think for every kitten pic/video, we need to have puppy pic/video, otherwise wouldnt it offend the puppy lovers?";"";"";
"370026641323327491";"ph03nix#3115";"09-Oct-18 10:20 AM";"yes, this should be mandatory for #safespace";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 10:21 AM";"equality for all";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 10:21 AM";"everyone is the same";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 10:21 AM";"nobody is different";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 10:21 AM";"oh, and unicorns!";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 10:21 AM";"and rainbows";"";"";
"370026641323327491";"ph03nix#3115";"09-Oct-18 10:23 AM";"yes";"";"";
"456690797505544202";"ch6ris#5240";"09-Oct-18 10:23 AM";"No freedom of speech just like Australia.";"";"";
"370026641323327491";"ph03nix#3115";"09-Oct-18 10:25 AM";"we don't talk about freedom of speech in #safespace";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 10:25 AM";"that is unsafe";"";"";
"456690797505544202";"ch6ris#5240";"09-Oct-18 10:25 AM";"😂";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 10:25 AM";"#safespace is not about freedome";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 10:25 AM";"or freedom";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 10:25 AM";"it is about enslaving everybody to the least common denominator";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 10:25 AM";"puppies and kittens";"";"";
"456690797505544202";"ch6ris#5240";"09-Oct-18 10:26 AM";"love it, I'm on-board.";"";"";
"456690797505544202";"ch6ris#5240";"09-Oct-18 10:29 AM";"http://ohsohumorous.com/var/albums/funny-memes-jokes-pictures-haha-lol-via-OhSoHumorous_com_18881.jpg?m=1481488863";"";"";
"370026641323327491";"ph03nix#3115";"09-Oct-18 10:30 AM";"😍";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 10:32 AM";"@TonyL I had to delete it, i hope you are not offended";"";"";
"455741312273219595";"jl777c#5810";"09-Oct-18 10:32 AM";"please post a puppy pic to feel better";"";"";
"272003866906722306";"TonyL#3577";"09-Oct-18 10:34 AM";"";"https://cdn.discordapp.com/attachments/499123181609811968/499167824669835264/unknown.png";"";
"456690797505544202";"ch6ris#5240";"09-Oct-18 10:35 AM";"http://static.quickmeme.com/img/ec/ec1b3f8bf9df3637c5a5524dceb71cf956967ae14746b335743df49f9da2a245.jpg";"";"";
