AuthorID;Author;Date;Content;Attachments;Reactions;
"448777271701143562";"smk762 -  dracocanis ominator#7640";"04-Oct-19 10:56 AM";"https://kmdlabs.com/";"";"👌 (1),labs (1)";
"393476021065744384";"D2D privacyalternatives.com#5667";"04-Oct-19 11:16 AM";"A bit of research about Cloudlfare, which will be also used by Firefox to increase privacy:
https://whatismyipaddress.com/cloudflare-dns";"";"";
"393476021065744384";"D2D privacyalternatives.com#5667";"04-Oct-19 11:23 AM";"https://www.privateinternetaccess.com/blog/2019/09/warp-is-not-a-vpn-for-privacy/";"";"";
"419964976397156352";"cipi#4502";"04-Oct-19 08:45 PM";"lol, Cloudflare is well known for their anti-Tor policy... now they want to increase privacy? They only need to stop blocking tor users, job done 🙂";"";"💯 (1)";
"347922216429813760";"grewalsatinder#9653";"04-Oct-19 09:34 PM";"don't forget google's human verification : 🤦";"";"";
"347922216429813760";"grewalsatinder#9653";"04-Oct-19 09:34 PM";"most annoying over TOR";"";"👆🏻 (1)";
"419964976397156352";"cipi#4502";"04-Oct-19 10:06 PM";"yes, very annoying... and i saw sites that are not even implementing it right... site is loading, but elements are missing
and if you use the developer tools of the browser you can see why: every request to those elements that don't show up get a 403 (unauthorized) and they are asking for the captcha stuff, but that is not visible on the main site, only in the developer tools
would love to see Google charging 1$ for each request to their captchas, then this will stop for sure 🙂";"";"";
"347922216429813760";"grewalsatinder#9653";"04-Oct-19 10:22 PM";"I had to select trucks as buses in human verifications 🤦 😅";"";"";
"371114647052615681";"Mylo#8306";"05-Oct-19 02:59 AM";"@xeonrider have you already created your dApp on ethereum?";"";"";
"371114647052615681";"Mylo#8306";"05-Oct-19 03:01 AM";"if so, what token functions do you need?
build it on KMDICE, it gets dPoW already.   If it gets popular, the community will no doubt help you pay for dpow on it's own chain.";"";"";
"623645402209452061";"xeonrider#3120";"05-Oct-19 12:23 PM";"@Mylo is it a fork or something like Verus?";"";"";
"423176312354635779";"gcharang#6833";"05-Oct-19 02:39 PM";"@xeonrider it is a smartchain";"";"";
"455758438144671776";"Evitor#6985";"06-Oct-19 07:29 PM";"https://www.the-blockchain.com/2019/10/04/liechtenstein-parliament-passes-blockchain-act/";"";"👌 (1)";
"504735704543395853";"mrlynch#5735";"06-Oct-19 07:35 PM";"anyone know an agent that incorporates in Lichtenstein? :abusedsmily:";"";"";
"455758438144671776";"Evitor#6985";"06-Oct-19 07:36 PM";"Also very interesting news (but just in german) :  https://app.handelsblatt.com/finanzen/elektronische-anleihen-bundesregierung-will-noch-2019-blockchain-wertpapiere-einfuehren/25023216.html";"";"👌 (1)";
"371114647052615681";"Mylo#8306";"07-Oct-19 04:25 AM";"@xeonrider yes it's a smartchain.   if you sync it with 
```
https://github.com/KomodoPlatform/komodo/blob/master/src/assetchains.old#L44
```
that command will start it, once synced, 
```
https://github.com/Komodo-Cakeshop/komodo-in-a-box/blob/master/setup/cc/tokens.sh#L37
```
👆 will list the tokens created on KMDICE with your rpcuser/pass/port

and then getting info about a specific token created  it can be done with 
```
https://github.com/Komodo-Cakeshop/komodo-in-a-box/blob/master/setup/cc/tokens.sh#L76
```
using the token id.";"";"";
"371114647052615681";"Mylo#8306";"07-Oct-19 04:25 AM";"there is a docker tutorial for this stuff, https://developers.komodoplatform.com/basic-docs/antara/antara-tutorials/beginner-series-part-4.html#conceptualizing-tokens";"";"";
"371114647052615681";"Mylo#8306";"07-Oct-19 04:26 AM";"i've got a web gui i'll put up later this month if docker and text isn't fancy enough for you 🙂";"";"";
"371114647052615681";"Mylo#8306";"07-Oct-19 05:38 AM";"https://www.grantfortheweb.org/faq";"";"";
"371114647052615681";"Mylo#8306";"07-Oct-19 05:39 AM";"This a $100m fund that was sent to me by a notary colleague.";"";"😯 (1)";
"371114647052615681";"Mylo#8306";"07-Oct-19 05:39 AM";"It builds on webmonetization (& other, but webmonetization is prioritized) APIs in-browser for grants.";"";"";
"371114647052615681";"Mylo#8306";"07-Oct-19 05:44 AM";"At the moment a lot of this seems to be tied to ILP protocol - if anyone is interested in building an ILP connector for the komodo ecosystem, might be a good place to get funding for it.";"";"👍 (2)";
"623645402209452061";"xeonrider#3120";"07-Oct-19 07:43 AM";"wow";"";"";
"623645402209452061";"xeonrider#3120";"07-Oct-19 07:46 AM";"@Mylo you also do the pangea front end? (poker game?)";"";"";
"371114647052615681";"Mylo#8306";"07-Oct-19 07:48 AM";"Not me.  I haven’t been full-time dev for 10+ years.  I only do basic stuff these days 🙂";"";"";
"623645402209452061";"xeonrider#3120";"07-Oct-19 07:48 AM";"oh, just saw that the repo had like a front end for pangea with API calls";"";"";
"623645402209452061";"xeonrider#3120";"07-Oct-19 07:48 AM";"because that would have been perfect";"";"";
"623645402209452061";"xeonrider#3120";"07-Oct-19 07:49 AM";"so cakeshop is not yours?";"";"";
"371114647052615681";"Mylo#8306";"07-Oct-19 07:49 AM";"Check the CHIPS discord for Pangea.
Yes cakeshop is some vuetifyjs stuff I did earlier this year";"";"";
"623645402209452061";"xeonrider#3120";"07-Oct-19 07:50 AM";"yes, I am in there - I was planning a blackjack game, but then I saw chips. However, not a lot of documented resources but it looks pretty awesome.";"";"";
"623645402209452061";"xeonrider#3120";"07-Oct-19 07:51 AM";"@Mylo oh cool, so there is already a web socket API ?";"";"";
"371114647052615681";"Mylo#8306";"07-Oct-19 07:52 AM";"CHIPS will get easier to deploy in coming weeks.  Everything is accessible HTTP RPC.  CHIPS has websocketapi but i don’t know much about it";"";"";
"623645402209452061";"xeonrider#3120";"07-Oct-19 07:52 AM";"I prefer to use unity (webgl, linux native) for my gamedev, web requests are awesome if they already work";"";"";
"623645402209452061";"xeonrider#3120";"07-Oct-19 07:53 AM";"vue is cool 😄";"";"";
"623645402209452061";"xeonrider#3120";"07-Oct-19 07:54 AM";"are you a webdev?";"";"";
"371114647052615681";"Mylo#8306";"07-Oct-19 08:06 AM";"Not a pro dev.  Not a full time dev.  When I was younger i could code a bit in c++/java.  Web components are very useful.   Web is useful, and the javascript ecosystem is handy for prototypes but for production-level code, I’m not your man :)

There is a gaming-SDK currently being worked on.

If you’re going to make blackjack or any multiplayer gambling games, the CHIPS project is better for microtransactions between groups because of the network model of games (small groups of people).

If you’re going to build a platformer or rogue-like game, then using komodo and it’s token system will work for you.  All the calls are available by http RPC (not rest).   From a browser there is CORS limitation.   From standalone programs, no problem.

If you were to grab a game template from the unity asset store, adding token calls would be pretty trivial.

A lightweight P2P daemon is in development - this will likely replace needing to run a full node for taking advantage of the antara framework (application smarts on blockchain)";"";"";
"371114647052615681";"Mylo#8306";"07-Oct-19 08:09 AM";"Seeing as you said you know ethereum, basically the lightweight nSPV daemon has all the functions of something like infura, but distributable in a small bundle (4MB memory, 500kB executable C code)";"";"";
"417437410201436160";"Instel7#1416";"08-Oct-19 11:45 PM";"@Deleted User PM";"";"";
"345992331276713984";"Acura#2748";"09-Oct-19 06:17 AM";"banned";"";"";
"393476021065744384";"D2D privacyalternatives.com#5667";"28-Oct-19 07:11 AM";"https://www.coindesk.com/okex-korea-reviewing-decision-to-delist-privacy-coins-zcash-and-dash";"";"";
"524305966036942882";"BlackMarket#6984";"12-Nov-19 02:36 PM";"looking to work for a crypto project that has a marketing budget and will pay me in BTC";"";"";
"616424030756536340";"Offshore Crypto#6860";"28-Nov-19 03:50 AM";"Hello";"";"";
"405380797537976320";"Cryptoon#3362";"28-Nov-19 09:04 AM";"👋🏼";"";"";
"403205523433848833";"farl#9964";"03-Dec-19 04:44 PM";"@Offshore Crypto Since you love to say hello to everyone. Post it in #introductions  You have the floor! 😉";"";"";
