AuthorID;Author;Date;Content;Attachments;Reactions;
"430818734530101248";"KomodoWorld#8282";"27-Mar-19 01:08 PM";"the easiest way would be provide a nxt address, user send the asset to that address with their waves address in a message";"";"";
"405787102035574786";"Kitchen Table#2858";"27-Mar-19 01:09 PM";"I did receive another message by the looks of it from sasha. Not sure but a link to https://twitter.com/coinomat1";"";"";
"430818734530101248";"KomodoWorld#8282";"27-Mar-19 01:10 PM";"it's another guy, he contacted me too, he was trying organize a group to pressure Sasha about the swap. It seems it worked";"";"";
"405787102035574786";"Kitchen Table#2858";"27-Mar-19 01:12 PM";"I knew it was a new twitter account and was skeptical. Will still do the email address thing again and go watch a movie since he is no JL777.";"";"";
"403400248879218690";"Hollowman9000#3344";"27-Mar-19 01:21 PM";"I swapped everything to waves during ICO";"";"";
"403400248879218690";"Hollowman9000#3344";"27-Mar-19 01:21 PM";"Read between the lines with his response to my “is it better to hodl the nxt assets or swap”";"";"";
"403400248879218690";"Hollowman9000#3344";"27-Mar-19 01:21 PM";"He said better to swap";"";"";
"403400248879218690";"Hollowman9000#3344";"27-Mar-19 01:21 PM";"So I swapped";"";"";
"403400248879218690";"Hollowman9000#3344";"27-Mar-19 01:22 PM";"Even negotiated above his published swap prices for cryptocard";"";"";
"403400248879218690";"Hollowman9000#3344";"27-Mar-19 01:23 PM";"Sank the waves into chronobank ICO because profit is the enemy";"";"";
"403400248879218690";"Hollowman9000#3344";"27-Mar-19 01:25 PM";"Poor Nxt, not even page 1 cmc material anymore";"";"";
"405787102035574786";"Kitchen Table#2858";"27-Mar-19 01:28 PM";"I talked to sasha directly during the swap and he swore that cryptofund would not be abandoned. I kept those 40k crytpofunds and I've regretted it since. It did make me ignore waves and put money elsewhere.";"";"";
"430818734530101248";"KomodoWorld#8282";"27-Mar-19 01:28 PM";"Ardor at 66°";"";"";
"430818734530101248";"KomodoWorld#8282";"27-Mar-19 01:30 PM";"Waves has done good for me, I decided to hold the assets and it wasn't a problem to wait a few years but I wished for more clarity about their future";"";"";
"403400248879218690";"Hollowman9000#3344";"27-Mar-19 01:30 PM";"Fahrenheit or Celsius?";"";"";
"403400248879218690";"Hollowman9000#3344";"27-Mar-19 01:31 PM";"I dumped everything on the nxt platform";"";"";
"403400248879218690";"Hollowman9000#3344";"27-Mar-19 01:32 PM";"Minus a transpotimer ticket";"";"";
"403400248879218690";"Hollowman9000#3344";"27-Mar-19 01:32 PM";"Poor time bus";"";"";
"430818734530101248";"KomodoWorld#8282";"27-Mar-19 01:32 PM";"Ardor chart is as flat as dead. Lesson: if jl777 says your idea is flawed, listen";"";"";
"405787102035574786";"Kitchen Table#2858";"27-Mar-19 01:32 PM";"I still got a large chunk of Waves during the ICO and made out during the bull run but never consider it a long hold because of what sasha did to the NXT assets. If he had just said ""swap or lose out"" my ass would have swapped.";"";"";
"403400248879218690";"Hollowman9000#3344";"27-Mar-19 01:33 PM";"I dumped 30k waves prior to their rocket";"";"";
"403400248879218690";"Hollowman9000#3344";"27-Mar-19 01:33 PM";"Sucked watching chronobank tank while waves rocketed";"";"";
"403400248879218690";"Hollowman9000#3344";"27-Mar-19 01:33 PM";"Ce la crypto";"";"";
"345992331276713984";"Acura#2748";"27-Mar-19 01:46 PM";"https://www.tradingview.com/i/lPBaF1rk/";"";"";
"403400248879218690";"Hollowman9000#3344";"27-Mar-19 01:48 PM";"Plebedicators";"";"";
"403400248879218690";"Hollowman9000#3344";"27-Mar-19 01:48 PM";"We’ll test support at 23";"";"";
"324632286366793729";"Keppie#5156";"27-Mar-19 03:01 PM";"Golden cross on the USD chart is not to be unseen";"";"";
"383332695876567042";"Sherdogz#6731";"27-Mar-19 03:05 PM";"@Hollowman9000 do you think waves will go up after    the Vostok airdrop?";"";"";
"403400248879218690";"Hollowman9000#3344";"27-Mar-19 03:07 PM";"No idea, I don’t have an interest in waves anymore";"";"";
"403400248879218690";"Hollowman9000#3344";"27-Mar-19 03:07 PM";"Best of luck to them, no malice";"";"👌 (1)";
"301766691992371210";"Markus#5464";"27-Mar-19 04:54 PM";"no love for kmd this days";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"27-Mar-19 04:56 PM";"not true
_is loving the sub 26k prices_";"";"";
"301766691992371210";"Markus#5464";"27-Mar-19 05:02 PM";"already accumulated enough, time to profit ^^";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"27-Mar-19 05:04 PM";"`already accumulated enough`
That condition literally does not exist";"";"🐙 (1)";
"301766691992371210";"Markus#5464";"27-Mar-19 05:05 PM";"that means its time for a small increasse -> profit -> repeat";"";"";
"324632286366793729";"Keppie#5156";"27-Mar-19 05:20 PM";"So go buy more if you want it to rise 😄";"";"👆🏽 (1)";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"27-Mar-19 05:21 PM";"buying makes the market rise? who'da thunk it? :troll:";"";"";
"301766691992371210";"Markus#5464";"27-Mar-19 05:22 PM";"thats not very strategical";"";"";
"301766691992371210";"Markus#5464";"27-Mar-19 05:22 PM";"#fomo";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"27-Mar-19 05:23 PM";"mass buy and slow sell";"";"";
"342751827068059650";"Tek#5253";"27-Mar-19 05:23 PM";"can someone call whalebro?";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"27-Mar-19 05:25 PM";"_could but he doesn't speak dudebro_";"";"";
"422858760898215937";"siu - Chainmakers#3920";"27-Mar-19 05:44 PM";"Veriblock is doing a IEO in bittrex and bittrex i shilling the hell out of them";"";"";
"422858760898215937";"siu - Chainmakers#3920";"27-Mar-19 05:45 PM";"im told that Bill Shihara who works at bittrex is also a team member of veriblock, so there is that in case you see a lot of news and shills about it";"";"";
"422858760898215937";"siu - Chainmakers#3920";"27-Mar-19 05:46 PM";"they are marketing it as the first and only way to secure a blockchain with bitcoin level security checkpoints";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"27-Mar-19 05:57 PM";"`first and only`?
 I'm 😕 and 😖";"";"";
"368864295397752833";"metaphilibert#0926";"27-Mar-19 06:13 PM";"Ah I just heard about veriblock and wanted to hear your thoughts about it
https://www.veriblock.com";"";"";
"427867553784922113";"FishyGuts#5085";"27-Mar-19 06:15 PM";"Paging @Steve Lee 👆";"";"";
"427867553784922113";"FishyGuts#5085";"27-Mar-19 06:16 PM";"Veriblock needs to be put into place.";"";"";
