AuthorID;Author;Date;Content;Attachments;Reactions;
"403137719049519106";"Audo#5667";"28-Jun-18 05:00 PM";"@pioryan here's your channel! Welcome.";"";"";
"421428865144193047";"pioryan#3504";"28-Jun-18 05:02 PM";"Thanks @Audo 😃";"";"";
"403137719049519106";"Audo#5667";"28-Jun-18 05:02 PM";"You are welcome!";"";"";
"447045408167034900";"jerwin#7961";"29-Jun-18 11:09 AM";"Thank you Audo. We appreciate all your hardwork in the community 😊";"";"💯 (1)";
"421428865144193047";"pioryan#3504";"10-Jul-18 07:39 AM";"Pre-sale is now live! Download our dICO app at www.pearlpay.io";"https://cdn.discordapp.com/attachments/461938861161971712/466146542173159424/tokenmetrics.jpg";"";
"447045408167034900";"jerwin#7961";"11-Jul-18 05:58 PM";"@Deleted User Thank you for your feedback. We’ll do something about this.";"";"";
"354615658148790275";"sφldat#8733";"18-Jul-18 05:55 PM";"https://twitter.com/Pearl_Pay/status/1019635411843538944";"";"";
"455986447925903360";"bblurock#8985";"26-Jul-18 06:36 AM";"Hi, team, thanks for the awesome project 😀 ! I have few questions regarding remittance. 

I see this line in the whitepaper: “PRLPAY Coin shall be used as a medium of exchange which will allow our OFW to convert their fiat currency into PRLPAY Coins, Pearl Pay Exchange shall immediately and automatically convert the OFW PRLPAY Coins into the Philippine peso equivalent.” 

For the case of remittance, it will be all buy token order on the sending side and all sell token order on the receiving side(if i understand it right, converting the coin to peso means someone must buy the coin and sell their peso), how is it possible to keep the token price from collapsing? 

Who will want to buy the token (e.g use ph peso to buy the token) on the receiving side? Does the buyer in ph has any use of the token? Why will someone in ph want to do that if they have no use of the coin?

If it is the Pearl-pay doing it, you will end up with a lot of other countries’ fiat currency hold up overseas and spending a lot of peso in ph?";"";"";
"403220185294831626";"noashh#2802";"26-Jul-18 02:48 PM";"test";"";"";
"412841347742040065";"dolladollaiv#3294";"16-Aug-18 08:06 PM";"Anyone know why im getting a ""bad transaction inputs spent"" message on the Pearl pay faucet?? Thanks";"";"";
"401097688206016512";"miles#6381";"14-Sep-18 08:47 PM";"Is there anyone from PearlPay project looking at this channel?";"";"";
"454811311503573034";"DesignBlock#0184";"04-Oct-18 12:06 AM";"Hello there";"";"";
"454811311503573034";"DesignBlock#0184";"04-Oct-18 12:07 AM";"Maybe using just $PRL is better.";"";"";
"403137719049519106";"Audo#5667";"13-Nov-18 10:08 PM";"Hey Komodo Projects,

Komodo team is looking to know better the projects which are building with Komodo. We ask you to fill out this form so that we get information about each project and the rapidly growing ecosystem.

https://airtable.com/shrKBzMwUddQ4ggET";"";"";
"412323938782150658";"SHossain#0007";"15-Dec-18 12:51 AM";"```
PRLPAY transition at 188643 (188642, 1544831860) -> (188643, 1544832009)
SET SAPLING ACTIVATION height.188703
PRLPAY sapling activation at 188703
```";"";"";
"456226577798135808";"Deleted User#0000";"26-May-19 06:35 AM";"Hi here :).
Barterlly is now open on BETA mode, and will provide tools for users and CoinOwners to perform OTC trades in a safe way.
Any KMD assetchain dPowed will be listed, and supported, for free.
Other coins not already listed can submit a listing application at : https://barterlly.typeform.com/to/iqpS1H
During the BETA, Barterlly won't charge any fee other than the transaction ones. after the release we will charge 1% on top of every transaction.
Our goal is to provide premium tools for coins listed on the platform. (Discord swapbot, twitter integration, public orders, wallet integration, API, custom templating, and many more).
Feel free to join us on our Discord.
https://discord.gg/RHc95zw
The app link is located at : https://app.barterlly.io
We are open to suggestions, and partnerships.

See you soon !

Barterlly's team";"";"Komodo (1),👍 (1),💯 (1),shexy (1)";
