AuthorID;Author;Date;Content;Attachments;Reactions;
"232679450301431808";"blackjok3r#3181";"03-Jan-19 10:21 AM";"And if notarization happening we can test migrates";"";"";
"401454267812151298";"zatJUM#9924";"03-Jan-19 10:21 AM";"I cannot start, not build...";"";"";
"232679450301431808";"blackjok3r#3181";"03-Jan-19 10:22 AM";"It pulls the json it needs to run from komodod";"";"";
"232679450301431808";"blackjok3r#3181";"03-Jan-19 10:22 AM";"Maybe that isn't running somehow";"";"";
"232679450301431808";"blackjok3r#3181";"03-Jan-19 10:22 AM";"I'll be home soon. I can't diagnose this on a phone";"";"";
"401454267812151298";"zatJUM#9924";"03-Jan-19 10:23 AM";"I only have my phone for a few weeks 😒";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"03-Jan-19 10:23 AM";"```-ASSET-       -NOTR- -UTXO-  -BLOX-    -BALANCE- -LAST- -CNCT-       
KMD                      26 1167933       3.7064     2m     16       
CFEKC              2     18     556      49.9998     3m     12       
CFEKD              2     18     541      49.9998     2m     10```";"";"";
"232679450301431808";"blackjok3r#3181";"03-Jan-19 10:24 AM";"Geanie cfekd whale :trollface:";"";"";
"412482228359266328";"CrisF#3405";"03-Jan-19 10:24 AM";"```-ASSET-       -NOTR- -UTXO-  -BLOX-    -BALANCE- -LAST- -CNCT-       
KMD                      31 1167934       4.2110     2m     20       
CFEKC              2     18     557      49.9998     3m      4       
CFEKD              2     18     541      49.9998     2m      3 ```";"";"";
"272003866906722306";"TonyL#3577";"03-Jan-19 10:24 AM";"```./stats 


-ASSET-       -NOTR- -UTXO-  -BLOX-    -BALANCE- -LAST- -CNCT-       
KMD                      46 1167934       0.9996     3m     20       
CFEKC              2     18     558      49.9998     4m      9       
CFEKD              2     18     542      49.9998     3m      7  ```";"";"";
"272003866906722306";"TonyL#3577";"03-Jan-19 10:24 AM";":trollface:";"";"";
"412482228359266328";"CrisF#3405";"03-Jan-19 10:25 AM";"ComputerGenie was the 6th in my mask.  Was just waiting for that.";"";"";
"474206298427097099";"ComputerGenie 👴🏼📢#7004";"03-Jan-19 10:26 AM";"ok, going back to work (after I get dressed) will set up miners as soon as I get new local server permissions set up for media files and other personal shit";"";"👍 (1)";
"232679450301431808";"blackjok3r#3181";"03-Jan-19 10:26 AM";"Cool man... Do what u need I'll go investigate it";"";"";
"232679450301431808";"blackjok3r#3181";"03-Jan-19 10:26 AM";"Thanks everyone";"";"";
"232679450301431808";"blackjok3r#3181";"03-Jan-19 10:26 AM";"We up";"";"";
